province_id,province,province_cn,year,total_generation_100m_kwh,clean_generation_100m_kwh,clean_generation_share_percent,nonclean_generation_100m_kwh,nonclean_generation_share_percent,windsolar_generation_share_percent
4,Beijing,北京,2023,471.55258119999996,27.752581199999952,5.885363013,443.8,94.11463699,3.354875072
1,Shanghai,上海,2023,1006.6337780000001,80.23377800000014,7.970503250999999,926.4,92.02949674999999,4.71969062
7,Tianjin,天津,2023,837.4549020000001,74.55490199999997,8.902557239,762.9000000000001,91.09744276,8.420751951
9,Anhui,安徽,2023,3549.447624,516.4476239999999,14.550084369999999,3033.0,85.44991562999999,11.53672468
12,Shaanxi,陕西,2023,3103.750055,547.250055,17.63189836,2556.5,82.36810164,13.41731752
11,Shanxi,山西,2023,4572.792879,868.6928789999993,18.99698722,3704.1000000000004,81.00301278,17.87332209
10,Shandong,山东,2023,6508.081864,1437.881864,22.09378883,5070.2,77.90621116999999,17.71996764
3,Neimenggu,内蒙古,2023,7629.942233000001,1694.9422330000007,22.2143521,5935.0,77.7856479,21.5617622
16,Jiangsu,江苏,2023,6390.531376,1440.531376,22.5416525,4950.0,77.4583475,14.01041552
17,Jiangxi,江西,2023,1852.600909,445.50090899999987,24.04732216,1407.1000000000001,75.95267784,15.11658548
29,Chongqing,重庆,2023,1120.210549,276.8105489999998,24.71058224,843.4000000000001,75.28941775999999,4.190283696
19,Henan,河南,2023,3534.636579,884.136579,25.013507309999998,2650.5,74.98649268999999,20.89267124
15,Xinjiang,新疆,2023,5130.663549,1341.063549,26.138208759999998,3789.6,73.86179124,17.80724835
13,Guangdong,广东,2023,7010.317290000001,2067.2172900000005,29.488212940000004,4943.1,70.51178706,7.325060746
31,Heilongjiang,黑龙江,2023,1327.4091240000002,391.7091240000003,29.509298750000003,935.6999999999999,70.49070125,26.12984902
27,Guizhou,贵州,2023,2368.798946,699.9989459999999,29.55079608,1668.8,70.44920392,10.99333485
20,Zhejiang,浙江,2023,4580.698258,1388.3982580000002,30.309751480000003,3192.3,69.69024852,8.874192909000001
18,Hebei,河北,2023,4125.94148,1275.4414800000004,30.91273801,2850.5,69.08726199,29.154315590000003
21,Hainan,海南,2023,478.89303900000004,172.89303900000004,36.10264191,306.0,63.89735809,9.745391183
23,Hunan,湖南,2023,1797.479598,673.879598,37.49025017,1123.6,62.509749830000004,16.49810103
8,Ningxia,宁夏,2023,2314.275409,871.375409,37.65219151,1442.8999999999999,62.34780849,24.876900900000003
5,Jilin,吉林,2023,1158.728615,446.228615,38.51019205,712.5,61.48980795,29.651464160000003
14,Guangxi,广西,2023,2382.916971,977.4169710000001,41.01766796,1405.5,58.982332039999996,13.66896136
28,Liaoning,辽宁,2023,2362.914713,1016.7147130000001,43.02799028,1346.2,56.97200972,18.709943170000003
25,Fujian,福建,2023,3302.520602,1514.9206020000001,45.87164728,1787.6,54.128352719999995,8.666410736000001
24,Gansu,甘肃,2023,2108.97456,1070.3745600000002,50.75331776,1038.6,49.24668224,32.49399082
22,Hubei,湖北,2023,3206.020391,1710.920391,53.365861169999995,1495.1,46.63413883,12.32462529
6,Sichuan,四川,2023,5006.493175,4089.4931749999996,81.68378608,917.0,18.31621392,4.388301198
30,Qinghai,青海,2023,1009.7097259999999,849.4097259999999,84.12415015,160.3,15.875849850000002,44.66432167
2,Yunnan,云南,2023,4151.009538,3510.709538,84.5748367,640.3,15.4251633,10.24883215
26,Xizang,西藏,2023,163.016233,159.116233,97.60760022,3.9000000000000004,2.39239978,16.55049899
