province_id,province,province_cn,year,total_generation_100m_kwh,clean_generation_100m_kwh,clean_generation_share_percent,nonclean_generation_100m_kwh,nonclean_generation_share_percent,windsolar_generation_share_percent
1,Shanghai,上海,2000,553.0899999999999,0.0,0.0,553.0899999999999,100.0,
1,Shanghai,上海,2001,574.88,2.019999999999982,0.3513776788,572.86,99.64862232,
1,Shanghai,上海,2002,608.9200000000001,-1.599999999999909,,610.52,,
1,Shanghai,上海,2003,687.6300000000001,2.6400000000001,0.3839274028,684.99,99.61607260000001,
1,Shanghai,上海,2004,705.02,-62.700000000000045,,767.72,,
1,Shanghai,上海,2005,733.97,5.230000000000018,0.7125631837999999,728.74,99.28743682,
1,Shanghai,上海,2006,720.74,9.779999999999973,1.356938702,710.96,98.6430613,
1,Shanghai,上海,2007,739.14,2.8899999999999864,0.3909949401,736.25,99.60900506,
1,Shanghai,上海,2008,773.6199999999999,8.469999999999914,1.09485277,765.15,98.90514723,
1,Shanghai,上海,2009,778.1999999999999,10.428171999999904,1.340037522,767.771828,98.65996247999999,
1,Shanghai,上海,2010,876.19,11.400017000000048,1.3010896040000002,864.789983,98.69891039999999,
1,Shanghai,上海,2011,949.24,3.2640219999999545,0.3438563482,945.975978,99.65614364999999,
1,Shanghai,上海,2012,886.19,3.740713000000028,0.4221118496,882.449287,99.57788815,
1,Shanghai,上海,2013,958.77,2.6399999999999864,0.2753527958,956.13,99.7246472,0.3546210249
1,Shanghai,上海,2014,793.3151220000001,6.1451220000001285,0.7746129917,787.17,99.22538701,0.42858126690000004
1,Shanghai,上海,2015,792.696931,7.512730999999917,0.9477431672000001,785.1842,99.05225682999999,0.6055277638
1,Shanghai,上海,2016,807.2893999999999,7.189399999999864,0.8905604359000001,800.1,99.10943956,0.2972911573
1,Shanghai,上海,2017,852.0,29.200000000000045,3.427230047,822.8,96.57276995000001,1.825117371
1,Shanghai,上海,2018,848.0,34.5,4.068396226,813.5,95.93160377,2.805424528
1,Shanghai,上海,2019,822.0,38.80000000000007,4.720194647,783.1999999999999,95.27980535,3.00243309
1,Shanghai,上海,2020,862.0,58.299999999999955,6.763341067000001,803.7,93.23665893,3.336426914
1,Shanghai,上海,2021,1003.06,64.95999999999992,6.4761828800000005,938.1,93.52381711999999,3.35872231
1,Shanghai,上海,2022,954.97,75.66999999999996,7.923809125,879.3000000000001,92.07619088,4.437835744
1,Shanghai,上海,2023,1006.6337780000001,80.23377800000014,7.970503250999999,926.4,92.02949674999999,4.71969062
2,Yunnan,云南,2000,297.84,196.51999999999998,65.98173516,101.32,34.01826484,
2,Yunnan,云南,2001,359.52,216.52999999999997,60.22752559,142.99,39.77247441,
