province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Beijing,2005,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Beijing,2006,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Beijing,2007,1.0,0.0,郭金龙,,1.0,0.0,1,5.0,0.0
Beijing,2008,0.0,0.0,,,0.0,0.0,1,6.0,1.0
Beijing,2009,0.0,0.0,,,0.0,0.0,1,7.0,2.0
Beijing,2010,0.0,0.0,,,0.0,0.0,1,8.0,3.0
Beijing,2011,0.0,0.0,,,0.0,0.0,1,9.0,4.0
Beijing,2012,1.0,1.0,王安顺,郭金龙,1.0,1.0,1,0.0,0.0
Beijing,2013,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Beijing,2014,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Beijing,2015,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Beijing,2016,1.0,0.0,蔡奇,,1.0,0.0,1,4.0,0.0
Beijing,2017,1.0,1.0,陈吉宁,蔡奇,1.0,1.0,1,0.0,0.0
Beijing,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Beijing,2019,,,,,,,0,,
Beijing,2020,,,,,,,0,,
Beijing,2021,,,,,,,0,,
Beijing,2022,,,,,,,0,,
Beijing,2023,,,,,,,0,,
Chongqing,2000,0.0,0.0,,,0.0,0.0,1,,
Chongqing,2001,0.0,0.0,,,0.0,0.0,1,,
Chongqing,2002,1.0,1.0,王鸿举,黄镇东,1.0,1.0,1,0.0,0.0
Chongqing,2003,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Chongqing,2004,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Chongqing,2005,0.0,1.0,,汪洋,1.0,0.0,1,0.0,3.0
Chongqing,2006,0.0,0.0,,,0.0,0.0,1,1.0,4.0
Chongqing,2007,0.0,1.0,,薄熙来,1.0,0.0,1,0.0,5.0
Chongqing,2008,0.0,0.0,,,0.0,0.0,1,1.0,6.0
Chongqing,2009,1.0,0.0,黄奇帆,,1.0,0.0,1,2.0,0.0
Chongqing,2010,0.0,0.0,,,0.0,0.0,1,3.0,1.0
Chongqing,2011,0.0,0.0,,,0.0,0.0,1,4.0,2.0
Chongqing,2012,0.0,1.0,,孙政才 / 张德江,1.0,0.0,1,0.0,3.0
Chongqing,2013,0.0,0.0,,,0.0,0.0,1,1.0,4.0
Chongqing,2014,0.0,0.0,,,0.0,0.0,1,2.0,5.0
