province,role,Name,start_year,source_terms
Chongqing,party,张德邻,1995,1995.10-1999.06
Chongqing,party,贺国强,1999,1999.06-2002.10
Chongqing,party,黄镇东,2002,2002.10-2005.12
Chongqing,party,汪洋,2005,2005.12-2007.12
Chongqing,party,薄熙来,2007,2007.11-2012.03
Chongqing,party,孙政才,2012,2012.11-2017.
Chongqing,party,张德江,2012,2012.03-2012.11
Chongqing,party,陈敏尔,2017,2017.-至今
Fujian,government,张鼎丞,1949,1949.08-1954.10
Fujian,government,叶飞,1954,1954.10-1955.02 | 1955.02-1959.01
Fujian,government,江一真,1959,1959.01-1962.12
Fujian,government,魏金水,1962,1962.12-1968.08
Fujian,government,韩先楚,1968,1968.08-1973.12
Fujian,government,廖志高,1974,1974.11-1979.12
Fujian,government,马兴元,1979,1979.12-1983.01
Fujian,government,胡平,1983,1983.01-1983.04 | 1983.04-1987.09
Fujian,government,王兆国,1987,1987.09-1988.01 | 1988.01-1990.11
Fujian,government,贾庆林,1990,1990.11-1991.04 | 1991.04-1994.04
Fujian,government,陈明义,1994,1994.04-1996.10
Fujian,government,贺国强,1996,1996.10-1997.04 | 1997.04-1999.08
Fujian,government,习近平,1999,1999.08-2000.01 | 2000.01-2002.10
Fujian,government,卢展工,2002,2002.10-2003.01 | 2003.01-2004.12
Fujian,government,黄小晶,2004,2004.12-2005.01 | 2005.01-2011.04
Fujian,government,苏树林,2011,2011.04-2011.07 | 2011.07-2015.10
Fujian,government,于伟国,2015,2015.11-2016.01 | 2016.01-2018.01
Fujian,government,唐登杰,2018,2018.01-至今
Fujian,party,张鼎丞,1949,1949.06-1955.04
Fujian,party,叶飞,1955,1955.04-文革
Fujian,party,江一真,1958,1958.07-1970.04
Fujian,party,韩先楚,1971,1971.04-1973.12
Fujian,party,廖志高,1974,1974.11-1982.02
Fujian,party,项南,1982,1982.02-1985.07 | 1985.07-1986.03
Fujian,party,陈光毅,1986,1986.03-1993.12
Fujian,party,贾庆林,1993,1993.12-1996.10
Fujian,party,陈明义,1996,1996.10-2000.12
Fujian,party,宋德福,2000,2000.12-2004.02
Fujian,party,卢展工,2004,2004.02-2004.12 | 2004.12-2009.11
Fujian,party,孙春兰,2009,2009.11-2012.11
Fujian,party,尤权,2012,2012.12-2017.
Fujian,party,于伟国,2017,2017.10-至今
Gansu,government,王世泰,1949,1949.07-1950.01
Gansu,government,邓宝姗,1950,1950.01-1967.05
Gansu,government,冼恒汉,1967,1967.05-1977.06
Gansu,government,宋平,1977,1977.06-1979.12
Gansu,government,冯纪新,1979,1979.12-1981.01
Gansu,government,李登瀛,1981,1981.01-1983.04
Gansu,government,陈光毅,1983,1983.05-1986.03
Gansu,government,贾志杰,1986,1986.03-1992.12
Gansu,government,张吾乐,1993,1993.09-1994.04 | 1994.04-1996.06
Gansu,government,阎海旺,1993,1993.01-1993.09
Gansu,government,孙英,1996,1996.07-1997.01 | 1997.01-1998.03
Gansu,government,宋照肃,1998,1998.04-1999.01 | 1999.01-2001.01
Gansu,government,陆浩,2000,2000.12-2001.01 | 2001.01-2006.10
Gansu,government,徐守盛,2006,2006.10-2007.01 | 2007.01-2010.05
Gansu,government,刘伟平,2010,2010.07-2011.01 | 2011.01-2016.03
Gansu,government,林铎,2016,2016.04-2016.05 | 2016.05-2017.05
Gansu,government,唐仁健,2017,2017.04-2017.05 | 2017.05-至今
Gansu,party,张德生,1949,1949.07-1954.05
Gansu,party,张仲良,1954,1954.05-1961.01
Gansu,party,汪锋,1961,1961.01-1967.02
Gansu,party,胡继宗,1966,1966.11-1967.02
Gansu,party,冼恒汉,1971,1971.02-1977.06
Gansu,party,宋平,1977,1977.06-1981.01
Gansu,party,冯纪新,1981,1981.01-1982.03 | 1982.03-1983.03
Gansu,party,李子奇,1983,1983.03-1990.11
Gansu,party,顾金池,1990,1990.11-1993.09
Gansu,party,阎海旺,1993,1993.09-1998.03
Gansu,party,孙英,1998,1998.03-2000.12
Gansu,party,宋照肃,2001,2001.01-2003.08
Gansu,party,苏荣,2003,2003.08-2006.07
Gansu,party,陆浩,2006,2006.06-2011.12
Gansu,party,王三运,2011,2011.12-2017.04
Gansu,party,林铎,2017,2017.04-至今
Guangdong,government,叶剑英,1949,1949.11-1955.02
Guangdong,government,陶铸,1953,1953.02-1953.09 | 1953.09-1957.07
Guangdong,government,陈郁,1957,1957.07-1968.02
Guangdong,government,林李明,1965,1965.12-1968.02
Guangdong,government,黄永胜,1968,1968.02-1969.06
Guangdong,government,刘兴元,1969,1969.06-1972.03
Guangdong,government,丁盛,1972,1972.03-1974.04
Guangdong,government,赵紫阳,1974,1974.04-1975.11
Guangdong,government,韦国清,1975,1975.11-1979.01
Guangdong,government,习仲勋,1979,1979.01-1980.11
Guangdong,government,刘田夫,1981,1981.02-1983.04
Guangdong,government,梁灵光,1983,1983.04-1985.08
Guangdong,government,叶选平,1985,1985.08-1991.05
Guangdong,government,朱森林,1991,1991.05-1992.01 | 1992.01-1996.02
Guangdong,government,卢瑞华,1996,1996.02-2003.01
Guangdong,government,黄华华,2003,2003.01-2011.11
Guangdong,government,朱小丹,2011,2011.11-2012.01 | 2012.01-2016.
Guangdong,government,马兴瑞,2016,2016.-2017. | 2017.-至今
Guangdong,party,叶剑英,1949,1949.08-1955.07
Guangdong,party,陶铸,1955,1955.07-1965.02
Guangdong,party,赵紫阳,1965,1965.02-1967.03 | 1974.04-1975.10
Guangdong,party,黄永胜,1968,1968.02-1969.11
Guangdong,party,刘兴元,1969,1969.11-1972.03
Guangdong,party,丁盛,1972,1972.03-1973.12
Guangdong,party,韦国清,1975,1975.10-1978.12
Guangdong,party,习仲勋,1978,1978.12-1980.11
Guangdong,party,任仲夷,1980,1980.11-1985.07
Guangdong,party,林若,1982,1982.12-1991.01
Guangdong,party,谢非,1991,1991.01-1998.03
Guangdong,party,李长春,1998,1998.03-2002.11
Guangdong,party,张德江,2002,2002.11-2007.12
Guangdong,party,汪洋,2007,2007.12-2012.12
Guangdong,party,胡春华,2012,2012.12-2017.
Guangdong,party,李希,2017,2017.10-至今
Guangxi,government,张云逸,1949,1949.12-1955.02
Guangxi,government,韦国清,1955,1955.02-1977.12
Guangxi,government,乔晓光,1977,1977.12-1979.12
Guangxi,government,覃应机,1979,1979.12-1983.04
Guangxi,government,韦纯束,1983,1983.04-1990.01
Guangxi,government,成克杰,1990,1990.01-1990.04 | 1990.04-1998.01
Guangxi,government,李兆焯,1998,1998.01-2003.04
Guangxi,government,陆兵,2003,2003.04-2004.01 | 2004.01-2007.12
Guangxi,government,马飚,2007,2007.12-2008.01 | 2008.01-2013.03
Guangxi,government,陈武,2013,2013.03-2013.04 | 2013.04-至今
Guangxi,party,张云逸,1949,1949.08-1956.01
Guangxi,party,陈漫远,1956,1956.01-1957.06
Guangxi,party,刘建勋,1957,1957.06-1961.07
Guangxi,party,韦国清,1961,1961.07-1975.10
Guangxi,party,安平生,1975,1975.10-1977.02
Guangxi,party,乔晓光,1977,1977.02-1985.06
Guangxi,party,陈辉光,1985,1985.06-1990.10
Guangxi,party,赵富林,1990,1990.10-1997.07
Guangxi,party,曹伯纯,1997,1997.07-2006.06
Guangxi,party,刘奇葆,2006,2006.06-2007.12
Guangxi,party,郭声琨,2007,2007.12-2012.12
Guangxi,party,彭清华,2012,2012.12-2018.
Guangxi,party,鹿心社,2018,2018.03-至今
Guizhou,government,杨勇,1949,1949.12-1954.12
Guizhou,government,周林,1955,1955.02-1965.07
Guizhou,government,李立,1965,1965.07-1967.01
Guizhou,government,李再合,1967,1967.02-1971.05
Guizhou,government,蓝亦农,1971,1971.05-1973.09
Guizhou,government,鲁瑞林,1973,1973.09-1977.02
Guizhou,government,马力,1977,1977.02-1979.09
Guizhou,government,苏钢,1980,1980.01-1983.01
Guizhou,government,王朝文,1983,1983.01-1983.04 | 1983.04-1993.01
Guizhou,government,陈士能,1993,1993.01-1996.07
Guizhou,government,吴亦侠,1996,1996.07-1997.01 | 1997.01-1998.10
Guizhou,government,钱运录,1998,1998.12-1999.01 | 1999.01-2001.01
Guizhou,government,石秀诗,2001,2001.01-2001.01 | 2001.01-2006.06
Guizhou,government,林树森,2006,2006.07-2007.01 | 2007.01-2010.08
Guizhou,government,赵克志,2010,2010.08-2010.09 | 2010.09-2012.12
Guizhou,government,陈敏尔,2012,2012.12-2013.01 | 2013.01-2015.10
Guizhou,government,孙志刚,2015,2015.10-2016.01
Guizhou,government,谌贻琴,2017,2017.09-2018.01 | 2018.01-至今
Guizhou,party,苏振华,1949,1949.12-1954.05
Guizhou,party,周林,1954,1954.11-1964.10
Guizhou,party,李大章,1964,1964.11-1965.04
Guizhou,party,贾启允,1965,1965.05-1967.12
Guizhou,party,李再合,1967,1967.12-1969.10
Guizhou,party,蓝亦农,1969,1969.10-1971.05 | 1971.05-1973.09
Guizhou,party,鲁瑞林,1973,1973.09-1977.02
Guizhou,party,马力,1977,1977.02-1979.09
Guizhou,party,池必卿,1979,1979.09-1980.06 | 1980.06-1985.03
Guizhou,party,朱厚泽,1985,1985.03-1985.07
Guizhou,party,胡锦涛,1985,1985.07-1988.12
Guizhou,party,刘正威,1988,1988.12-1993.07
Guizhou,party,刘方仁,1993,1993.07-2001.01
Guizhou,party,钱运录,2001,2001.01-2005.12
Guizhou,party,石宗源,2005,2005.12-2010.08
Guizhou,party,栗战书,2010,2010.08-2012.07
Guizhou,party,赵克志,2012,2012.07-2015.07
Guizhou,party,陈敏尔,2015,2015.07-2017.07
Guizhou,party,孙志刚,2017,2017.07-至今
Hainan,government,梁湘,1988,1988.04-1989.09
Hainan,government,刘剑峰,1989,1989.09-1993.02
Hainan,government,阮崇武,1993,1993.02-1998.02
Hainan,government,汪啸风,1998,1998.02-1998.04 | 1998.04-2003.10
Hainan,government,卫留成,2003,2003.10-2004.02 | 2004.02-2007.01
Hainan,government,罗保铭,2007,2007.01-2007.02 | 2007.02-2011.08
Hainan,government,蒋定之,2011,2011.08-2012.02 | 2012.02-2015.01
Hainan,government,刘赐贵,2015,2015.01-2015.02 | 2015.02-2017.04
Hainan,government,沈晓明,2017,2017.04-2017.05 | 2017.05-至今
Hainan,party,许世杰,1988,1988.02-1990.06
Hainan,party,邓鸿勋,1990,1990.06-1993.01
Hainan,party,阮崇武,1993,1993.01-1998.02
Hainan,party,杜青林,1998,1998.02-2001.08
Hainan,party,白克明,2001,2001.08-2002.11
Hainan,party,王岐山,2002,2002.11-2003.04
Hainan,party,汪啸风,2003,2003.04-2006.12
Hainan,party,卫留成,2007,2007.02-2011.08
Hainan,party,罗保铭,2011,2011.08-2017.03
Hainan,party,刘赐贵,2017,2017.03-至今
Hebei,government,杨秀峰,1949,1949.08-1952.12
Hebei,government,林铁,1952,1952.11-1958.04
Hebei,government,刘子厚,1958,1958.04-文革 | 1971.02-1979.12
Hebei,government,李雪峰,1968,1968.02-1970.12
Hebei,government,李尔重,1980,1980.01-1982.08
Hebei,government,刘秉彦,1982,1982.08-1983.04
Hebei,government,解峰,1986,1986.05-1988.05
Hebei,government,岳歧峰,1988,1988.05-1990.06
Hebei,government,程维高,1990,1990.07-1991.04 | 1991.04-1993.05
Hebei,government,叶连松,1993,1993.05-1998.11
Hebei,government,钮茂生,1998,1998.11-1999.02 | 1999.02-2002.12
Hebei,government,季允石,2002,2002.12-2003.01 | 2003.01-2006.09
Hebei,government,郭庚茂,2006,2006.10-2007.01 | 2007.01-2008.03
Hebei,government,胡春华,2008,2008.04-2009.01 | 2009.01-2009.11
Hebei,government,陈全国,2009,2009.12-2010.01 | 2010.01-2011.08
