province,year,nbs_thermal_generation_billion_kwh,nbs_thermal_generation_billion_kwh_wind_code,nbs_hydro_generation_billion_kwh,nbs_hydro_generation_billion_kwh_wind_code,nbs_wind_generation_billion_kwh,nbs_wind_generation_billion_kwh_wind_code,nbs_solar_generation_billion_kwh,nbs_solar_generation_billion_kwh_wind_code,nbs_nuclear_generation_billion_kwh,nbs_nuclear_generation_billion_kwh_wind_code
Zhejiang,2008,172.627,S0075798,10.421,S0075919,,,,,22.994,S0081112
Zhejiang,2009,184.0317911,S0075798,10.835789199999999,S0075919,,,,,23.1549852,S0081112
Zhejiang,2010,207.33276920000003,S0075798,15.9701373,S0075919,,,,,24.822657200000002,S0081112
Zhejiang,2011,231.7240585,S0075798,10.2784988,S0075919,,,,,27.7535864,S0081112
Zhejiang,2012,221.4771464,S0075798,12.1971003,S0075919,,,,,33.70989,S0081112
Zhejiang,2013,240.897,S0075798,12.178,S0075919,0.7,M6456598,,,34.591,S0081112
Zhejiang,2014,231.778,S0075798,12.396,S0075919,0.87,M6456598,,,35.425,S0081112
Zhejiang,2015,221.16096,S0075798,14.65374,S0075919,1.14,M6456598,,,49.62297,S0081112
Zhejiang,2016,237.4,S0075798,18.44,S0075919,1.82,M6456598,0.87892,S0253209,50.36,S0081112
Zhejiang,2017,255.41,S0075798,15.61,S0075919,2.22,M6456598,1.63427,S0253209,51.06,S0081112
Zhejiang,2018,258.34,S0075798,12.93,S0075919,2.62,M6456598,2.694,S0253209,58.69,S0081112
Zhejiang,2019,249.44,S0075798,16.1,S0075919,2.83,M6456598,3.88475,S0253209,62.85,S0081112
Zhejiang,2020,242.82,S0075798,15.19,S0075919,3.15,M6456598,4.27117,S0253209,71.21,S0081112
Zhejiang,2021,303.47,S0075798,15.91,S0075919,4.02,M6456598,5.15454,S0253209,73.27,S0081112
Zhejiang,2022,305.49,S0075798,17.11,S0075919,9.04,M6456598,6.84966,S0253209,73.05,S0081112
Zhejiang,2023,319.23,S0075798,15.04,S0075919,10.64,M6456598,14.18099,S0253209,76.22,S0081112
