province,year,solar_capacity_addition_10k_kw,solar_capacity_addition_10k_kw_wind_code,wind_capacity_addition_10k_kw,wind_capacity_addition_10k_kw_wind_code,wind_capacity_10k_kw,wind_capacity_10k_kw_wind_code,wind_capacity_addition_from_stock_10k_kw,solar_capacity_10k_kw,solar_capacity_10k_kw_wind_code,solar_capacity_addition_from_stock_10k_kw
Shanxi,2021,149.06,F7413724,167.42,D1873829,,,,,,
Shanxi,2022,238.0,F7413724,194.56,D1873829,,,,,,
Shanxi,2023,794.73,F7413724,181.86,D1873829,,,,,,
Sichuan,2000,,,,,,,,,,
Sichuan,2001,,,,,,,,,,
Sichuan,2002,,,,,,,,,,
Sichuan,2003,,,,,,,,,,
Sichuan,2004,,,,,,,,,,
Sichuan,2005,,,,,,,,,,
Sichuan,2006,,,,,,,,,,
Sichuan,2007,,,,,,,,,,
Sichuan,2008,,,,,,,,,,
Sichuan,2009,,,,,,,,,,
Sichuan,2010,,,,,,,,,,
Sichuan,2011,,,,,,,,,,
Sichuan,2012,,,,,,,,,,
Sichuan,2013,,,,,,,,,,
Sichuan,2014,,,,,,,,,,
Sichuan,2015,,,,,,,,,,
Sichuan,2016,,,,,,,,,,
Sichuan,2017,,,,,,,,,,
Sichuan,2018,,,,,,,,,,
Sichuan,2019,,,,,,,,,,
Sichuan,2020,,,,,,,,,,
Sichuan,2021,,,,,,,,,,
Sichuan,2022,,,,,,,,,,
Sichuan,2023,,,,,,,,,,
Tianjin,2000,,,,,,,,,,
Tianjin,2001,,,,,,,,,,
Tianjin,2002,,,,,,,,,,
Tianjin,2003,,,,,,,,,,
Tianjin,2004,,,,,,,,,,
Tianjin,2005,,,,,,,,,,
Tianjin,2006,,,,,,,,,,
Tianjin,2007,,,,,,,,,,
Tianjin,2008,,,,,,,,,,
Tianjin,2009,,,,,,,,,,
Tianjin,2010,,,,,,,,,,
Tianjin,2011,,,,,,,,,,
Tianjin,2012,,,,,,,,,,
Tianjin,2013,,,,,,,,,,
Tianjin,2014,3.07,R5070072,,,28.55,Q2510791,,,,
Tianjin,2015,7.45,R5070072,,,28.55,Q2510791,0.0,,,
Tianjin,2016,47.4,R5070072,,,28.55,Q2510791,0.0,,,
Tianjin,2017,8.33,R5070072,,,28.55,Q2510791,0.0,,,
Tianjin,2018,59.99,R5070072,,,51.95,Q2510791,23.400000000000002,,,
Tianjin,2019,15.03,R5070072,,,59.9,Q2510791,7.949999999999996,,,
Tianjin,2020,20.73,R5070072,,,84.54,Q2510791,24.640000000000008,,,
Tianjin,2021,14.18,R5070072,,,130.49,Q2510791,45.95,,,
Tianjin,2022,42.82,R5070072,,,145.12,Q2510791,14.629999999999995,,,
Tianjin,2023,268.95,R5070072,,,171.4,Q2510791,26.28,,,
Xinjiang,2000,,,,,,,,,,
Xinjiang,2001,,,,,,,,,,
Xinjiang,2002,,,,,,,,,,
Xinjiang,2003,,,,,,,,,,
Xinjiang,2004,,,,,,,,,,
Xinjiang,2005,,,,,,,,,,
Xinjiang,2006,,,,,,,,,,
Xinjiang,2007,,,,,,,,,,
Xinjiang,2008,,,,,,,,,,
Xinjiang,2009,,,,,,,,,,
Xinjiang,2010,,,,,,,,,,
Xinjiang,2011,,,,,,,,,,
Xinjiang,2012,,,,,,,,,,
Xinjiang,2013,,,,,,,,,,
Xinjiang,2014,49.0,Q9806075,,,803.93,A4151918,,,,
Xinjiang,2015,202.7,Q9806075,,,1691.18,A4151918,887.2500000000001,,,
Xinjiang,2016,364.04,Q9806075,,,1776.03,A4151918,84.84999999999991,,,
Xinjiang,2017,15.82,Q9806075,,,1805.93,A4151918,29.90000000000009,,,
Xinjiang,2018,44.71,Q9806075,,,1890.68,A4151918,84.75,,,
Xinjiang,2019,93.31,Q9806075,,,1955.53,A4151918,64.84999999999991,,,
Xinjiang,2020,180.42,Q9806075,,,2336.53,A4151918,381.0000000000002,,,
Xinjiang,2021,49.97,Q9806075,,,2408.08,A4151918,71.54999999999973,,,
Xinjiang,2022,195.25,Q9806075,,,2614.05,A4151918,205.97000000000025,,,
Xinjiang,2023,1428.35,Q9806075,,,3257.78,A4151918,643.73,,,
Xizang,2000,,,,,,,,,,
Xizang,2001,,,,,,,,,,
Xizang,2002,,,,,,,,,,
Xizang,2003,,,,,,,,,,
Xizang,2004,,,,,,,,,,
Xizang,2005,,,,,,,,,,
Xizang,2006,,,,,,,,,,
Xizang,2007,,,,,,,,,,
Xizang,2008,,,,,,,,,,
Xizang,2009,,,,,,,,,,
Xizang,2010,,,,,,,,,,
Xizang,2011,,,,,,,,,,
Xizang,2012,,,,,,,,,,
Xizang,2013,,,,,,,,,,
Xizang,2014,,,0.75,O6909231,,,,,,
Xizang,2015,,,0.0,O6909231,,,,,,
Xizang,2016,,,0.0,O6909231,,,,,,
Xizang,2017,,,0.0,O6909231,,,,,,
Xizang,2018,,,0.0,O6909231,,,,,,
Xizang,2019,,,0.0,O6909231,,,,,,
Xizang,2020,,,0.0,O6909231,,,,,,
Xizang,2021,,,2.2,O6909231,,,,,,
Xizang,2022,,,0.0,O6909231,,,,,,
Xizang,2023,,,15.0,O6909231,,,,,,
Yunnan,2000,,,,,,,,,,
Yunnan,2001,,,,,,,,,,
Yunnan,2002,,,,,,,,,,
Yunnan,2003,,,,,,,,,,
Yunnan,2004,,,,,,,,,,
Yunnan,2005,,,,,,,,,,
Yunnan,2006,,,,,,,,,,
Yunnan,2007,,,,,,,,,,
Yunnan,2008,,,,,,,,,,
Yunnan,2009,,,,,,,,,,
Yunnan,2010,,,,,,,,,,
Yunnan,2011,,,,,,,,,,
Yunnan,2012,,,,,,,,,,
Yunnan,2013,,,,,,,,,,
Yunnan,2014,,,,,,,,,,
Yunnan,2015,,,,,,,,,,
Yunnan,2016,,,,,,,,,,
Yunnan,2017,,,,,,,,,,
Yunnan,2018,,,,,,,,,,
Yunnan,2019,,,,,,,,,,
Yunnan,2020,,,,,,,,,,
Yunnan,2021,,,,,,,,,,
Yunnan,2022,,,,,,,,,,
Yunnan,2023,,,,,,,,,,
Zhejiang,2000,,,,,,,,,,
Zhejiang,2001,,,,,,,,,,
Zhejiang,2002,,,,,,,,,,
Zhejiang,2003,,,,,,,,,,
Zhejiang,2004,,,,,,,,,,
Zhejiang,2005,,,,,,,,,,
Zhejiang,2006,,,,,,,,,,
Zhejiang,2007,,,,,,,,,,
Zhejiang,2008,,,,,,,,,,
Zhejiang,2009,,,,,,,,,,
Zhejiang,2010,,,,,,,,,,
Zhejiang,2011,,,,,,,,,,
Zhejiang,2012,,,,,,,,,,
Zhejiang,2013,,,,,,,,,,
Zhejiang,2014,31.81,F6030609,28.35,P1562192,72.99,B3846591,,49.84,K2589876,
Zhejiang,2015,113.83,F6030609,31.23,P1562192,104.22,B3846591,31.230000000000004,163.67,K2589876,113.82999999999998
Zhejiang,2016,174.54,F6030609,14.76,P1562192,118.98,B3846591,14.760000000000005,338.21,K2589876,174.54
Zhejiang,2017,475.49,F6030609,14.01,P1562192,132.99,B3846591,14.010000000000005,813.7,K2589876,475.49000000000007
Zhejiang,2018,324.46,F6030609,15.44,P1562192,148.43,B3846591,15.439999999999998,1138.16,K2589876,324.46000000000004
Zhejiang,2019,200.81,F6030609,11.6,P1562192,160.03,B3846591,11.599999999999994,1338.97,K2589876,200.80999999999995
Zhejiang,2020,177.86,F6030609,18.47,P1562192,178.5,B3846591,18.47,1516.83,K2589876,177.8599999999999
Zhejiang,2021,324.97,F6030609,185.79,P1562192,364.29,B3846591,185.79000000000002,1841.8,K2589876,324.97
Zhejiang,2022,697.16,F6030609,59.15,P1562192,423.44,B3846591,59.14999999999998,2538.96,K2589876,697.1600000000001
Zhejiang,2023,817.68,F6030609,160.29,P1562192,583.73,B3846591,160.29000000000002,3356.64,K2589876,817.6799999999998
