variable,module,province,province_cn,wind_code,wind_name,wind_source,wind_unit,wind_frequency,output_unit,annual_method,update_date
wind_capacity_addition_10k_kw,capacity,Shaanxi,陕西,V9955830,中国:陕西:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_out_raw_100m_kwh,flows,Shanxi,山西,W1285137,中国:山西:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Jiangxi,江西,W3358415,中国:江西:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_out_raw_100m_kwh,flows,Xinjiang,新疆,W4070240,中国:新疆:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Hainan,海南,W4293121,中国:海南:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Heilongjiang,黑龙江,W5476739,中国:黑龙江:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Sichuan,四川,W6429480,中国:四川:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_in_10k_ton,flows,Guangxi,广西,W7512331,中国:广西:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Hubei,湖北,X0071474,中国:湖北:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Guangdong,广东,X0257779,中国:广东:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Guangdong,广东,X0843406,中国:广东:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Shaanxi,陕西,X4837163,中国:陕西:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Sichuan,四川,X5022904,中国:四川:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Xizang,西藏,X6667583,中国:西藏:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_in_10k_ton,flows,Shanxi,山西,X8892673,中国:山西:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Shaanxi,陕西,Y0490381,中国:陕西:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_10k_kw,capacity,Tianjin,天津,Y0819120,中国:天津:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Shandong,山东,Y1385228,中国:山东:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Tianjin,天津,Y4799921,中国:天津:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Fujian,福建,Y6230966,中国:福建:当年新增装机容量:新能源:太阳能:集中式光伏,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Heilongjiang,黑龙江,Y6969334,中国:黑龙江:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Guangxi,广西,Y7871935,中国:广西:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Jiangsu,江苏,Y8229111,中国:江苏:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Yunnan,云南,Z0517755,中国:云南:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
