province,year,topic,topic_label,value,leadership_event
Neimenggu,2023,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,9.17994692,
Neimenggu,2023,renewable_per_10k_chars,Renewable words per 10k chars,20.26683933,
Shanxi,2002,green_finance_per_10k_chars,Green finance words per 10k chars,0.00000000,
Shanxi,2002,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,0.00000000,
Shanxi,2002,renewable_per_10k_chars,Renewable words per 10k chars,0.00000000,
Shanxi,2003,green_finance_per_10k_chars,Green finance words per 10k chars,0.00000000,
Shanxi,2003,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,15.49666100,
Shanxi,2003,renewable_per_10k_chars,Renewable words per 10k chars,0.13960956,
Shanxi,2004,green_finance_per_10k_chars,Green finance words per 10k chars,0.38806897,
Shanxi,2004,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,13.79137412,
Shanxi,2004,renewable_per_10k_chars,Renewable words per 10k chars,0.11940584,
Shanxi,2005,green_finance_per_10k_chars,Green finance words per 10k chars,0.22170772,
Shanxi,2005,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,37.27856942,
Shanxi,2005,renewable_per_10k_chars,Renewable words per 10k chars,0.19003519,
Shanxi,2006,green_finance_per_10k_chars,Green finance words per 10k chars,0.16108307,
Shanxi,2006,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,14.93116177,
Shanxi,2006,renewable_per_10k_chars,Renewable words per 10k chars,0.87976140,
Shanxi,2007,green_finance_per_10k_chars,Green finance words per 10k chars,0.08318677,
Shanxi,2007,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,27.97452108,
Shanxi,2007,renewable_per_10k_chars,Renewable words per 10k chars,0.86751913,
Shanxi,2008,green_finance_per_10k_chars,Green finance words per 10k chars,0.43811610,
Shanxi,2008,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,22.19153293,
Shanxi,2008,renewable_per_10k_chars,Renewable words per 10k chars,1.52388209,
Shanxi,2009,green_finance_per_10k_chars,Green finance words per 10k chars,0.50030695,
Shanxi,2009,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,21.93237473,
Shanxi,2009,renewable_per_10k_chars,Renewable words per 10k chars,1.14935379,
Shanxi,2010,green_finance_per_10k_chars,Green finance words per 10k chars,0.24077503,party_secretary_turnover
Shanxi,2010,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,12.17008348,party_secretary_turnover
Shanxi,2010,renewable_per_10k_chars,Renewable words per 10k chars,0.89743421,party_secretary_turnover
Shanxi,2011,green_finance_per_10k_chars,Green finance words per 10k chars,0.15757532,
Shanxi,2011,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,12.02074592,
Shanxi,2011,renewable_per_10k_chars,Renewable words per 10k chars,2.00345765,
Shanxi,2012,green_finance_per_10k_chars,Green finance words per 10k chars,0.50405766,
Shanxi,2012,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,8.64773930,
Shanxi,2012,renewable_per_10k_chars,Renewable words per 10k chars,1.16563335,
Shanxi,2013,green_finance_per_10k_chars,Green finance words per 10k chars,0.08822110,governor_turnover
Shanxi,2013,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,11.29230044,governor_turnover
Shanxi,2013,renewable_per_10k_chars,Renewable words per 10k chars,3.22637155,governor_turnover
Shanxi,2014,green_finance_per_10k_chars,Green finance words per 10k chars,0.31047426,party_secretary_turnover
Shanxi,2014,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,11.40584378,party_secretary_turnover
Shanxi,2014,renewable_per_10k_chars,Renewable words per 10k chars,5.94803315,party_secretary_turnover
Shanxi,2015,green_finance_per_10k_chars,Green finance words per 10k chars,0.28185456,
Shanxi,2015,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,9.10155337,
Shanxi,2015,renewable_per_10k_chars,Renewable words per 10k chars,1.30357732,
Shanxi,2016,green_finance_per_10k_chars,Green finance words per 10k chars,0.26392758,joint_turnover
Shanxi,2016,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,12.58854570,joint_turnover
Shanxi,2016,renewable_per_10k_chars,Renewable words per 10k chars,3.83094879,joint_turnover
Shanxi,2017,green_finance_per_10k_chars,Green finance words per 10k chars,0.34198245,
Shanxi,2017,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,4.81815273,
Shanxi,2017,renewable_per_10k_chars,Renewable words per 10k chars,3.05504322,
Shanxi,2018,green_finance_per_10k_chars,Green finance words per 10k chars,0.41991549,
Shanxi,2018,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,5.23789317,
Shanxi,2018,renewable_per_10k_chars,Renewable words per 10k chars,1.41445216,
Shanxi,2019,green_finance_per_10k_chars,Green finance words per 10k chars,0.26796182,party_secretary_turnover
Shanxi,2019,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,5.44297438,party_secretary_turnover
Shanxi,2019,renewable_per_10k_chars,Renewable words per 10k chars,1.30631385,party_secretary_turnover
Shanxi,2020,green_finance_per_10k_chars,Green finance words per 10k chars,0.36511398,governor_turnover
Shanxi,2020,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,5.88634981,governor_turnover
Shanxi,2020,renewable_per_10k_chars,Renewable words per 10k chars,0.70351231,governor_turnover
Shanxi,2021,green_finance_per_10k_chars,Green finance words per 10k chars,0.33421217,joint_turnover
Shanxi,2021,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,3.71406748,joint_turnover
Shanxi,2021,renewable_per_10k_chars,Renewable words per 10k chars,2.75455512,joint_turnover
Shanxi,2022,green_finance_per_10k_chars,Green finance words per 10k chars,0.49352995,joint_turnover
Shanxi,2022,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,5.99286369,joint_turnover
Shanxi,2022,renewable_per_10k_chars,Renewable words per 10k chars,3.52521393,joint_turnover
Shanxi,2023,green_finance_per_10k_chars,Green finance words per 10k chars,0.43327095,joint_turnover
Shanxi,2023,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,7.49345654,joint_turnover
Shanxi,2023,renewable_per_10k_chars,Renewable words per 10k chars,3.46616758,joint_turnover
