province_id,province,thermal_abs_residual,windsolar_abs_residual,windsolar_minus_thermal
1,Shanghai,0.05066503819356805,0.0738942561633387,0.023229217969770642
2,Yunnan,0.09879796949364318,0.14326913184614493,0.044471162352501745
3,Neimenggu,0.03287381155419736,0.05671680826944229,0.02384299671524493
4,Beijing,0.032713981520058145,0.11855710519289724,0.08584312367283908
5,Jilin,0.04758275412454165,0.09377309000421762,0.04619033587967596
6,Sichuan,0.04496351240308574,0.04306685345204186,-0.001896658951043885
7,Tianjin,0.040648638952740214,0.09257087725565101,0.051922238302910796
8,Ningxia,0.05557113486260865,0.058315832730566064,0.0027446978679574116
9,Anhui,0.029841743898124422,0.05446642706550636,0.02462468316738194
10,Shandong,0.025786851972151914,0.07170354577856436,0.045916693806412445
11,Shanxi,0.03235678682404476,0.08413015231807298,0.05177336549402822
12,Shaanxi,0.05166665171017635,0.06609394739400094,0.014427295683824594
13,Guangdong,0.07081336742475834,0.1008229312666703,0.03000956384191196
14,Guangxi,0.09506592484935694,0.08617427838222579,-0.008891646467131156
15,Xinjiang,0.04637940136195142,0.04539961371712295,-0.0009797876448284712
16,Jiangsu,0.02194777029536847,0.07466143605455612,0.05271366575918765
17,Jiangxi,0.028272805796310894,0.05059432074582713,0.022321514949516234
18,Hebei,0.029968575586537677,0.05000630277690978,0.020037727190372105
19,Henan,0.05632008985751902,0.14766483285143303,0.09134474299391401
20,Zhejiang,0.05713974076716943,0.14898823997207875,0.09184849920490931
21,Hainan,0.06086262956916705,0.17192864309859016,0.11106601352942311
22,Hubei,0.1188132356125549,0.06432965048238405,-0.05448358513017085
23,Hunan,0.0529963532127096,0.03589810696694345,-0.017098246245766155
24,Gansu,0.048904349548875736,0.05057218373092074,0.001667834182045004
25,Fujian,0.06136809482138513,0.1177027555524676,0.056334660731082474
26,Xizang,0.1982812349405484,0.13118565434154567,-0.06709558059900272
27,Guizhou,0.042460570884044015,0.09054716600841084,0.048086595124366825
28,Liaoning,0.03695080288858262,0.0505020747745493,0.013551271885966679
29,Chongqing,0.056339716965550256,0.09620794137080498,0.03986822440525472
30,Qinghai,0.1510968831996364,0.06404519370428596,-0.08705168949535044
31,Heilongjiang,0.02769597298727841,0.0644513541066189,0.036755381119340486
