period,province_year_observations,mean_thermal_capacity_growth,median_thermal_capacity_growth,positive_growth_share
2007-2012,186,0.11509400172975284,0.07822372896845886,0.8978494623655914
2013-2016,124,0.0658890443040259,0.04658773458886012,0.9112903225806451
2017-2023,217,0.03486303695320841,0.023362337787510512,0.8571428571428571
