group,age,survival
high_coal,0.0,1.0
high_coal,1.0,1.0
high_coal,2.0,0.999128160418483
high_coal,3.0,0.997362136272803
high_coal,4.0,0.9969079640796005
high_coal,5.0,0.9950592705903476
high_coal,6.0,0.9922417360818331
high_coal,7.0,0.9879151006047321
high_coal,8.0,0.980940410030619
high_coal,9.0,0.9768680056298692
high_coal,10.0,0.9700950541241687
high_coal,11.0,0.9566215117057776
high_coal,12.0,0.9367510352015033
high_coal,13.0,0.9162596063064704
high_coal,14.0,0.8971964869806311
high_coal,15.0,0.8803294525182332
high_coal,16.0,0.8578616474655637
high_coal,17.0,0.8441300793932421
high_coal,18.0,0.826902934915829
high_coal,19.0,0.8081870248662938
high_coal,20.0,0.7894835492603747
high_coal,21.0,0.7694817305756856
high_coal,22.0,0.7467318359325783
high_coal,23.0,0.7145829114892971
high_coal,24.0,0.6823218319638209
high_coal,25.0,0.6604740885758168
high_coal,26.0,0.6516205485144788
high_coal,27.0,0.6327875846845805
high_coal,28.0,0.6091319740421662
high_coal,29.0,0.563609655697378
high_coal,30.0,0.5380964614065502
high_coal,31.0,0.5044654325686408
high_coal,32.0,0.4684321873851665
high_coal,33.0,0.4134926098523384
high_coal,34.0,0.3641203579296711
high_coal,35.0,0.316028989901224
high_coal,36.0,0.27513112061988915
high_coal,37.0,0.23344458719263322
high_coal,38.0,0.2241068037049279
high_coal,39.0,0.21392013080924935
high_coal,40.0,0.20203567909762438
high_coal,41.0,0.1885666338244494
high_coal,42.0,0.16397098593430384
high_coal,43.0,0.1208207264779081
high_coal,45.0,0.11075233260474909
high_coal,46.0,0.09061554485843107
high_coal,47.0,0.07047875711211306
high_coal,48.0,0.05034196936579504
high_coal,49.0,0.040273575492636035
high_coal,50.0,0.030205181619477026
high_coal,53.0,0.01006839387315901
high_coal,54.0,0.0
low_coal,0.0,1.0
low_coal,1.0,1.0
low_coal,2.0,1.0
low_coal,3.0,1.0
low_coal,4.0,1.0
low_coal,5.0,0.9961154273029966
low_coal,6.0,0.9910418342946621
low_coal,7.0,0.9869944055665042
low_coal,8.0,0.9840197388830608
low_coal,9.0,0.9797572771428495
low_coal,10.0,0.9702818682729961
low_coal,11.0,0.9577917900228695
low_coal,12.0,0.9393464417128713
low_coal,13.0,0.9244022937765302
low_coal,14.0,0.9177359310810264
low_coal,15.0,0.9076423886918104
low_coal,16.0,0.8958766540235832
low_coal,17.0,0.8848617771298506
low_coal,18.0,0.8721930512458329
low_coal,19.0,0.8527870253837501
low_coal,20.0,0.837325057001618
low_coal,21.0,0.8184785123102633
low_coal,22.0,0.8064420635998183
low_coal,23.0,0.7851768570545898
low_coal,24.0,0.7639558609179793
low_coal,25.0,0.7402531731090682
low_coal,26.0,0.7094894048759641
low_coal,27.0,0.6753213598819375
low_coal,28.0,0.6689504036566363
low_coal,29.0,0.6374173879960541
low_coal,30.0,0.5825087740488285
low_coal,31.0,0.5166141163509972
low_coal,32.0,0.4882287253427006
low_coal,33.0,0.4673896943829512
low_coal,34.0,0.4140633534130843
low_coal,35.0,0.3761075460168849
low_coal,36.0,0.3605979564904154
low_coal,37.0,0.33655809272438775
low_coal,38.0,0.32393716424722324
low_coal,39.0,0.31493890968480037
low_coal,40.0,0.2907128397090465
low_coal,41.0,0.2530278419689849
low_coal,42.0,0.20352239462722702
low_coal,43.0,0.17444776682333746
low_coal,44.0,0.16843232658804996
low_coal,46.0,0.15595585795189812
low_coal,47.0,0.12883310004722018
low_coal,48.0,0.07458758423786431
low_coal,49.0,0.047464826333186376
low_coal,50.0,0.0406841368570169
low_coal,51.0,0.03390344738084742
low_coal,53.0,0.027122757904677938
low_coal,56.0,0.009040919301559314
low_coal,57.0,0.0
