group,duration,survival
high_coal,0.0,1.0
high_coal,1.0,1.0
high_coal,2.0,0.9990196078431376
high_coal,3.0,0.9980250636840099
high_coal,4.0,0.9975116763055718
high_coal,5.0,0.9964644199524944
high_coal,6.0,0.994864958604256
high_coal,7.0,0.9921273004903197
high_coal,8.0,0.9875657956604789
high_coal,9.0,0.9840596449066544
high_coal,10.0,0.9780592812181997
high_coal,11.0,0.9668315598776852
high_coal,12.0,0.949614011551096
high_coal,13.0,0.9310883046783511
high_coal,14.0,0.91583646817426
high_coal,15.0,0.9050164592675602
high_coal,16.0,0.8894832047724526
high_coal,17.0,0.8780908090463029
high_coal,18.0,0.8646113448723471
high_coal,19.0,0.8486787033820706
high_coal,20.0,0.8385452263267625
high_coal,21.0,0.8180158705033199
high_coal,22.0,0.7993822515852487
high_coal,23.0,0.7679928961565088
high_coal,24.0,0.7273203751762577
high_coal,25.0,0.7146492885007131
high_coal,26.0,0.703738612340397
high_coal,27.0,0.69479278252251
high_coal,28.0,0.675670045388863
high_coal,29.0,0.6499652067055907
high_coal,30.0,0.641840641621771
high_coal,31.0,0.6274710750182985
high_coal,32.0,0.6062008690854747
high_coal,33.0,0.5552120109380988
high_coal,34.0,0.5240203249303403
high_coal,35.0,0.48763002458795546
high_coal,36.0,0.4388670221291601
high_coal,37.0,0.39116408494120797
high_coal,38.0,0.37998796822860215
high_coal,39.0,0.36732170262098207
high_coal,40.0,0.33538068500176627
high_coal,41.0,0.315652409413427
high_coal,42.0,0.22956538866431048
high_coal,43.0,0.16397527761736463
high_coal,53.0,0.054658425872454855
high_coal,54.0,0.0
low_coal,0.0,1.0
low_coal,1.0,1.0
low_coal,2.0,1.0
low_coal,3.0,1.0
low_coal,4.0,1.0
low_coal,5.0,0.9974683544303797
low_coal,6.0,0.9961796356262054
low_coal,7.0,0.9928634584104064
low_coal,8.0,0.9894374285332137
low_coal,9.0,0.9866225283097905
low_coal,10.0,0.980749775165089
low_coal,11.0,0.9692205850181644
low_coal,12.0,0.9531472751505332
low_coal,13.0,0.9413488119744875
low_coal,14.0,0.9342842805525403
low_coal,15.0,0.9277508240451804
low_coal,16.0,0.9195497117884276
low_coal,17.0,0.9104339773469063
low_coal,18.0,0.9030818860089769
low_coal,19.0,0.8919841055357484
low_coal,20.0,0.8794430284807639
low_coal,21.0,0.8647550447065552
low_coal,22.0,0.8541315183588093
low_coal,23.0,0.8398563397789963
low_coal,24.0,0.8213106161876624
low_coal,25.0,0.8047184825273057
low_coal,26.0,0.7808749719339036
low_coal,27.0,0.752306375399737
low_coal,28.0,0.7454359975422051
low_coal,29.0,0.7192146307944894
low_coal,30.0,0.6620043760722005
low_coal,31.0,0.5715145692709646
low_coal,32.0,0.5391646879914763
low_coal,33.0,0.5333042022524382
low_coal,34.0,0.5011774430806044
low_coal,35.0,0.45561585734600407
low_coal,36.0,0.4461238603179622
low_coal,37.0,0.4461238603179622
low_coal,38.0,0.4349707638100131
low_coal,39.0,0.4349707638100131
low_coal,40.0,0.4199717719544953
low_coal,41.0,0.40088214595656363
low_coal,42.0,0.40088214595656363
low_coal,43.0,0.40088214595656363
low_coal,44.0,0.37730084325323626
low_coal,46.0,0.3521474537030205
low_coal,47.0,0.29345621141918377
low_coal,48.0,0.23476496913534692
low_coal,49.0,0.20541934799342856
low_coal,50.0,0.1760737268515102
low_coal,51.0,0.14672810570959183
low_coal,53.0,0.11738248456767345
low_coal,56.0,0.039127494855891135
low_coal,57.0,0.0
