series_type,variable,reference_month,province,province_cn,code,name,unit,frequency,source,update_date
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Guizhou,贵州,S5150492,中国:贵州:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Hainan,海南,S5150489,中国:海南:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Hebei,河北,S5150471,中国:河北:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Heilongjiang,黑龙江,S5150476,中国:黑龙江:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Henan,河南,S5150484,中国:河南:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Hubei,湖北,S5150485,中国:湖北:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Hunan,湖南,S5150486,中国:湖南:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Jiangsu,江苏,S5150478,中国:江苏:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Jiangxi,江西,S5150482,中国:江西:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Jilin,吉林,S5150475,中国:吉林:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Liaoning,辽宁,S5150474,中国:辽宁:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Neimenggu,内蒙古,S5150473,中国:内蒙古:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Ningxia,宁夏,S5150498,中国:宁夏:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Qinghai,青海,S5150497,中国:青海:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Shaanxi,陕西,S5150495,中国:陕西:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Shandong,山东,S5150483,中国:山东:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Shanghai,上海,S5150477,中国:上海:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
