table,source_rows,output_rows,source_sha256,output_sha256,byte_identical,maximum_absolute_numeric_difference
Figure_5_panel_a_terminal_audit.csv,17,17,4f6742e1925c3d8303cda76e4810217b1dc6fb5288dd42b82545d5aef0bb4c33,4f6742e1925c3d8303cda76e4810217b1dc6fb5288dd42b82545d5aef0bb4c33,true,0
Figure_5_panels_bc_audit.csv,18,18,b9c70db8571ccf671e65e475c7253ea7d44fb77afae3c8baae020b0154d0259d,b9c70db8571ccf671e65e475c7253ea7d44fb77afae3c8baae020b0154d0259d,true,0
