province,year,high_energy_interest_share,green_credit_level,green_credit_proxy_pct,green_credit_interpolated_flag,iv_assets_assets_growth_loo,iv_outlets_assets_growth_loo,iv_assets_assets_cum2011_loo,iv_outlets_assets_cum2011_loo,iv_assets_outlets_growth_loo,iv_outlets_outlets_growth_loo,iv_assets_outlets_cum2011_loo,iv_outlets_outlets_cum2011_loo,post2012,iv_aw_acum_post,iv_ow_acum_post,iv_aw_ocum_post,iv_ow_ocum_post
Anhui,2005,0.442256042972247,0.5577439570277529,55.774395702775294,0,,,-1.1900144921015983,-1.20004117689376,,,,,0,-0.0,-0.0,,
Anhui,2006,0.452172601086301,0.547827398913699,54.7827398913699,0,0.21690895350096404,0.2363037398191323,-0.9731055386006343,-0.9637374370746277,,,,,0,-0.0,-0.0,,
Anhui,2007,0.463713477851084,0.5362865221489159,53.628652214891595,0,0.1672131564594548,0.13115047910971672,-0.8058923821411795,-0.832586957964911,,,-0.02961868208721035,-0.016464409572145688,0,-0.0,-0.0,-0.0,-0.0
Anhui,2008,0.473289296479189,0.526710703520811,52.671070352081095,0,0.20269884418924233,0.23600079193815285,-0.6031935379519372,-0.5965861660267581,-0.036530225562963425,-0.04814199974197213,-0.06614890765017378,-0.06460640931411782,0,-0.0,-0.0,-0.0,-0.0
Anhui,2009,0.481005586592179,0.518994413407821,51.899441340782104,0,0.24957566454129343,0.23441975601057075,-0.3536178734106437,-0.3621664100161874,0.020843567983054184,0.014466247904023283,-0.045305339667119596,-0.05014016141009454,0,-0.0,-0.0,-0.0,-0.0
Anhui,2010,0.452021031876438,0.5479789681235621,54.79789681235621,0,0.19064468760185868,0.18883114818169766,-0.16297318580878506,-0.17333526183448972,0.011989492933332608,0.02851575377673006,-0.033315846733786986,-0.02162440763336448,0,-0.0,-0.0,-0.0,-0.0
Anhui,2011,0.417203242178623,0.5827967578213771,58.27967578213771,0,0.16297318580878506,0.17333526183448972,0.0,0.0,0.033315846733786986,0.02162440763336448,0.0,0.0,0,0.0,0.0,0.0,0.0
Anhui,2012,0.3835763707032,0.6164236292968,61.64236292968,0,0.15470509765745688,0.16315302667086717,0.15470509765745688,0.16315302667086717,0.02541924535369198,0.011888200474907644,0.02541924535369198,0.011888200474907644,1,0.15470509765745688,0.16315302667086717,0.02541924535369198,0.011888200474907644
Anhui,2013,0.384805708928013,0.615194291071987,61.5194291071987,0,0.11197061678236707,0.12715968348296636,0.26667571443982396,0.29031271015383353,0.03571653013616189,0.021489823093662014,0.06113577548985387,0.033378023568569656,1,0.26667571443982396,0.29031271015383353,0.06113577548985387,0.033378023568569656
Anhui,2014,0.356067831305683,0.643932168694317,64.3932168694317,0,0.11873871727526439,0.12657078710715075,0.3854144317150884,0.4168834972609843,0.05109480713278134,0.01555445866497831,0.11223058262263522,0.048932482233547965,1,0.3854144317150884,0.4168834972609843,0.11223058262263522,0.048932482233547965
