province,year,bank_category,shock_assets_growth_loo,shock_assets_cum2011_loo,shock_outlets_growth_loo,shock_outlets_cum2011_loo
Anhui,2005,city,,-1.6063056431457792,,
Anhui,2005,foreign,,-1.2356296199139098,,
Anhui,2005,joint_stock,,-1.309082137778116,,
Anhui,2005,large,,-1.03951936658037,,
Anhui,2005,policy,,-1.128314335613256,,
Anhui,2005,postal,,-1.1759900050639995,,
Anhui,2005,rural,,-1.2947108103539176,,
Anhui,2006,city,0.2517192780628772,-1.354586365082902,,
Anhui,2006,foreign,0.4030965972726914,-0.8325330226412184,,
Anhui,2006,joint_stock,0.28317963967668724,-1.0259024981014289,,
Anhui,2006,large,0.20115826373301182,-0.8383611028473581,,
Anhui,2006,policy,0.09907571926722802,-1.0292386163460279,,
Anhui,2006,postal,0.2213505341819495,-0.95463947088205,,
Anhui,2006,rural,0.2686748244657231,-1.0260359858881944,,
Anhui,2007,city,0.21080826145709075,-1.1437781036258112,,-0.12703316820387478
Anhui,2007,foreign,0.3462472226583806,-0.48628579998283783,,-0.31005091873486545
Anhui,2007,joint_stock,0.32912836715639315,-0.6967741309450357,,-0.11077484351255862
Anhui,2007,large,0.1598223273903443,-0.6785387754570138,,-0.008714000092687968
Anhui,2007,policy,0.1284221997468329,-0.900816416599195,,0.010084119066625874
Anhui,2007,postal,0.07331287520939966,-0.8813265956726504,,-0.06436563562588482
Anhui,2007,rural,0.13078543200025372,-0.8952505538879407,,0.011256923385072781
Anhui,2008,city,0.20851816746879415,-0.9352599361570171,-0.0576823045563053,-0.18471547276018008
Anhui,2008,foreign,0.11441706163761722,-0.3718687383452206,0.15035476145888982,-0.15969615727597564
Anhui,2008,joint_stock,0.023866632015288047,-0.6729074989297477,-0.15292405332381342,-0.26369889683637204
Anhui,2008,large,0.18738252303220548,-0.4911562524248083,0.0004772721337165109,-0.008236727958971457
Anhui,2008,policy,0.29009426783126635,-0.6107221487679286,-0.010647340709224906,-0.0005632216425990322
