province,bank_category,weight_assets_2011,weight_outlets_2011
Anhui,city,0.10486048604860486,0.025247267048412285
Anhui,foreign,0.0013501350135013501,0.0002602811035918792
Anhui,joint_stock,0.09680058914982408,0.012883914627798022
Anhui,large,0.4397757957613943,0.29190525767829256
Anhui,policy,0.1097700679158825,0.011712649661634565
Anhui,postal,0.0689796252352508,0.22123893805309736
Anhui,rural,0.1784633008755421,0.4367516918271733
Beijing,city,0.10694208515949809,0.05652054039150813
Beijing,foreign,0.027319737595375072,0.02591673559415495
Beijing,joint_stock,0.2153106904545156,0.11469534050179211
Beijing,large,0.4984937073569022,0.45822994210090984
Beijing,policy,0.10449259992679699,0.0046870692031982355
Beijing,postal,0.011618631103769955,0.14667769506479184
Beijing,rural,0.0358225484031421,0.19327267714364488
Chongqing,city,0.1102873030583874,0.019776776972782455
Chongqing,foreign,0.005604836930138135,0.004699432151948306
Chongqing,joint_stock,0.21558762522617944,0.04092422165654983
Chongqing,large,0.363696544419436,0.24789504601527315
Chongqing,policy,0.0989010989010989,0.0076365772469159975
Chongqing,postal,0.05097312326227989,0.32896025063638146
Chongqing,rural,0.15494946820248026,0.3501076953201488
Fujian,city,0.05512021371326803,0.02422145328719723
Fujian,foreign,0.023419412288512912,0.00655618284465489
Fujian,joint_stock,0.39097655090531314,0.061737388453833544
Fujian,large,0.3558325912733749,0.38481150974321615
Fujian,policy,0.06542000593647966,0.0072846476051721
Fujian,postal,0.030305728702879193,0.17683482061555272
Fujian,rural,0.07892549718017215,0.33855399745037335
Gansu,city,0.08132381665175882,0.030107047279214986
Gansu,foreign,0.0,0.0
Gansu,joint_stock,0.061472043226666176,0.006244424620874219
Gansu,large,0.49252478048958576,0.3086529884032114
Gansu,policy,0.13820485204724264,0.013157894736842105
Gansu,postal,0.032830725981635965,0.12890276538804638
Gansu,rural,0.19364378160311055,0.5129348795718108
Guangdong,city,0.07858335473927562,0.02858844550327576
Guangdong,foreign,0.04348189057282301,0.01590232281119714
Guangdong,joint_stock,0.23951322887233495,0.08207266229898749
Guangdong,large,0.47614949910095045,0.3874329958308517
Guangdong,policy,0.04829180580529155,0.005062537224538415
Guangdong,postal,0.02038273824813768,0.12263251935675998
Guangdong,rural,0.09359748266118674,0.35830851697438953
Guangxi,city,0.1139679168296909,0.02885317750182615
Guangxi,foreign,0.0006707282991448214,0.0003652300949598247
Guangxi,joint_stock,0.07092951763456487,0.009678597516435355
Guangxi,large,0.4392711419149293,0.356281957633309
Guangxi,policy,0.1160359957520541,0.01168736303871439
Guangxi,postal,0.051143032809792634,0.17220598977355733
Guangxi,rural,0.20798166675982338,0.42092768444119794
Guizhou,city,0.13183130062377804,0.043173862310385065
Guizhou,foreign,0.00027930360301647893,0.00023337222870478414
Guizhou,joint_stock,0.049343636532911274,0.0014002333722287048
Guizhou,large,0.4493994972535146,0.2413068844807468
Guizhou,policy,0.12382459733730565,0.015169194865810968
Guizhou,postal,0.04431617167861465,0.20933488914819137
Guizhou,rural,0.20100549297085932,0.4893815635939323
Hainan,city,0.0,0.0
Hainan,foreign,0.003844086459368332,0.00078003120124805
Hainan,joint_stock,0.05161826266838238,0.014820592823712949
Hainan,large,0.5210528887658202,0.3798751950078003
Hainan,policy,0.2634013649764631,0.014820592823712949
Hainan,postal,0.05264443829101037,0.265990639625585
Hainan,rural,0.10743895883895559,0.3237129485179407
Hebei,city,0.09632664594518225,0.04018036072144288
Hebei,foreign,0.00031082226617688613,0.0001002004008016032
Hebei,joint_stock,0.07747951398700198,0.010420841683366733
Hebei,large,0.5112743712913252,0.3113226452905812
Hebei,policy,0.063549025148347,0.016432865731462926
Hebei,postal,0.05334840350381464,0.1369739478957916
Hebei,rural,0.19771121785815202,0.4845691382765531
Heilongjiang,city,0.15981806775407778,0.053495934959349595
Heilongjiang,foreign,0.000836470096194061,0.0008130081300813008
Heilongjiang,joint_stock,0.07083856127143455,0.012357723577235772
Heilongjiang,large,0.43914680050188204,0.33252032520325203
Heilongjiang,policy,0.13921999163529905,0.014634146341463415
Heilongjiang,postal,0.08521539104976997,0.2640650406504065
Heilongjiang,rural,0.10492471769134254,0.3221138211382114
Henan,city,0.08710224004725707,0.05013081272681239
Henan,foreign,0.0013244415426945859,0.00016879061524179256
Henan,joint_stock,0.1330286495981595,0.01451599291079416
Henan,large,0.41933809013042334,0.2664359861591695
Henan,policy,0.09415349220413811,0.012828086758376234
Henan,postal,0.07846227984268371,0.20018566967676596
Henan,rural,0.18659080663464378,0.4557346611528399
Hubei,city,0.06671461351416144,0.026778001727613014
Hubei,foreign,0.0031850405835816293,0.0014396775122372588
Hubei,joint_stock,0.1622315832733998,0.026058162971494384
Hubei,large,0.4589198260214391,0.391304347826087
Hubei,policy,0.12017534847083804,0.013676936366253958
Hubei,postal,0.06654337477310866,0.2258854016700259
Hubei,rural,0.12223021336347135,0.3148574719262885
Hunan,city,0.09772261718279311,0.02434188787311378
Hunan,foreign,0.0009639715628388962,0.00044057715607445755
Hunan,joint_stock,0.12117925854520625,0.013878180416345412
Hunan,large,0.4341486926135679,0.2625839850203767
Hunan,policy,0.11547576013174278,0.012776737526159269
Hunan,postal,0.06988793830581998,0.2251349267540478
Hunan,rural,0.16062176165803108,0.4608437052538826
Jiangsu,city,0.11041815012154099,0.05761176168903325
Jiangsu,foreign,0.00692415350995654,0.004444824343961022
Jiangsu,joint_stock,0.17311611461683896,0.0656466364646551
Jiangsu,large,0.487772239546247,0.3967005726985212
Jiangsu,policy,0.04225697939941562,0.007949397384391828
Jiangsu,postal,0.038745795172735534,0.20873578938370801
Jiangsu,rural,0.1407665676332654,0.2589110180357295
Jiangxi,city,0.12826455624646693,0.03867579181919465
Jiangxi,foreign,0.001187111362351611,0.0004774789113480821
Jiangxi,joint_stock,0.09423403052572074,0.02180487028489575
Jiangxi,large,0.4422272470322216,0.29046633773674996
Jiangxi,policy,0.08784624081401922,0.015279325163138627
Jiangxi,postal,0.07348784624081402,0.2250517268820627
Jiangxi,rural,0.17275296777840587,0.4082444692026102
Jilin,city,0.12972825344804043,0.07500551511140525
Jilin,foreign,0.00034139014065273795,0.0
Jilin,joint_stock,0.08992216304793117,0.007941760423560556
Jilin,large,0.4214119896217397,0.33068607985881315
Jilin,policy,0.15041649597159634,0.010809618354290756
