province,city,metric,code,name,source,unit,update_date,year,value,normalized_value
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2006,1346.65,1346.65
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2007,1585.31,1585.31
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2008,1815.3,1815.3
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2009,1918.03,1918.03
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2010,2300.2,2300.2
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2011,2677.09,2677.09
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2012,2890.57,2890.57
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2013,3147.66,3147.66
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2014,3352.6,3352.6
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2015,3517.81,3517.81
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2016,3862.11,3862.11
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2017,4380.52,4380.52
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2018,4871.98,4871.98
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2019,5370.32,5370.32
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2020,5509.52,5509.52
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2021,6355.28,6355.28
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,2022,6739.0,6739.0
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2005,1063.54,1063.54
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2006,1234.7,1234.7
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2007,1465.75,1465.75
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2008,1681.85,1681.85
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2009,1776.06,1776.06
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2010,2110.04,2110.04
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2011,2458.07,2458.07
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2012,2710.77,2710.77
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2013,2958.78,2958.78
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2014,3208.2,3208.2
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2015,3402.34,3402.34
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2016,3684.94,3684.94
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2017,3848.62,3848.62
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2018,4100.23,4100.23
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2019,4559.91,4559.91
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2020,4703.95,4703.95
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2021,5355.44,5355.44
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,2022,5562.0,5562.0
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2005,1596.35,1596.35
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2006,1837.5,1837.5
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2007,2158.91,2158.91
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2008,2424.29,2424.29
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2009,2527.34,2527.34
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2010,2925.04,2925.04
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2011,3418.53,3418.53
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2012,3669.18,3669.18
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2013,4003.86,4003.86
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2014,4303.05,4303.05
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2015,4618.08,4618.08
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2016,5101.56,5101.56
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2017,5411.59,5411.59
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2018,6006.16,6006.16
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2019,6606.11,6606.11
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2020,6870.9,6870.9
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2021,7585.02,7585.02
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,2022,8030.0,8030.0
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2005,644.25,644.25
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2006,761.02,761.02
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2007,892.02,892.02
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2008,1034.89,1034.89
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2009,1101.83,1101.83
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2010,1301.73,1301.73
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2011,1520.06,1520.06
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2012,1664.3,1664.3
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2013,1803.15,1803.15
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2014,1956.0,1956.0
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2015,2084.26,2084.26
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2016,2284.37,2284.37
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2017,2476.13,2476.13
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2018,2881.2,2881.2
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2019,3122.43,3122.43
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2020,3201.4,3201.4
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2021,3644.87,3644.87
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,2022,3850.0,3850.0
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2005,280.16,280.16
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2006,335.2,335.2
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2007,408.52,408.52
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2008,490.25,490.25
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2009,535.24,535.24
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2010,644.32,644.32
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2011,772.75,772.75
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2012,853.18,853.18
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2013,930.85,930.85
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2014,1015.26,1015.26
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2015,1092.85,1092.85
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2016,1241.2,1241.2
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2017,1219.78,1219.78
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2018,1247.2,1247.2
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2019,1371.6,1371.6
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2020,1512.1,1512.1
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2021,1703.62,1703.62
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,2022,1951.0,1951.0
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2005,329.11,329.11
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2006,387.4,387.4
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2007,478.5,478.5
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2008,580.05,580.05
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2009,626.55,626.55
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2010,755.48,755.48
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2011,919.62,919.62
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2012,972.25,972.25
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2013,1056.57,1056.57
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2014,1115.1,1115.1
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2015,1146.13,1146.13
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2016,1251.59,1251.59
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2017,1331.27,1331.27
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2018,1457.08,1457.08
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2019,1573.52,1573.52
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2020,1639.12,1639.12
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2021,1875.61,1875.61
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,2022,2003.0,2003.0
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2005,305.99,305.99
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2006,335.37,335.37
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2007,433.94,433.94
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2008,505.68,505.68
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2009,546.55,546.55
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2010,663.29,663.29
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2011,798.22,798.22
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2012,894.1,894.1
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2013,983.08,983.08
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2014,1051.75,1051.75
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2015,1103.29,1103.29
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2016,1210.24,1210.24
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2017,1250.92,1250.92
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2018,1394.67,1394.67
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2019,1476.61,1476.61
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2020,1540.02,1540.02
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2021,1710.03,1710.03
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,2022,1831.0,1831.0
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2016,8686.49,8686.49
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2017,9842.1,9842.1
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2018,10745.46,10745.46
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2019,11985.0,11985.0
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2020,12409.0,12409.0
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2021,14595.0,14595.0
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,2022,15704.0,15704.0
