year,province,city,gdp,mining_emp,so2,urban_unit_emp,pilot_city,post2017,pilot_post2017,resource_share_2016,resource_share_2016_z,post_resource,pilot_resource,pilot_post_resource,ln_so2,ln_gdp,so2_per_gdp,ln_so2_per_gdp,city_id,province_id,province_year_id
2019,浙江,台州,5134.05,0.02,8004.0,87.98,0,1,0,0.00010622477161674102,-0.22716978981953903,-0.22716978981953903,-0.0,-0.0,8.987821625430815,8.543650100378597,1.5590031261869284,0.9396177788208792,10,1,15
2020,浙江,台州,5262.72,,6034.0,,0,1,0,0.00010622477161674102,-0.22716978981953903,-0.22716978981953903,-0.0,-0.0,8.705331133531631,8.568403282342477,1.1465553934087316,0.7638644147360502,10,1,16
2021,浙江,台州,5786.19,,3119.0,,0,1,0,0.00010622477161674102,-0.22716978981953903,-0.22716978981953903,-0.0,-0.0,8.045588280803528,8.663229322881477,0.5390420985138753,0.43116020894257373,10,1,17
2022,浙江,台州,6041.0,,3831.18,,0,1,0,0.00010622477161674102,-0.22716978981953903,-0.22716978981953903,-0.0,-0.0,8.251189110847687,8.706324840138741,0.6341963251117364,0.49115113922755976,10,1,18
2005,浙江,嘉兴,1159.66,,,,0,0,0,,,,,,,7.055882137688924,,,4,1,1
2006,浙江,嘉兴,1346.65,,,,0,0,0,,,,,,,7.2053753059728765,,,4,1,2
2007,浙江,嘉兴,1585.31,,,,0,0,0,,,,,,,7.3685352507836175,,,4,1,3
2008,浙江,嘉兴,1815.3,,,,0,0,0,,,,,,,7.504006022296386,,,4,1,4
2009,浙江,嘉兴,1918.03,,,,0,0,0,,,,,,,7.559053896614073,,,4,1,5
2010,浙江,嘉兴,2300.2,,,,0,0,0,,,,,,,7.740751354658481,,,4,1,6
2011,浙江,嘉兴,2677.09,,,,0,0,0,,,,,,,7.892485662678793,,,4,1,7
2012,浙江,嘉兴,2890.57,,,,0,0,0,,,,,,,7.969208993492747,,,4,1,8
2013,浙江,嘉兴,3147.66,,,,0,0,0,,,,,,,8.054414598621733,,,4,1,9
2014,浙江,嘉兴,3352.6,,,,0,0,0,,,,,,,8.117491443197178,,,4,1,10
2015,浙江,嘉兴,3517.81,,,,0,0,0,,,,,,,8.165593915879953,,,4,1,11
2016,浙江,嘉兴,3862.11,,,80.55,0,0,0,,,,,,,8.258968945234313,,,4,1,12
2017,浙江,嘉兴,4380.52,,,79.13,0,1,0,,,,,,,8.384922717784844,,,4,1,13
2018,浙江,嘉兴,4871.98,,,75.26,0,1,0,,,,,,,8.491255704290994,,,4,1,14
2019,浙江,嘉兴,5370.32,,,73.97,0,1,0,,,,,,,8.588642776044052,,,4,1,15
2020,浙江,嘉兴,5509.52,,,,0,1,0,,,,,,,8.614232784014717,,,4,1,16
2021,浙江,嘉兴,6355.28,,,,0,1,0,,,,,,,8.757041242448386,,,4,1,17
2022,浙江,嘉兴,6739.0,,,,0,1,0,,,,,,,8.815666824946216,,,4,1,18
2005,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,1
2006,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,2
2007,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,3
2008,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,4
2009,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,5
2010,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,6
2011,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,7
2012,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,8
2013,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,9
2014,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,10
2015,浙江,宁波,,,,,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,,,,2,1,11
2016,浙江,宁波,8686.49,0.1,,151.86,0,0,0,0.0006585012511523771,-0.2197919331940137,-0.0,-0.0,-0.0,,9.069524224121642,,,2,1,12
2017,浙江,宁波,9842.1,,,161.28,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.194424381910782,,,2,1,13
2018,浙江,宁波,10745.46,,,150.83,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.28223861876985,,,2,1,14
2019,浙江,宁波,11985.0,0.0,,158.15,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.391411146868485,,,2,1,15
2020,浙江,宁波,12409.0,,,,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.42617729477462,,,2,1,16
2021,浙江,宁波,14595.0,,,,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.588434283288215,,,2,1,17
2022,浙江,宁波,15704.0,,,,0,1,0,0.0006585012511523771,-0.2197919331940137,-0.2197919331940137,-0.0,-0.0,,9.661670735956298,,,2,1,18
2005,浙江,杭州,2942.65,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,7.987065814895469,,,1,1,1
2006,浙江,杭州,3441.51,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.143665607543918,,,1,1,2
2007,浙江,杭州,4100.17,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.31878371524745,,,1,1,3
2008,浙江,杭州,4781.16,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.47243847386827,,,1,1,4
2009,浙江,杭州,5087.55,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.534551657712385,,,1,1,5
2010,浙江,杭州,5949.17,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.691006993010912,,,1,1,6
2011,浙江,杭州,7019.06,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.856384584920129,,,1,1,7
2012,浙江,杭州,7802.01,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,8.962136671788416,,,1,1,8
2013,浙江,杭州,8343.52,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,9.029240468659653,,,1,1,9
2014,浙江,杭州,9206.16,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,9.127628104195741,,,1,1,10
2015,浙江,杭州,10050.21,,,,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,9.215348808791301,,,1,1,11
2016,浙江,杭州,11313.72,0.1,,290.13,0,0,0,0.0003446730775859098,-0.22398436100041,-0.0,-0.0,-0.0,,9.333771427497162,,,1,1,12
2017,浙江,杭州,12603.36,0.06,,287.02,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.441718724057,,,1,1,13
2018,浙江,杭州,14307.0,0.07,,279.19,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.568504206966335,,,1,1,14
2019,浙江,杭州,15373.0,0.12,,286.54,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.640368002912599,,,1,1,15
2020,浙江,杭州,16105.83,,,,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.686936597227142,,,1,1,16
2021,浙江,杭州,18109.42,,,,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.804187523859905,,,1,1,17
2022,浙江,杭州,18753.07,,,,0,1,0,0.0003446730775859098,-0.22398436100041,-0.22398436100041,-0.0,-0.0,,9.83911275132905,,,1,1,18
2005,浙江,温州,1596.35,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.375475052213023,,,3,1,1
2006,浙江,温州,1837.5,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.516161231086992,,,3,1,2
2007,浙江,温州,2158.91,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.677358743680198,,,3,1,3
2008,浙江,温州,2424.29,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.793293976996971,,,3,1,4
2009,浙江,温州,2527.34,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.8349226452311225,,,3,1,5
2010,浙江,温州,2925.04,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,7.981063434786127,,,3,1,6
2011,浙江,温州,3418.53,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.136965913094192,,,3,1,7
2012,浙江,温州,3669.18,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.207723482841184,,,3,1,8
2013,浙江,温州,4003.86,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.295014174788855,,,3,1,9
2014,浙江,温州,4303.05,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.36707935257123,,,3,1,10
2015,浙江,温州,4618.08,,,,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.437734313281064,,,3,1,11
2016,浙江,温州,5101.56,0.06,,104.6,0,0,0,0.0005736137667304016,-0.22092594435069635,-0.0,-0.0,-0.0,,8.53730165429289,,,3,1,12
2017,浙江,温州,5411.59,0.05,,119.11,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.596298228845171,,,3,1,13
2018,浙江,温州,6006.16,0.01,,107.36,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.700540888215077,,,3,1,14
2019,浙江,温州,6606.11,0.04,,99.93,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.795750257341012,,,3,1,15
2020,浙江,温州,6870.9,,,,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.835050381002885,,,3,1,16
2021,浙江,温州,7585.02,,,,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.93393052856228,,,3,1,17
2022,浙江,温州,8030.0,,,,0,1,0,0.0005736137667304016,-0.22092594435069635,-0.22092594435069635,-0.0,-0.0,,8.990939806940807,,,3,1,18
2005,浙江,湖州,644.25,,,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,,6.468086849532474,,,5,1,1
2006,浙江,湖州,761.02,,57187.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.954099365149055,6.634659638725276,75.1451998633413,4.332642042073226,5,1,2
2007,浙江,湖州,892.02,,51322.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.845894273763054,6.793488553853314,57.53458442635815,4.069617766331105,5,1,3
2008,浙江,湖州,1034.89,,48823.09,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.795979117578359,6.942050419858093,47.177081622201385,3.874883422961139,5,1,4
2009,浙江,湖州,1101.83,,58694.57,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.980119534484482,7.004727712840018,53.27007796120999,3.9939730246176754,5,1,5
2010,浙江,湖州,1301.73,,50976.3,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.839135714581712,7.171449427991815,39.16042497292065,3.692882057322521,5,1,6
2011,浙江,湖州,1520.06,,40285.43,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.603769966664572,7.326505086745467,26.502526216070418,3.3142778628559943,5,1,7
2012,浙江,湖州,1664.3,,40551.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.610340380152186,7.417159893592681,24.365198581986423,3.2333780999644084,5,1,8
2013,浙江,湖州,1803.15,,38883.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.56833813394096,7.497290414418373,21.563929789534978,3.1163526042585903,5,1,9
2014,浙江,湖州,1956.0,,38424.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.556463568406796,7.578656850594762,19.644171779141104,3.027433041272066,5,1,10
2015,浙江,湖州,2084.26,,40226.0,,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.602293690947752,7.642169155168142,19.299895406523177,3.010615733646447,5,1,11
2016,浙江,湖州,2284.37,0.11,28558.0,50.23,1,0,0,0.00218992633884133,-0.19933363893675718,-0.0,-0.19933363893675718,-0.0,10.259727401834914,7.733845554153258,12.50147743141435,2.6027991188203594,5,1,12
2017,浙江,湖州,2476.13,0.11,22165.0,50.38,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,10.006314862335598,7.81445213646497,8.95146862240674,2.297720140520541,5,1,13
2018,浙江,湖州,2881.2,0.08,18801.0,47.37,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,9.841718526138497,7.965962153015208,6.525406080799667,2.018284773404792,5,1,14
2019,浙江,湖州,3122.43,0.09,15341.0,48.98,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,9.63834944451924,8.0463668238141,4.913160583263676,1.7771804741333288,5,1,15
2020,浙江,湖州,3201.4,,2465.68,,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,7.810628395914947,8.071343493112597,0.770188042731305,0.5710857797740386,5,1,16
2021,浙江,湖州,3644.87,,4155.75,,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,8.332488797920488,8.201075978511811,1.1401641210797642,0.7608825181864196,5,1,17
2022,浙江,湖州,3850.0,,3790.26,,1,1,1,0.00218992633884133,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,-0.19933363893675718,8.240453696651802,8.25582842728183,0.984483116883117,0.6853584857132935,5,1,18
2005,浙江,绍兴,1447.47,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.277572483843776,,,6,1,1
2006,浙江,绍兴,1677.63,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.425137362117374,,,6,1,2
2007,浙江,绍兴,1972.05,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.586828889810723,,,6,1,3
2008,浙江,绍兴,2222.95,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.706590421583489,,,6,1,4
2009,浙江,绍兴,2375.78,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.773081083602984,,,6,1,5
2010,浙江,绍兴,2795.2,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,7.935658939379792,,,6,1,6
2011,浙江,绍兴,3332.0,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.111328003286733,,,6,1,7
2012,浙江,绍兴,3654.03,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.203585947084873,,,6,1,8
2013,浙江,绍兴,3967.29,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.285838520943008,,,6,1,9
2014,浙江,绍兴,4265.88,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.35840376924044,,,6,1,10
2015,浙江,绍兴,4465.97,,,,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.404241714957031,,,6,1,11
2016,浙江,绍兴,4789.03,0.18,,136.83,0,0,0,0.0013155009866257397,-0.21101507951484516,-0.0,-0.0,-0.0,,8.474083164678804,,,6,1,12
2017,浙江,绍兴,5078.37,0.17,,120.25,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.53274562294224,,,6,1,13
2018,浙江,绍兴,5416.9,0.15,,115.06,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.597278975085066,,,6,1,14
2019,浙江,绍兴,5780.74,0.06,,102.95,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.66228698115324,,,6,1,15
2020,浙江,绍兴,6001.0,,,,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.699681400989514,,,6,1,16
2021,浙江,绍兴,6795.26,,,,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.82398058928221,,,6,1,17
2022,浙江,绍兴,7351.0,,,,0,1,0,0.0013155009866257397,-0.21101507951484516,-0.21101507951484516,-0.0,-0.0,,8.902591637374087,,,6,1,18
2005,浙江,舟山,280.16,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,5.635360868537542,,,9,1,1
2006,浙江,舟山,335.2,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,5.814727368607928,,,9,1,2
2007,浙江,舟山,408.52,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.012540872709899,,,9,1,3
2008,浙江,舟山,490.25,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.1949154650764555,,,9,1,4
2009,浙江,舟山,535.24,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.282715244436788,,,9,1,5
2010,浙江,舟山,644.32,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.468195497103144,,,9,1,6
2011,浙江,舟山,772.75,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.649955581012225,,,9,1,7
2012,浙江,舟山,853.18,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.748970545159765,,,9,1,8
2013,浙江,舟山,930.85,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.836098147217906,,,9,1,9
2014,浙江,舟山,1015.26,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.92290001630859,,,9,1,10
2015,浙江,舟山,1092.85,,,,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,6.9965442417961965,,,9,1,11
2016,浙江,舟山,1241.2,0.11,,46.99,0,0,0,0.0023409236007661204,-0.19731646784472606,-0.0,-0.0,-0.0,,7.123833932574225,,,9,1,12
2017,浙江,舟山,1219.78,0.03,,18.38,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.106425793597425,,,9,1,13
2018,浙江,舟山,1247.2,0.03,,18.14,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.128656317743567,,,9,1,14
2019,浙江,舟山,1371.6,0.03,,18.61,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.223733220588765,,,9,1,15
2020,浙江,舟山,1512.1,,,,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.3212546921186235,,,9,1,16
2021,浙江,舟山,1703.62,,,,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.440510677825181,,,9,1,17
2022,浙江,舟山,1951.0,,,,0,1,0,0.0023409236007661204,-0.19731646784472606,-0.19731646784472606,-0.0,-0.0,,7.576097340623111,,,9,1,18
2005,浙江,衢州,329.11,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,5.796392041388594,,,8,1,1
2006,浙江,衢州,387.4,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,5.959457750972896,,,8,1,2
2007,浙江,衢州,478.5,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.170656210893009,,,8,1,3
2008,浙江,衢州,580.05,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.363114306721416,,,8,1,4
2009,浙江,衢州,626.55,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.440228579611294,,,8,1,5
2010,浙江,衢州,755.48,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.6273533088276455,,,8,1,6
2011,浙江,衢州,919.62,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.823960541238871,,,8,1,7
2012,浙江,衢州,972.25,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.879612973035857,,,8,1,8
2013,浙江,衢州,1056.57,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,6.962783091368581,,,8,1,9
2014,浙江,衢州,1115.1,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,7.016699365971316,,,8,1,10
2015,浙江,衢州,1146.13,,,,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,7.044146328886452,,,8,1,11
2016,浙江,衢州,1251.59,0.02,,20.69,1,0,0,0.0009666505558240696,-0.21567536934716167,-0.0,-0.21567536934716167,-0.0,,7.132170021989718,,,8,1,12
2017,浙江,衢州,1331.27,0.03,,20.45,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.193888652819062,,,8,1,13
2018,浙江,衢州,1457.08,0.03,,19.33,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.284189712031709,,,8,1,14
2019,浙江,衢州,1573.52,0.03,,20.79,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.361070426941637,,,8,1,15
2020,浙江,衢州,1639.12,,,,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.401914791438943,,,8,1,16
2021,浙江,衢州,1875.61,,,,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.536689218828431,,,8,1,17
2022,浙江,衢州,2003.0,,,,1,1,1,0.0009666505558240696,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,-0.21567536934716167,,7.602401335665818,,,8,1,18
2005,浙江,金华,1063.54,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,6.9693582455926055,,,7,1,1
2006,浙江,金华,1234.7,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.118583304573698,,,7,1,2
2007,浙江,金华,1465.75,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.290122335844324,,,7,1,3
2008,浙江,金华,1681.85,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.427649657008004,,,7,1,4
2009,浙江,金华,1776.06,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.48215270676524,,,7,1,5
2010,浙江,金华,2110.04,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.6544621836363955,,,7,1,6
2011,浙江,金华,2458.07,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.807131768158231,,,7,1,7
2012,浙江,金华,2710.77,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.904988006356984,,,7,1,8
2013,浙江,金华,2958.78,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,7.992532300193774,,,7,1,9
2014,浙江,金华,3208.2,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,8.07346531118274,,,7,1,10
2015,浙江,金华,3402.34,,,,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,8.132218709173069,,,7,1,11
2016,浙江,金华,3684.94,0.03,,92.66,0,0,0,0.00032376429958989856,-0.2242636811814889,-0.0,-0.0,-0.0,,8.212009522265642,,,7,1,12
2017,浙江,金华,3848.62,0.01,,76.49,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.255469921467858,,,7,1,13
2018,浙江,金华,4100.23,0.01,,86.97,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.318798348679966,,,7,1,14
2019,浙江,金华,4559.91,0.02,,69.53,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.425058165471553,,,7,1,15
2020,浙江,金华,4703.95,,,,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.456157860270272,,,7,1,16
2021,浙江,金华,5355.44,,,,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.585868145706206,,,7,1,17
2022,浙江,金华,5562.0,,,,0,1,0,0.00032376429958989856,-0.2242636811814889,-0.2242636811814889,-0.0,-0.0,,8.62371303479391,,,7,1,18
