province,city,metric,code,name,source,unit,update_date,n_years,first_year,last_year
广东,湛江,gdp,M0058316,广东:湛江:GDP,广东省统计局,亿元,20260204,18,2005,2022
广东,湛江,mining_emp,A0711432,广东:湛江:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,湛江,so2,Q0885406,广东:湛江:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,湛江,urban_unit_emp,Z3661616,广东:湛江:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,潮州,gdp,M0058327,广东:潮州:GDP,广东省统计局,亿元,20260203,18,2005,2022
广东,潮州,mining_emp,B3669186,广东:潮州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,潮州,so2,U9961126,广东:潮州:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,潮州,urban_unit_emp,A7308565,广东:潮州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,珠海,gdp,M0058312,广东:珠海:GDP,广东省统计局,亿元,20260131,18,2005,2022
广东,珠海,mining_emp,O3714404,广东:珠海:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,珠海,so2,V2563025,广东:珠海:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,珠海,urban_unit_emp,T5428643,广东:珠海:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,肇庆,gdp,M0058318,广东:肇庆:GDP,广东省统计局,亿元,20260202,18,2005,2022
广东,肇庆,mining_emp,N7729345,广东:肇庆:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,肇庆,so2,X2954620,广东:肇庆:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,肇庆,urban_unit_emp,J9731186,广东:肇庆:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,茂名,gdp,M0058317,广东:茂名:GDP,广东省统计局,亿元,20260608,18,2005,2022
广东,茂名,urban_unit_emp,Q6354816,广东:茂名:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,阳江,gdp,M0058323,广东:阳江:GDP,广东省统计局,亿元,20260508,18,2005,2022
广东,阳江,mining_emp,V1073652,广东:阳江:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,阳江,so2,C7464692,广东:阳江:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,阳江,urban_unit_emp,L7451548,广东:阳江:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,韶关,gdp,M0058311,广东:韶关:GDP,广东省统计局,亿元,20260205,18,2005,2022
广东,韶关,mining_emp,J4474507,广东:韶关:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,韶关,so2,W8188876,广东:韶关:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,韶关,urban_unit_emp,K9853066,广东:韶关:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
新疆,乌鲁木齐,gdp,M0027461,新疆:乌鲁木齐:GDP,国家统计局,亿元,20260512,18,2005,2022
新疆,乌鲁木齐,mining_emp,K6207564,新疆:乌鲁木齐:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
新疆,乌鲁木齐,urban_unit_emp,X6262787,新疆:乌鲁木齐:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
新疆,克拉玛依,gdp,M0058395,新疆:克拉玛依:GDP,新疆统计局,亿元,20260206,18,2005,2022
新疆,克拉玛依,mining_emp,H0657635,新疆:克拉玛依:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
新疆,克拉玛依,urban_unit_emp,N8685129,新疆:克拉玛依:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
新疆,吐鲁番,gdp,M6105544,新疆:吐鲁番:GDP,新疆统计局,万元,20260423,18,2005,2022
新疆,吐鲁番,mining_emp,Q9519715,新疆:吐鲁番:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20240718,3,2017,2019
新疆,吐鲁番,urban_unit_emp,N0707904,新疆:吐鲁番:就业人员数:城镇单位,统计资料汇编,万人,20240718,3,2017,2019
新疆,哈密,gdp,M6105548,新疆:哈密:GDP,新疆统计局,万元,20260210,18,2005,2022
新疆,阿勒泰地区,gdp,T2127210,新疆:阿勒泰地区:北屯:GDP,统计资料汇编,亿元,20260129,7,2016,2022
浙江,丽水,gdp,M0058223,浙江:丽水:GDP,浙江省统计局,亿元,20260209,18,2005,2022
浙江,丽水,mining_emp,P3962771,浙江:丽水:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,丽水,urban_unit_emp,Y2376698,浙江:丽水:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,台州,gdp,M0058222,浙江:台州:GDP,浙江省统计局,亿元,20260203,18,2005,2022
浙江,台州,mining_emp,U2213872,浙江:台州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,台州,so2,D8852477,浙江:台州:二氧化硫排放量,台州市统计局,吨,20260318,18,2005,2022
浙江,台州,urban_unit_emp,L1515516,浙江:台州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,嘉兴,gdp,M0058216,浙江:嘉兴:GDP,浙江省统计局,亿元,20260209,18,2005,2022
浙江,嘉兴,urban_unit_emp,W6009561,浙江:嘉兴:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,宁波,gdp,L5494133,浙江:宁波:GDP,统计资料汇编,亿元,20260319,7,2016,2022
浙江,宁波,mining_emp,L9980903,浙江:宁波:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,2,2016,2019
浙江,宁波,urban_unit_emp,Z0533087,浙江:宁波:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
