province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Shaanxi,陕西,2021,525.0,0.267,1.8,352.0,0.179,4.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.25,0.15,0.267,0.179
Shaanxi,陕西,2022,511.0,0.215,-5.2,411.0,0.17300000000000001,-0.6,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.215,0.17300000000000001,0.215,0.17300000000000001
Shaanxi,陕西,2023,,0.259,4.4,,0.20199999999999999,2.9,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.23,0.185,0.259,0.20199999999999999
Shandong,山东,2015,270.0,0.064,,257.0,0.06,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.064,0.06
Shandong,山东,2016,327.0,0.061,0.8,302.0,0.055999999999999994,0.6,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.061,0.055999999999999994
Shandong,山东,2017,399.0,0.073,1.2,372.0,0.069,1.3,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.073,0.069
Shandong,山东,2018,583.6,0.099,2.6,555.62,0.094,2.5,0.1,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.099,0.094
Shandong,山东,2019,727.0,0.11599999999999999,1.7,692.0,0.111,1.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.11599999999999999,0.111
Shandong,山东,2020,860.0,0.124,0.8,792.0,0.114,0.3,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.115,0.11,0.124,0.114
Shandong,山东,2021,1167.0,0.158,3.4,1100.0,0.149,3.5,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.13,0.125,0.158,0.149
