province,resource_dependence_index,mining_fiscal_dependence_z,state_owned_asset_lockin_z,early_power_export_z,wind_curtailment_rate_2020_2023,solar_curtailment_rate_2020_2023,wind_utilization_hours_2018_2023
Anhui,0.3742311609193539,-0.3799521183252209,0.1108779489713598,0.3953728673502826,0.0,0.0,2053.0
Beijing,-1.0044194333833678,-0.8197628164850622,1.1764606462220044,-1.0120961998628597,0.0009999999999999501,0.0,1845.3333333333333
Chongqing,-0.3573362566455068,-0.7108638091671952,0.0738069296772522,-0.6604134054857143,0.0,0.0,2044.5
Fujian,-0.7798645929630741,-0.7793202090329765,-1.6030099368659616,-0.981523283399488,0.0,0.0,2803.5
Gansu,-0.0380057677488121,-0.1371148447076856,1.5233219881744524,0.3200675236141629,0.05424999999999998,0.02625,1901.0
Guangdong,-1.0156927108472016,-0.8094758722288703,-1.6061239030351555,-0.7791583252007119,0.00124999999999995,0.00024999999999995,1908.1666666666667
Guangxi,-0.6950538252229775,-0.7170646123320531,-0.1199318396580572,-0.3896645690035786,0.0,0.0,2409.1666666666665
Guizhou,0.2504337826753014,0.3250023401543279,1.1077636791489514,2.126824174432475,0.0035,0.00549999999999985,1930.3333333333333
Hainan,-0.8006535448325254,-0.6182827884445841,-0.963719873811674,-1.103879028948806,0.00024999999999995,0.0005,1708.0
Hebei,0.0273251399982809,-0.2202835742399148,-0.2668059784445019,-0.0629206196526658,0.048499999999999974,0.019,2209.0
Heilongjiang,0.6940292034952598,1.4984466537978578,,0.1481327811260025,0.014,0.00599999999999995,2339.8333333333335
Henan,0.3765780989930563,-0.3475748825723743,-0.433932706825884,-0.9910921567119624,0.01725,0.00724999999999995,1828.6666666666667
Hubei,-0.6789277708559504,-0.7961077232761101,0.4288749554250129,1.4817661700811575,0.0025,0.00425,2066.1666666666665
Hunan,-0.5927116911030949,-0.7136383593798195,-0.310453085603887,-0.594915156093609,0.023499999999999976,0.00024999999999995,2089.5
Jiangsu,-0.7841798045160147,-0.8491542765816291,-2.0291674201699346,-0.9173227299782084,0.0,0.0,2205.1666666666665
Jiangxi,-0.3551589188427901,-0.5903596201363751,-0.3580744878440254,-1.1085509149946795,0.0004999999999999,0.00024999999999995,2106.8333333333335
Jilin,-0.2428262942416052,-0.2911458641682229,0.1310558819676593,0.8972968234069038,0.035249999999999976,0.01749999999999995,2259.3333333333335
Liaoning,0.0561735457066631,0.1683047530950864,-0.0039909981224465,-0.1826941337939451,0.01625,0.0045000000000000005,2314.8333333333335
Neimenggu,1.0548915166694883,1.9315894283159385,0.2037778979620474,1.6242345582698228,0.0597499999999999,0.020999999999999977,2353.6666666666665
Ningxia,0.807750920403841,0.1687765762275102,0.5344961623325374,1.0407337986043372,0.020749999999999998,0.027999999999999952,1878.6666666666667
Qinghai,1.0068947481623984,1.2274922587838972,1.1480835280595258,-0.7398690955379051,0.07124999999999992,0.09824999999999995,1582.1666666666667
Shaanxi,0.5105650572182281,1.1362587688964558,1.433691447713331,-0.4726609537494645,0.03249999999999997,0.026500000000000003,1928.3333333333333
Shandong,0.0378967263250462,-0.2289516198094416,-1.1655450480890963,,0.022999999999999975,0.01025,2023.3333333333333
Shanghai,,-0.9044241478980192,-0.3230516480650635,-0.4571732798593901,0.0,0.0,2262.8333333333335
Shanxi,3.055774673818022,3.0070578236167296,0.539799682402957,1.1921092619562024,0.02074999999999995,0.01374999999999995,2076.1666666666665
Sichuan,-0.4245413633292783,-0.5882654343062734,-0.0494285184993308,2.1190481671750514,0.0,0.0,2441.6666666666665
Tianjin,-0.3281872114728013,1.1006047638031684,-0.0087949869527338,-0.4929608933318858,0.0005,0.00024999999999995,1898.0
Xinjiang,0.7933904146032126,1.5910434716969375,0.957718675976618,-0.2297018537892557,0.06599999999999992,0.03049999999999995,2195.3333333333335
Xizang,-0.5109689431832545,-0.4895597168742778,1.179507810968604,-0.4502679488130648,0.0,0.21799999999999992,2331.1666666666665
Yunnan,-0.2252975696813308,-0.2823215319024921,0.8522199757228129,1.1892699127830957,0.00199999999999985,0.00449999999999995,2610.5
Zhejiang,-0.9277415463533284,-0.8809530165193121,-2.159426778737371,-0.9079914905923042,0.0,0.0,2205.8333333333335
