specification,exposure_definition,period,n_intervals,events,coef,hazard_ratio,se_cluster_province,p
standardized_continuous,coalexp_pre（每 1 个省级标准差）,pre_2000_2011,12344,443,0.23364844953868563,1.2632003354799304,0.12563995506015832,0.06293268607152135
standardized_continuous,coalexp_pre（每 1 个省级标准差）,early_2012_2015,12344,135,0.013667692087684574,1.013761521983229,0.24146009848428657,0.9548603687695592
standardized_continuous,coalexp_pre（每 1 个省级标准差）,supply_2016_2020,12344,253,0.08033252210090243,1.08364734446326,0.21874365374628313,0.7134362450041359
standardized_continuous,coalexp_pre（每 1 个省级标准差）,carbon_2021_2025,12344,121,0.11664847213546388,1.1237243398345493,0.2303682411938592,0.6126063579285812
median_high_coal,高煤组（coalexp_pre >= 样本中位数 0.4316）,pre_2000_2011,12344,443,0.31229245658209115,1.3665542923914946,0.1934428910665973,0.10644264910722387
median_high_coal,高煤组（coalexp_pre >= 样本中位数 0.4316）,early_2012_2015,12344,135,0.13768680628097466,1.147616067838997,0.34005684559632915,0.6855557967527641
median_high_coal,高煤组（coalexp_pre >= 样本中位数 0.4316）,supply_2016_2020,12344,253,0.1006811337334689,1.1059239436956603,0.3782516412356316,0.7901044294582222
median_high_coal,高煤组（coalexp_pre >= 样本中位数 0.4316）,carbon_2021_2025,12344,121,0.8416404186896234,2.320169906807777,0.5847420337169748,0.15005527079898956
