province,year,coal_unit_count,coal_unit_average_capacity_mw,coal_unit_utilization_hours,coal_unit_operating_hours,coal_unit_standby_hours,coal_unit_operating_factor,coal_unit_standby_factor,source_report,source_url
Gansu,2021,36,350.69,,6932.75,1021.98,0.7914098173515982,0.11666438356164384,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Gansu,2022,34,351.91,,7524.28,704.93,0.8589360730593607,0.08047146118721461,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Gansu,2023,32,371.41,,7145.4,920.86,0.8156849315068493,0.10512100456621004,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Guangdong,2018,101,505.27,4599.27,6708.25,1452.77,0.7657819634703197,0.16584132420091324,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Guangdong,2019,106,477.3,4172.51,6489.14,1670.41,0.7407694063926941,0.19068607305936075,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Guangdong,2020,107,500.99,3936.49,6171.85,2021.13,0.7026240892531876,0.2300922131147541,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Guangdong,2021,108,539.23,,7160.54,829.29,0.8174132420091325,0.09466780821917808,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Guangdong,2022,114,527.72,,6787.12,1219.4,0.7747853881278539,0.13920091324200914,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Guangdong,2023,116,534.78,,6881.24,1012.66,0.7855296803652968,0.11560045662100456,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Guangxi,2018,19,518.42,3417.77,5562.5,2774.14,0.6349885844748858,0.31668264840182647,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Guangxi,2019,25,556.8,4276.94,6276.21,1867.54,0.7164623287671233,0.21318949771689497,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Guangxi,2020,25,552.8,4479.97,6550.96,1335.28,0.7457832422586521,0.1520127504553734,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Guangxi,2021,25,552.8,,7034.18,767.77,0.8029885844748859,0.08764497716894977,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Guangxi,2022,27,558.52,,6126.52,1557.45,0.6993744292237444,0.17779109589041098,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Guangxi,2023,29,591.03,,6920.63,960.89,0.7900262557077625,0.10969063926940639,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Guizhou,2018,68,408.97,4062.96,5981.96,1275.2,0.6828721461187215,0.14557077625570777,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Guizhou,2019,67,426.27,4248.07,6180.56,1614.28,0.7055433789954338,0.1842785388127854,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Guizhou,2020,69,435.21,3933.24,5914.87,2277.24,0.6733686247723133,0.2592486338797814,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Guizhou,2021,67,428.96,,6386.48,1472.27,0.7290502283105023,0.16806735159817351,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Guizhou,2022,67,428.96,,6163.98,1749.16,0.7036506849315068,0.199675799086758,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Guizhou,2023,63,447.62,,7259.98,541.05,0.8287648401826484,0.06176369863013698,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Hainan,2018,10,303.6,5220.76,7817.05,353.43,0.8923573059360731,0.04034589041095891,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Hainan,2019,10,303.6,5350.08,7935.04,380.95,0.9058264840182648,0.04348744292237443,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Hainan,2020,9,322.0,5003.02,7751.95,644.39,0.8825079690346084,0.07335951730418944,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Hainan,2021,8,345.0,,8131.2,64.66,0.9282191780821918,0.007381278538812785,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Hainan,2022,8,345.0,,8152.61,208.67,0.9306632420091324,0.023820776255707762,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Hainan,2023,8,345.0,,7747.64,120.19,0.884433789954338,0.013720319634703196,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Hebei,2018,95,350.84,5349.91,7402.43,734.31,0.8450262557077626,0.08382534246575342,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
