province,year,total_interest,chemical,petroleum,power_heat,ferrous,nonferrous,nonmetal
Sichuan,2020,547.6,22.13,3.02,198.5,37.21,6.25,31.6
Sichuan,2021,534.89,21.53,2.45,203.61,29.8,6.74,31.85
Sichuan,2022,497.07,22.81,-26.19,216.44,22.69,5.64,30.25
Tianjin,2007,60.84,4.04,5.2,7.34,19.11,0.75,1.82
Tianjin,2008,103.14,6.79,8.15,11.75,31.51,1.5,2.75
Tianjin,2009,85.88,3.91,5.28,15.36,26.33,1.21,1.93
Tianjin,2010,101.71,9.05,4.5,15.34,31.34,2.62,2.28
Tianjin,2011,158.46,16.46,4.87,18.08,46.28,4.65,2.71
Tianjin,2012,202.13,19.46,7.45,21.13,61.72,3.86,4.58
Tianjin,2013,224.14,19.56,7.52,18.81,66.14,5.12,4.57
Tianjin,2014,241.78,27.38,4.32,16.96,70.79,5.19,4.82
Tianjin,2015,223.53,22.2,7.18,16.87,61.74,4.88,3.64
Tianjin,2016,461.67,18.54,3.86,15.06,57.42,4.12,2.8
Tianjin,2017,311.97,17.55,3.05,15.13,51.91,5.4,3.12
Tianjin,2018,162.27,16.55,2.25,15.19,46.39,6.67,3.44
Tianjin,2019,133.09,15.87,2.69,17.89,9.6,6.37,2.81
Tianjin,2020,117.14,15.69,2.61,18.78,9.81,7.67,2.6
Tianjin,2021,134.35,14.07,3.36,18.81,13.43,16.93,2.8
Tianjin,2022,151.39,16.77,3.41,24.42,16.22,22.6,2.53
Xinjiang,2007,38.69,3.78,1.22,13.72,2.86,0.31,2.43
Xinjiang,2008,47.02,4.09,1.44,17.84,4.38,0.38,3.13
Xinjiang,2009,54.16,7.19,1.9,18.0,4.27,0.2,3.54
Xinjiang,2010,70.04,9.61,2.85,19.65,4.21,0.58,4.95
Xinjiang,2011,105.22,12.94,4.21,24.44,11.1,1.54,6.8
Xinjiang,2012,156.94,16.75,7.98,35.26,16.17,4.02,10.58
Xinjiang,2013,210.35,28.52,12.29,44.32,17.08,9.13,16.35
Xinjiang,2014,278.7,38.15,11.59,65.31,23.78,16.01,20.48
Xinjiang,2015,298.64,42.49,8.0,83.88,23.42,24.55,18.33
Xinjiang,2016,293.61,38.04,7.02,86.27,22.24,26.93,16.87
Xinjiang,2017,292.89,35.85,9.33,98.33,15.88,29.66,16.22
Xinjiang,2018,292.17,33.66,11.63,110.39,9.51,32.38,15.56
Xinjiang,2019,315.23,0.0,10.07,7.75,26.9,18.35,0.0
Xinjiang,2020,289.72,30.18,9.31,118.06,6.76,25.17,13.31
Xinjiang,2021,328.17,37.45,11.18,139.05,7.1,22.07,16.32
Xinjiang,2022,323.68,40.54,10.71,138.54,8.22,14.39,14.39
Xizang,2007,0.18,0.0,0.0,-0.03,0.0,0.0,0.16
Xizang,2008,0.32,0.0,0.0,0.1,0.0,0.0,0.1
Xizang,2009,0.27,0.0,0.0,0.0,0.0,0.0,0.11
Xizang,2010,0.36,0.01,0.0,-0.13,0.0,0.0,0.13
Xizang,2011,0.98,0.1,0.0,0.0,0.0,0.0,0.19
Xizang,2012,2.6,0.01,0.0,1.26,0.0,0.0,0.18
Xizang,2013,2.56,0.01,0.0,1.07,0.0,0.0,0.19
Xizang,2014,2.91,0.02,0.0,1.44,0.0,0.0,0.13
Xizang,2015,5.61,0.03,0.0,4.26,0.0,0.0,0.25
Xizang,2016,4.98,0.03,0.0,3.66,0.0,0.0,0.31
Xizang,2017,6.52,0.04,0.0,3.99,0.0,0.0,0.41
Xizang,2018,8.06,0.05,0.0,4.32,0.0,0.0,0.51
Xizang,2019,10.0,0.03,0.0,4.84,0.0,0.0,0.45
Xizang,2020,10.58,0.06,0.0,5.08,0.0,0.0,0.84
Xizang,2021,14.13,0.07,0.0,6.64,0.0,0.0,1.26
Xizang,2022,16.37,0.07,0.0,6.19,0.0,0.0,1.31
Yunnan,2007,62.76,7.18,1.68,18.42,5.83,12.52,3.18
Yunnan,2008,98.33,11.56,2.86,33.84,6.44,19.21,4.22
Yunnan,2009,92.07,9.97,2.86,38.99,4.67,13.35,4.29
Yunnan,2010,120.15,14.64,3.92,53.28,6.08,17.02,4.61
Yunnan,2011,170.55,9.24,6.43,63.86,9.88,30.26,6.34
Yunnan,2012,228.16,22.61,6.62,86.35,12.71,40.23,8.74
Yunnan,2013,292.54,25.56,7.89,128.15,15.73,41.63,10.75
Yunnan,2014,356.79,29.61,7.58,163.79,17.78,52.87,13.52
Yunnan,2015,366.09,31.75,7.83,173.85,17.35,54.86,13.63
Yunnan,2016,321.48,24.47,6.9,151.64,13.81,52.37,9.35
Yunnan,2017,313.38,22.2,6.48,151.62,12.41,45.66,10.42
Yunnan,2018,305.28,19.92,6.06,151.6,11.0,38.95,11.48
Yunnan,2019,332.17,16.17,5.37,189.31,10.49,32.25,9.86
Yunnan,2020,299.46,13.46,2.88,181.11,8.02,25.63,7.8
Yunnan,2021,288.49,11.9,2.14,171.09,7.08,26.44,8.96
Yunnan,2022,286.33,8.91,3.67,167.34,9.45,22.61,9.92
Zhejiang,2007,517.11,35.15,1.76,66.03,14.96,11.31,19.05
Zhejiang,2008,661.08,47.61,5.49,82.42,22.77,13.98,24.95
Zhejiang,2009,570.86,39.48,2.77,75.89,13.82,11.61,23.86
Zhejiang,2010,675.3,44.18,4.48,71.78,21.11,17.38,28.95
Zhejiang,2011,973.43,75.88,4.53,81.7,40.15,26.44,41.35
Zhejiang,2012,1161.61,89.81,4.7,96.09,50.67,31.94,46.09
Zhejiang,2013,1137.49,90.17,5.41,90.35,46.38,35.65,47.36
Zhejiang,2014,1156.97,96.67,3.28,112.12,42.78,35.31,48.06
Zhejiang,2015,1054.35,89.08,3.69,113.34,28.36,33.66,44.47
Zhejiang,2016,895.56,78.75,5.78,101.17,22.42,27.54,35.39
Zhejiang,2017,872.8,73.32,6.5,101.66,20.6,26.18,34.5
Zhejiang,2018,850.04,67.89,7.22,102.15,18.77,24.82,33.62
Zhejiang,2019,863.99,61.22,7.25,114.25,12.3,20.49,34.2
Zhejiang,2020,843.99,55.4,31.75,104.29,13.0,16.7,33.86
Zhejiang,2021,887.48,57.23,36.78,100.35,11.93,21.69,38.33
Zhejiang,2022,1006.35,113.75,3.74,119.91,14.01,21.42,43.1
