province,year,iv_bartik_gc_relative_raw,iv_bartik_gc_level_raw,iv_interpolated_flag,iv_bartik_gc_relative_z,iv_bartik_gc_level_z
Hainan,2016,0.07196398348211126,0.01446039193069733,0,0.9881228353727606,0.920229604122618
Hainan,2017,0.04847586820955884,0.011744489036423483,1,0.2987972909057866,0.5693916155671043
Hainan,2018,0.02465381253852808,0.008985403764317052,0,-0.40032868430369123,0.2129753647652599
Hainan,2019,0.015581255454411677,0.0051327979244847124,0,-0.6665886749051693,-0.2847009278569006
Hainan,2020,-0.03061166808160373,-0.004107692115858608,0,-2.0222513918790925,-1.4783794448084804
Hainan,2021,-0.03804124934418945,-0.005581177612651527,0,-2.240293584263011,-1.6687230277659146
Hainan,2022,-0.019571827930452368,-0.007875744616371546,0,-1.6982558845889155,-1.9651332101359371
Hebei,2007,0.006796299925538336,-0.0007323203343050719,0,-0.9244081799096978,-1.042351835366315
Hebei,2008,-0.02266528648730346,-0.002702408060245976,0,-1.789042223945793,-1.2968460650769154
Hebei,2009,0.00834339324159128,-0.0019084989510518306,0,-0.8790043265117353,-1.1942895725186475
Hebei,2010,-0.005136930863546637,-0.00084459587705659,0,-1.274622776333643,-1.0568554929403657
Hebei,2011,0.009741843599364773,0.0037441818811357335,0,-0.8379628234751447,-0.4640811481702375
Hebei,2012,0.02498138579025675,0.005744936122391255,0,-0.3907151155911538,-0.20562544451604672
Hebei,2013,0.04348373966231024,0.008511986430711512,0,0.15228908073438308,0.15181972277980135
Hebei,2014,0.04557955354461103,0.008976687378665313,0,0.2137966997474194,0.21184938960025027
Hebei,2015,0.07088604718968015,0.01126594204639208,0,0.9564877291473968,0.5075733289980618
Hebei,2016,0.10004774443291777,0.014184077638700564,0,1.812320672596306,0.8845355626980607
Hebei,2017,0.09972285722668296,0.013299059673603753,1,1.8027859335280818,0.7702097068787284
Hebei,2018,0.09935867382213599,0.012390134828573637,0,1.792097935759332,0.6527955809720809
Hebei,2019,0.12411290748753337,0.012515014036274877,0,2.5185813253909792,0.6689273690911194
Hebei,2020,0.12459885935617225,0.009091449175557209,0,2.532842965056282,0.2266742193353113
Hebei,2021,0.12422213245579855,0.008626836774692998,0,2.5217868427279435,0.16665599095136518
Hebei,2022,0.12038033962038672,0.006704158231631712,0,2.4090385056532253,-0.08171396149011259
Heilongjiang,2007,-0.009691825285971444,-0.003401449456749442,0,-1.4082991075885674,-1.3871476285029842
Heilongjiang,2008,-0.025597160284733772,-0.003791562746360701,0,-1.8750863989794453,-1.4375421260840853
Heilongjiang,2009,-0.031359829780539805,-0.008128572256837737,0,-2.0442083247570193,-1.997793266215045
Heilongjiang,2010,-0.007271394800970819,-0.0015576129671602365,0,-1.3372646911376551,-1.1489624243866583
Heilongjiang,2011,0.044022275186989625,0.009810381607942464,0,0.168093937337681,0.31954528958497286
Heilongjiang,2012,0.058282583990044504,0.01249004659644525,0,0.5866032564493788,0.6657020967930282
Heilongjiang,2013,0.06876979041614778,0.01544545896103992,0,0.8943801553501995,1.0474797117190278
Heilongjiang,2014,0.06537834914721448,0.015581209008822799,0,0.7948486658242131,1.0650157855642577
Heilongjiang,2015,0.07778930101656856,0.017079974846447535,0,1.1590833460198295,1.258625061100809
Heilongjiang,2016,0.09638777704070962,0.019657748714677133,0,1.7049085202763006,1.5916196614554152
Heilongjiang,2017,0.07886550430529288,0.016461027868897284,1,1.1906675923226375,1.1786700254903386
Heilongjiang,2018,0.06107660847568612,0.013213011358815396,0,0.6686018513757936,0.7590940599450369
Heilongjiang,2019,0.04407032879480421,0.007794851169551379,0,0.16950420712672185,0.05918080955572447
Heilongjiang,2020,-0.010982976755659294,-0.004214121915291656,0,-1.4461916195889646,-1.4921279543130668
Heilongjiang,2021,-0.018740663942665374,-0.006025169141718376,0,-1.6738630134805157,-1.7260774697534835
Heilongjiang,2022,-0.025726518979315934,-0.009813552462374916,0,-1.8788827977768656,-2.2154575528553737
Henan,2007,0.006148042362047119,-0.0012600438506506454,0,-0.9434331417988537,-1.110522703101859
