province,year,green_credit_high_energy_interest_share,green_credit_proxy,green_credit_proxy_pct,green_credit_interpolated_flag
Anhui,2005,0.442256042972247,0.5577439570277529,55.774395702775294,0
Anhui,2006,0.452172601086301,0.547827398913699,54.7827398913699,0
Anhui,2007,0.463713477851084,0.5362865221489159,53.628652214891595,0
Anhui,2008,0.473289296479189,0.526710703520811,52.671070352081095,0
Anhui,2009,0.481005586592179,0.518994413407821,51.899441340782104,0
Anhui,2010,0.452021031876438,0.5479789681235621,54.79789681235621,0
Anhui,2011,0.417203242178623,0.5827967578213771,58.27967578213771,0
Anhui,2012,0.3835763707032,0.6164236292968,61.64236292968,0
Anhui,2013,0.384805708928013,0.615194291071987,61.5194291071987,0
Anhui,2014,0.356067831305683,0.643932168694317,64.3932168694317,0
Anhui,2015,0.334388897943977,0.6656111020560229,66.56111020560229,0
Anhui,2016,0.315332763217466,0.6846672367825339,68.46672367825339,0
Anhui,2017,0.320592242243529,0.679407757756471,67.9407757756471,1
Anhui,2018,0.326044103345862,0.673955896654138,67.39558966541381,0
Anhui,2019,0.387161889382317,0.612838110617683,61.283811061768304,0
Anhui,2020,0.419573245794009,0.580426754205991,58.042675420599096,0
Anhui,2021,0.41102357643515,0.58897642356485,58.897642356485,0
Anhui,2022,0.391846482823739,0.608153517176261,60.8153517176261,0
Beijing,2005,0.555067691181852,0.44493230881814805,44.4932308818148,0
Beijing,2006,0.519761251814809,0.48023874818519097,48.0238748185191,0
Beijing,2007,0.527596017069701,0.47240398293029895,47.2403982930299,0
Beijing,2008,0.626301212873651,0.37369878712634896,37.36987871263489,0
Beijing,2009,0.709169054441261,0.290830945558739,29.0830945558739,0
Beijing,2010,0.654496469713861,0.345503530286139,34.5503530286139,0
Beijing,2011,0.523149222557438,0.476850777442562,47.6850777442562,0
Beijing,2012,0.532937340895896,0.46706265910410405,46.70626591041041,0
Beijing,2013,0.524149827501232,0.47585017249876804,47.585017249876806,0
Beijing,2014,0.448361958084285,0.551638041915715,55.1638041915715,0
Beijing,2015,0.270081164287713,0.729918835712287,72.9918835712287,0
Beijing,2016,0.340706386014984,0.6592936139850161,65.92936139850161,0
Beijing,2017,0.287519260400616,0.712480739599384,71.2480739599384,1
Beijing,2018,0.247118253322484,0.752881746677516,75.28817466775159,0
Beijing,2019,0.191665492461603,0.808334507538397,80.8334507538397,0
Beijing,2020,0.284260186770931,0.715739813229069,71.5739813229069,0
Beijing,2021,0.435907631136259,0.5640923688637409,56.40923688637409,0
Beijing,2022,0.48913452356839,0.5108654764316101,51.086547643161005,0
Chongqing,2005,0.494141769185706,0.505858230814294,50.5858230814294,0
Chongqing,2006,0.540066140931061,0.459933859068939,45.993385906893906,0
Chongqing,2007,0.56,0.43999999999999995,43.99999999999999,0
Chongqing,2008,0.539818483957561,0.46018151604243895,46.0181516042439,0
Chongqing,2009,0.559431524547804,0.440568475452196,44.056847545219604,0
Chongqing,2010,0.552012845509806,0.447987154490194,44.7987154490194,0
Chongqing,2011,0.469089488081282,0.5309105119187181,53.091051191871806,0
Chongqing,2012,0.522662311147407,0.477337688852593,47.733768885259295,0
Chongqing,2013,0.488486183420104,0.511513816579896,51.1513816579896,0
Chongqing,2014,0.495886047951871,0.504113952048129,50.411395204812905,0
Chongqing,2015,0.471480804387569,0.528519195612431,52.8519195612431,0
Chongqing,2016,0.440878229433031,0.559121770566969,55.9121770566969,0
Chongqing,2017,0.429482071713147,0.570517928286853,57.0517928286853,1
Chongqing,2018,0.416470705958873,0.583529294041127,58.3529294041127,0
Chongqing,2019,0.428475625483621,0.5715243745163789,57.152437451637894,0
Chongqing,2020,0.420847569382006,0.579152430617994,57.9152430617994,0
Chongqing,2021,0.43094944512947,0.56905055487053,56.905055487053005,0
Chongqing,2022,0.45413786661685,0.5458621333831499,54.58621333831499,0
Fujian,2005,0.466998754669988,0.5330012453300119,53.300124533001195,0
Fujian,2006,0.489432464327862,0.510567535672138,51.056753567213796,0
Fujian,2007,0.463069169273549,0.536930830726451,53.693083072645095,0
Fujian,2008,0.489746972059,0.510253027941,51.0253027941,0
Fujian,2009,0.474835061262959,0.525164938737041,52.51649387370409,0
Fujian,2010,0.498221407782688,0.501778592217312,50.177859221731204,0
Fujian,2011,0.441284269168744,0.558715730831256,55.871573083125604,0
Fujian,2012,0.435042071969923,0.5649579280300769,56.495792803007696,0
Fujian,2013,0.440729318833523,0.5592706811664769,55.927068116647696,0
Fujian,2014,0.447563362485445,0.5524366375145551,55.24366375145551,0
Fujian,2015,0.45993692347822,0.54006307652178,54.006307652177995,0
Fujian,2016,0.458337588073113,0.541662411926887,54.1662411926887,0
