outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations,sse_improvement_over_worst_percent
wind_gen_sh,2,2015,True,kink,0.8833,88.33,-0.36182379210263244,0.17652947812830005,0.040398516018758476,0.0634978646573433,217,31,172,45,3.8393913810511435
wind_gen_sh,3,2015,True,kink,0.8842,88.42,-0.44364812994231406,0.21572568376224127,0.03973065895858179,0.05080946976793696,186,31,144,42,6.136431281100166
wind_gen_sh,1,2016,True,kink,0.894,89.4,-0.44138469266745833,0.21233737211206868,0.037645367314015264,0.046206122692399154,217,31,181,36,4.209426741064391
wind_gen_sh,2,2016,True,kink,0.889,88.9,-0.5301632673141629,0.257165856699614,0.03924948854927761,0.053876270897803696,186,31,152,34,4.747469832125958
wind_gen_sh,3,2016,True,kink,0.8859,88.59,-0.6317075947687385,0.2573266908485126,0.014092941884087851,0.040727663839973484,155,31,124,31,8.178627146858426
windsolar_gen_sh,1,2013,False,jump,0.5235,52.349999999999994,0.020137899228270875,0.00517751174294096,0.00010045358252437358,0.14293007825756596,309,31,62,247,1.8095420331704442
windsolar_gen_sh,2,2013,False,jump,0.8959,89.59,-0.022537031650980067,0.008459188063113153,0.0077169962284464886,0.17510068897472186,278,31,218,60,3.275470352701425
windsolar_gen_sh,3,2013,False,jump,0.8933,89.33,-0.028775867895395237,0.011407195586486365,0.011648860791231914,0.17493507684252313,247,31,190,57,4.558940907801823
windsolar_gen_sh,1,2014,False,jump,0.5238,52.38,0.022517981136680715,0.005318519380491365,2.2969194675931364e-05,0.1400963551187665,279,31,58,221,2.123363544785721
windsolar_gen_sh,2,2014,False,jump,0.8947,89.47,-0.024539821072290243,0.009132539628908995,0.007208071515893298,0.16549126267109,248,31,198,50,3.50387837848755
windsolar_gen_sh,3,2014,False,jump,0.9075,90.75,-0.027520882570271448,0.011750774917598888,0.01917823217275169,0.11686844819620062,217,31,178,39,5.383966122527978
