outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations
windsolar_gen_sh,3,2013,True,jump,0.4232,42.32,0.006892757488231649,0.008019997662193905,0.39009432302662844,0.15617330215517053,247,31,38,209
windsolar_gen_sh,3,2013,True,jump,0.4269,42.69,0.016327922374072972,0.005040024880697207,0.0011967602035177951,0.15544796869206512,247,31,39,208
windsolar_gen_sh,3,2013,True,jump,0.4306,43.059999999999995,0.013643210516016205,0.006407796686622992,0.033241204164860955,0.1557911225429217,247,31,40,207
windsolar_gen_sh,3,2013,True,jump,0.4342,43.419999999999995,0.013643210516016205,0.006407796686622992,0.033241204164860955,0.1557911225429217,247,31,40,207
windsolar_gen_sh,3,2013,True,jump,0.4379,43.79,0.013643210516016205,0.006407796686622992,0.033241204164860955,0.1557911225429217,247,31,40,207
windsolar_gen_sh,3,2013,True,jump,0.4416,44.16,0.01704717498528564,0.005559971979370641,0.0021690405152126227,0.15563981697189516,247,31,41,206
windsolar_gen_sh,3,2013,True,jump,0.4453,44.529999999999994,0.01704717498528564,0.005559971979370641,0.0021690405152126227,0.15563981697189516,247,31,41,206
windsolar_gen_sh,3,2013,True,jump,0.4489,44.89,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4526,45.26,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4563,45.629999999999995,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4599,45.989999999999995,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4636,46.36,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4673,46.73,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.471,47.099999999999994,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4746,47.46,0.01871520097546335,0.006413587504904856,0.003522222369688182,0.15531452759091194,247,31,42,205
windsolar_gen_sh,3,2013,True,jump,0.4783,47.83,0.009064896671415407,0.009017508431902676,0.314774011737435,0.15607048588191913,247,31,43,204
windsolar_gen_sh,3,2013,True,jump,0.482,48.199999999999996,0.012964688514098533,0.008566527496156289,0.13017494975323912,0.15568185850332616,247,31,44,203
windsolar_gen_sh,3,2013,True,jump,0.4857,48.57,0.012964688514098533,0.008566527496156289,0.13017494975323912,0.15568185850332616,247,31,44,203
windsolar_gen_sh,3,2013,True,jump,0.4893,48.93,0.012964688514098533,0.008566527496156289,0.13017494975323912,0.15568185850332616,247,31,44,203
windsolar_gen_sh,3,2013,True,jump,0.493,49.3,0.012964688514098533,0.008566527496156289,0.13017494975323912,0.15568185850332616,247,31,44,203
windsolar_gen_sh,3,2013,True,jump,0.4967,49.669999999999995,0.0060369219047764775,0.006756457070291656,0.37158729245132066,0.15618023343110768,247,31,46,201
windsolar_gen_sh,3,2013,True,jump,0.5003,50.029999999999994,0.0060369219047764775,0.006756457070291656,0.37158729245132066,0.15618023343110768,247,31,46,201
windsolar_gen_sh,3,2013,True,jump,0.504,50.4,0.0010721925609578039,0.004559907045893414,0.8141041552761205,0.1563117960338547,247,31,47,200
windsolar_gen_sh,3,2013,True,jump,0.5077,50.77,0.018920187209999568,0.009573805308184732,0.04812700784595694,0.15480808702359178,247,31,49,198
windsolar_gen_sh,3,2013,True,jump,0.5114,51.13999999999999,0.018920187209999568,0.009573805308184732,0.04812700784595694,0.15480808702359178,247,31,49,198
