lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,high_vs_middle_coefficient,bootstrap_repetition
59.48,77.85,-0.022988552122480754,0.03730655206564309,1
77.75,92.41,0.027539244988869206,-0.032985008595555684,2
77.57,84.34,0.0435539500458815,-0.03089142560245478,3
84.43,92.22,-0.03158439539906541,-0.040191130147955376,4
60.68,90.44,-0.03921188792604646,-0.034028469208083056,5
77.75999999999999,84.58,0.036624672742557755,-0.04215622373471211,6
66.5,89.78,-0.030156937082133514,-0.02356821430205461,7
64.92999999999999,77.47,0.031885072010377935,0.04467629524207049,8
61.12,92.38,-0.060132373020064106,-0.034442056763555884,9
60.74,93.23,-0.028595522294489577,-0.020571275261763985,10
65.25,77.59,-0.03288990470111136,0.03550234152275475,11
82.26,90.51,-0.020308356538014053,-0.031704986959787074,12
60.709999999999994,89.08,-0.06264809704476648,-0.03329320138645149,13
60.980000000000004,90.36,-0.056742355804121125,-0.037397429322400644,14
77.49000000000001,92.46,0.03857408792177106,-0.011642958706978297,15
77.5,87.62,0.04547289651594173,0.023058237986600116,16
84.02,92.09,-0.03275258907743096,-0.03649960778683205,17
60.9,89.69,-0.057247093686120194,-0.032168098804909805,18
77.89,90.32,0.03525891648023253,-0.03780612325147956,19
77.77,84.07,0.044517789156717495,-0.03725412654785967,20
77.53999999999999,85.75,0.03483362175178244,-0.05201801797794019,21
77.37,84.15,0.021932676236473894,-0.02391436428169618,22
77.52,84.15,0.03675193812236105,-0.022388576904227887,23
77.53999999999999,84.05,0.029210828679050064,-0.041921867201907236,24
60.78,92.45,-0.051062901926684966,-0.04278212502552591,25
60.660000000000004,85.21,-0.027372104263032725,-0.038717715099345865,26
77.66999999999999,83.15,0.04518215417170414,-0.017043129478228426,27
77.45,94.07,0.050025442756977775,-0.017493796061471147,28
81.93,90.36999999999999,-0.02126796240096602,-0.01728319076176231,29
68.49,77.36,0.04150172033890509,0.03644768744773605,30
64.98,89.42999999999999,-0.045753435498503824,-0.05477578911448231,31
60.78,84.43,-0.058825102938023836,-0.042365704273975895,32
77.53,92.23,0.039486041252623075,-0.014358724010177095,33
72.08,85.67,0.04157032569684023,-0.06992998653279048,34
76.18,87.67,0.049949606478364945,0.03078755923922486,35
77.36,92.43,0.024967464273263063,-0.018779974638432725,36
65.25999999999999,75.94999999999999,-0.022791276996416428,0.060705305641815074,37
76.27000000000001,92.36999999999999,-0.019048126685293158,-0.025594390702511075,38
59.709999999999994,90.49000000000001,-0.08632484089217608,-0.03680988310227547,39
61.07,84.06,-0.02539854141563378,-0.02679232066666997,40
77.42999999999999,92.2,0.03700759584356205,-0.030610517430907983,41
56.98,77.57,0.03621073797693276,0.04057560013312687,42
84.15,92.36999999999999,-0.01471825396510683,-0.024759207812768337,43
58.98,89.5,-0.06762770563094174,-0.040083256394549155,44
84.0,92.11,-0.017153431077938135,-0.020667314286542584,45
77.61,84.39,0.052404137176063105,-0.02040837308181976,46
77.06,96.28,0.03692615759716493,0.021284488412744107,47
75.98,83.98,0.04413539361547715,-0.01775887427740088,48
61.12,89.23,-0.07256679210348181,-0.036353131230510025,49
77.59,90.72,0.024030713850798014,-0.02912061499401003,50
85.77,90.61,-0.025489448763690175,-0.036286198957289545,51
60.51,83.66,-0.04837477654973544,-0.03197001133565781,52
77.75,92.52,0.03716894638832488,-0.01968923987829035,53
77.53,92.12,0.041039010194602016,-0.01807345008121436,54
77.71000000000001,87.37,0.03866685257499392,-0.030204723039127458,55
60.64000000000001,77.37,-0.029595704807106517,0.039023149901154186,56
60.79,89.32,-0.08502443811925627,-0.05311984606064395,57
77.62,94.47,0.026084237202098803,-0.018368919807175994,58
69.31,89.77000000000001,-0.03385794505135779,-0.026609359709219876,59
76.42999999999999,90.64999999999999,0.04055419093106922,-0.015416883544515418,60
76.27000000000001,86.42,0.0322533761741747,-0.02443775582115147,61
77.24,92.51,0.02030592633228951,-0.021780625864412134,62
82.11,92.43,-0.02514320637842649,-0.03401164290394201,63
59.489999999999995,84.36,-0.04021222968490711,-0.02643748323649863,64
77.73,92.47999999999999,0.03608622574817924,-0.020730724945716823,65
60.99,89.7,-0.08087543278885989,-0.030482397628574798,66
77.56,84.42,0.0394209069481471,-0.0224867704642801,67
60.81999999999999,90.57,-0.04280931930585472,-0.01795440686964004,68
85.97,92.23,-0.02913558716709327,-0.02749484925817888,69
77.5,84.36,0.05031101593729526,-0.01414727763174091,70
85.7,92.45,-0.01693291590192738,-0.0316953115224768,71
77.52,92.42,0.016112043423714105,-0.02540220993499326,72
85.76,92.4,-0.02341008577040682,-0.032306984939725406,73
61.0,90.25999999999999,-0.08356564275286651,-0.05659308251400766,74
