thermal_share,transition,observations
0.10239413796480001,0.053722202258136,25
0.39761432376800004,0.050267402002247996,25
0.5704173738541667,0.054080623873625,24
0.650855354476,0.02581559363696,25
0.738763428368,0.029999358015000005,25
0.798231917875,0.059217972392125,24
0.8393691106679999,0.055993373651919996,25
0.88438230575,0.048468362955958334,24
0.9308517460279999,0.033848616401779996,25
0.969905880036,0.016490727539208,25
