excluded_province_id,excluded_province,excluded_province_cn,threshold_percent,threshold_term_coefficient,normal_approximation_p,observations
22,Hubei,湖北,77.5,0.027069242521982322,0.005806990749524191,239
26,Xizang,西藏,77.52,0.02605897982578651,0.007721976199417215,240
10,Shandong,山东,77.56,0.02644467392797871,0.008703172601504761,239
16,Jiangsu,江苏,77.56,0.025380972755925924,0.00879553041646663,239
2,Yunnan,云南,77.58,0.026805532855811037,0.006797275757422897,239
6,Sichuan,四川,77.58,0.027503335461405883,0.00417737475532628,239
1,Shanghai,上海,77.61,0.026468401688942142,0.005755572751925652,239
7,Tianjin,天津,77.61,0.025473216782393712,0.005608903776793629,239
3,Neimenggu,内蒙古,77.66,0.026186607407002266,0.009154988606366916,239
5,Jilin,吉林,77.66,0.029570264739488518,0.0030998799032985725,239
17,Jiangxi,江西,77.66,0.027465469994129656,0.0071389695083985535,239
18,Hebei,河北,77.66,0.024965412893943988,0.013806739042009592,239
20,Zhejiang,浙江,77.66,0.027479365891606253,0.00864924975396356,239
23,Hunan,湖南,77.66,0.026893730915349846,0.005588292894412695,239
24,Gansu,甘肃,77.66,0.029097874736668854,0.002986794040596782,239
27,Guizhou,贵州,77.66,0.027943419208415126,0.0027484397194303925,239
28,Liaoning,辽宁,77.66,0.026920865717134316,0.013126371018425141,239
29,Chongqing,重庆,77.66,0.026243061323265374,0.00642559888977341,239
31,Heilongjiang,黑龙江,77.66,0.02747541747337324,0.0050013207977043775,239
14,Guangxi,广西,77.66999999999999,0.02796895751183992,0.0053735493604403035,239
19,Henan,河南,77.72,0.02405161218862839,0.010358995601699839,239
8,Ningxia,宁夏,90.75999999999999,-0.022244943379612962,0.023497841052713533,239
12,Shaanxi,陕西,90.75999999999999,-0.026684967860167448,0.012228006476341605,239
13,Guangdong,广东,90.75999999999999,-0.022606702145113136,0.022905614078511955,239
15,Xinjiang,新疆,90.75999999999999,-0.020913164219510057,0.031414433506092146,239
21,Hainan,海南,90.75999999999999,-0.023814020641740104,0.01791401415187369,239
25,Fujian,福建,90.75999999999999,-0.02318877039450638,0.018710670876039497,239
11,Shanxi,山西,92.10000000000001,-0.02773404322701708,0.013564182457442115,239
30,Qinghai,青海,92.11,-0.024647920406010455,0.01604718859729137,239
4,Beijing,北京,92.13,-0.02630113768639603,0.015311918517740879,239
9,Anhui,安徽,92.24,-0.027437793558933495,0.014945523783348945,239
