lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
77.82,92.67,0.029448780965868473,0.011714860702354467,0.011943918281100085,0.011704121429006094,0.016620993753749515,0.4813225558934474,0.10871938893455105,81,76,44
77.38000000000001,92.67,0.029448780965868473,0.011714860702354467,0.011943918281100085,0.011704121429006094,0.016620993753749515,0.4813225558934474,0.10871938893455105,81,76,44
77.38000000000001,92.23,0.029448780965868473,0.011714860702354467,0.011943918281100085,0.011704121429006094,0.016620993753749515,0.4813225558934474,0.10871938893455105,81,76,44
77.82,92.23,0.029448780965868473,0.011714860702354467,0.011943918281100085,0.011704121429006094,0.016620993753749515,0.4813225558934474,0.10871938893455105,81,76,44
77.82,90.49000000000001,0.02949127504881951,0.011820315120668992,0.012596947860525285,0.012822479009464184,0.016894907314809974,0.4478793123191293,0.10893144034268366,81,69,51
77.38000000000001,90.49000000000001,0.02949127504881951,0.011820315120668992,0.012596947860525285,0.012822479009464184,0.016894907314809974,0.4478793123191293,0.10893144034268366,81,69,51
77.82,91.8,0.030063136008217865,0.011711589324914482,0.010259559150145287,0.014885916520116343,0.015834103660565903,0.34715733950605304,0.10934168611562856,81,75,45
77.38000000000001,91.36,0.030063136008217865,0.011711589324914482,0.010259559150145287,0.014885916520116343,0.015834103660565903,0.34715733950605304,0.10934168611562856,81,75,45
77.38000000000001,91.8,0.030063136008217865,0.011711589324914482,0.010259559150145287,0.014885916520116343,0.015834103660565903,0.34715733950605304,0.10934168611562856,81,75,45
77.82,91.36,0.030063136008217865,0.011711589324914482,0.010259559150145287,0.014885916520116343,0.015834103660565903,0.34715733950605304,0.10934168611562856,81,75,45
60.78,92.67,-0.03701535890603535,0.023605838261512427,0.11686724745959907,-0.06575107071670333,0.030328549708688295,0.030161759952922838,0.10946111417890024,30,127,44
60.78,92.23,-0.03701535890603535,0.023605838261512427,0.11686724745959907,-0.06575107071670333,0.030328549708688295,0.030161759952922838,0.10946111417890024,30,127,44
77.38000000000001,89.18,0.029459741759974862,0.012173737258546995,0.015522969925171342,0.013885464145227303,0.019166456175157817,0.4687791072236379,0.10957246852144588,81,62,58
77.82,89.18,0.029459741759974862,0.012173737258546995,0.015522969925171342,0.013885464145227303,0.019166456175157817,0.4687791072236379,0.10957246852144588,81,62,58
77.38000000000001,84.37,0.033108944190343145,0.01169846739916884,0.004651963854609277,0.01658119195830036,0.01777662961112401,0.3509478804038501,0.10958233765801646,81,37,83
77.82,84.37,0.033108944190343145,0.01169846739916884,0.004651963854609277,0.01658119195830036,0.01777662961112401,0.3509478804038501,0.10958233765801646,81,37,83
77.38000000000001,90.92,0.029907881347020996,0.01188208330804935,0.011833967170733107,0.016017013652892657,0.01659605504312851,0.3344898705241124,0.10964947572085995,81,73,47
77.82,90.92,0.029907881347020996,0.01188208330804935,0.011833967170733107,0.016017013652892657,0.01659605504312851,0.3344898705241124,0.10964947572085995,81,73,47
60.78,90.49000000000001,-0.03630959804324272,0.024055141807093592,0.13118844992744252,-0.06354961009502225,0.0308409339449685,0.03934498896277368,0.10984182757441667,30,120,51
77.38000000000001,89.61,0.03024750215711535,0.012096741600278684,0.012402971730647961,0.01619050458754181,0.017741217882662207,0.36145683485579966,0.10985554425767693,81,64,56
