province,province_cn,year,hydro_monthly_observations,hydro_monthly_mean_100m_kwh,hydro_monthly_sd_100m_kwh,hydro_monthly_cv,nuclear_monthly_observations,nuclear_monthly_mean_100m_kwh,nuclear_monthly_sd_100m_kwh,nuclear_monthly_cv,solar_monthly_observations,solar_monthly_mean_100m_kwh,solar_monthly_sd_100m_kwh,solar_monthly_cv,thermal_monthly_observations,thermal_monthly_mean_100m_kwh,thermal_monthly_sd_100m_kwh,thermal_monthly_cv,wind_monthly_observations,wind_monthly_mean_100m_kwh,wind_monthly_sd_100m_kwh,wind_monthly_cv,windsolar_monthly_observations,windsolar_monthly_mean_100m_kwh,windsolar_monthly_sd_100m_kwh,windsolar_monthly_cv,observed_source_monthly_observations,observed_source_monthly_mean_100m_kwh,observed_source_monthly_sd_100m_kwh,observed_source_monthly_cv,therm_month_n,therm_month_cv,windsolar_month_n,windsolar_month_cv,allsrc_month_n,allsrc_month_cv
Anhui,安徽,2000,12,0.38166666666666665,0.26294947089207893,0.6889505787565388,0,,,,0,,,,12,29.239166666666666,3.7056969859279048,0.1267374350361526,0,,,,0,,,,12,29.620833333333337,3.7563750861540433,0.1268153074520988,12,0.1267374350361526,0,,12,0.1268153074520988
Anhui,安徽,2001,12,0.5225,0.2849601248021778,0.5453782292864647,0,,,,0,,,,12,31.768333333333334,3.9448812249278085,0.12417652457671083,0,,,,0,,,,12,32.29083333333333,4.061136111379618,0.12576746067396685,12,0.12417652457671083,0,,12,0.12576746067396685
Anhui,安徽,2002,12,0.8758333333333334,0.6027883441796034,0.6882454928787098,0,,,,0,,,,12,37.92916666666667,6.166739905379992,0.16258569452830915,0,,,,0,,,,12,38.805,6.268428105122597,0.16153660881645657,12,0.16258569452830915,0,,12,0.16153660881645657
Anhui,安徽,2003,11,1.0472727272727271,0.6649524931766314,0.6349372764707418,0,,,,0,,,,12,44.69416666666667,5.3717941108811145,0.12019004965333539,0,,,,0,,,,12,45.65416666666667,5.373513254563512,0.11770039071782812,12,0.12019004965333539,0,,12,0.11770039071782812
Anhui,安徽,2004,12,0.7291666666666666,0.47525033275935613,0.651771884927117,0,,,,0,,,,12,49.8425,3.96690886069883,0.07958888219288418,0,,,,0,,,,12,50.57166666666666,4.080371715093284,0.08068493652756717,12,0.07958888219288418,0,,12,0.08068493652756717
Anhui,安徽,2005,12,0.9058333333333333,0.28046903356320596,0.30962542803665793,0,,,,0,,,,12,52.905,5.8026819817924045,0.10968116400703912,0,,,,0,,,,12,53.81083333333333,5.922561574695586,0.1100626250853252,12,0.10968116400703912,0,,12,0.1100626250853252
Anhui,安徽,2006,12,1.0224999999999997,0.31626010583925146,0.309300837006603,0,,,,0,,,,12,59.70416666666667,8.62658729355551,0.14448886526996454,0,,,,0,,,,12,60.72666666666667,8.616305191409783,0.14188668116274755,12,0.14448886526996454,0,,12,0.14188668116274755
Anhui,安徽,2007,12,1.2216666666666667,0.6542564597705666,0.5355441689799999,0,,,,0,,,,12,69.41416666666667,11.114944451121433,0.16012501460251533,0,,,,0,,,,12,70.63583333333334,11.469981737588167,0.16238191292315987,12,0.16012501460251533,0,,12,0.16238191292315987
Anhui,安徽,2008,12,1.2416666666666667,0.6823733093647006,0.5495623968037857,0,,,,0,,,,12,89.1275,7.826639967560671,0.08781397399860505,0,,,,0,,,,12,90.36916666666667,8.308553597274784,0.09194013736921461,12,0.08781397399860505,0,,12,0.09194013736921461
Anhui,安徽,2009,12,1.3658341666666667,0.5328734250841178,0.39014503963142266,0,,,,0,,,,12,108.35372633333333,14.422233243374981,0.13310325109638807,0,,,,0,,,,12,109.71956049999999,14.664088817276689,0.13365063394759671,12,0.13310325109638807,0,,12,0.13365063394759671
Anhui,安徽,2010,12,1.5709959999999998,0.6230216373448179,0.39657748163892076,0,,,,0,,,,12,118.34834291666668,15.734581778853483,0.13295143295696812,0,,,,0,,,,12,119.91933891666667,15.971590761771632,0.1331861141501995,12,0.13295143295696812,0,,12,0.1331861141501995
Anhui,安徽,2011,12,1.490864,1.0910619771233725,0.7318319961601947,0,,,,0,,,,12,133.94544491666667,11.817275610548085,0.08822454259568237,0,,,,0,,,,12,135.43630891666666,12.20417973851739,0.09011010294164591,12,0.08822454259568237,0,,12,0.09011010294164591
Anhui,安徽,2012,12,1.6351280833333337,0.839566220521424,0.5134559360083304,0,,,,0,,,,12,137.4563359166667,24.079113942857,0.175176457180228,0,,,,0,,,,12,139.09146400000003,24.558609182269514,0.17656445964411957,12,0.175176457180228,0,,12,0.17656445964411957
Anhui,安徽,2013,10,2.2179900000000004,1.1587579369978684,0.5224360511083767,0,,,,0,,,,10,163.30401999999998,22.235066895024698,0.13615749872553473,10,0.52,0.3084008934992103,0.5930786413446352,10,0.52,0.3084008934992103,0.5930786413446352,10,166.04201,22.7443060410708,0.13697922616734645,10,0.13615749872553473,10,0.5930786413446352,10,0.13697922616734645
Anhui,安徽,2014,10,2.5149999999999997,0.9579752954365091,0.3809046900343973,0,,,,0,,,,10,161.01100000000002,16.297257063008427,0.10121828361421532,10,0.8400000000000001,0.4195235392680606,0.4994327848429292,10,0.8400000000000001,0.4195235392680606,0.4994327848429292,10,164.36600000000004,16.102075918616496,0.09796476107355835,10,0.10121828361421532,10,0.4994327848429292,10,0.09796476107355835
Anhui,安徽,2015,12,2.57595,0.7725141805112118,0.29989486617023303,0,,,,0,,,,12,162.89404166666665,16.765443794004494,0.10292238821301983,10,1.3199999999999998,0.5750362307426083,0.43563350813833973,10,1.3199999999999998,0.5750362307426083,0.43563350813833973,12,166.56999166666668,16.925840967986208,0.10161398700107721,12,0.10292238821301983,10,0.43563350813833973,12,0.10161398700107721
Anhui,安徽,2016,10,3.7699999999999996,1.4166078419159545,0.37575804825356884,0,,,,6,1.4155,1.060625044018856,0.7492935669507991,10,177.17000000000002,23.232498789411363,0.13113111017334403,10,2.1100000000000003,0.314289321768618,0.14895228519839715,10,2.9593,0.9946939238892636,0.3361247335144337,10,183.89929999999998,23.12469085443811,0.12574648655235834,10,0.13113111017334403,10,0.3361247335144337,10,0.12574648655235834
Anhui,安徽,2017,10,3.56,0.8758487946621328,0.24602494232082384,0,,,,10,2.8856,1.447689465627518,0.5016944363832541,10,194.89,31.439834958571648,0.16132092441157397,10,3.1899999999999995,0.47946729699624857,0.15030322789851056,10,6.0756,1.4320499331766015,0.2357051045454937,10,204.52559999999997,31.07352406989306,0.15192975387869814,10,0.16132092441157397,10,0.2357051045454937,10,0.15192975387869814
Anhui,安徽,2018,10,3.0500000000000003,0.49497474683058323,0.16228680223953548,0,,,,10,4.555249999999999,1.83599225080064,0.4030497230230263,10,208.54000000000002,27.4780801528944,0.13176407477171956,10,3.7300000000000004,0.5696977756280571,0.15273398810403674,10,8.285250000000001,2.179356630470971,0.2630405395698344,10,219.87525000000005,28.626240619219367,0.13019310094801193,10,0.13176407477171956,10,0.2630405395698344,10,0.13019310094801193
Anhui,安徽,2019,9,2.711111111111111,0.5754225500544026,0.21224602256105016,0,,,,10,5.50954,1.0771248593671323,0.19550177680298758,10,220.32,28.538192732624825,0.1295306496578832,10,3.69,0.5724217559340898,0.1551278471366097,10,9.199540000000002,0.7488576236137569,0.08140163786599729,10,231.95953999999998,29.273392928019437,0.126200426712432,10,0.1295306496578832,10,0.08140163786599729,10,0.126200426712432
Anhui,安徽,2020,10,3.6400000000000006,1.7933209417167912,0.4926705883837338,0,,,,10,6.000539999999999,0.9503103694173943,0.15837080819682803,10,216.68,33.10796480204323,0.15279658852705938,10,3.91,0.8949860334105774,0.22889668373672054,10,9.910540000000001,1.485308803807029,0.14987163200058007,10,230.23054000000002,33.66724571149565,0.14623275309824513,10,0.15279658852705938,10,0.14987163200058007,10,0.14623275309824513
