block,outcome,specification,term,b,se,p,N,r2,year_min,year_max
horse_race,industrial_so2,resource,did_coal,-52.08308449746522,19.394709,.012678345,442,.89536422,2007,2023
horse_race,industrial_so2,resource_matched_base,did_coal,-89.17636237442012,24.859831,.0014179697,442,.88512462,2007,2023
horse_race,industrial_solid_waste,baseline,did_coal,-47.2683431982222,20.052076,.025372053,510,.78369045,2007,2023
horse_race,industrial_solid_waste,combined,did_coal,-82.87706366292313,27.188173,.0053752917,442,.78498083,2007,2023
horse_race,industrial_solid_waste,combined_matched_base,did_coal,-77.49753471833483,25.47646,.0054583172,442,.77480811,2007,2023
horse_race,industrial_solid_waste,dated_policies,did_coal,-71.65161903871099,26.827755,.013113536,442,.77894408,2007,2023
horse_race,industrial_solid_waste,dated_policies_matched_base,did_coal,-77.49753471833483,25.47646,.0054583172,442,.77480811,2007,2023
horse_race,industrial_solid_waste,environmental,did_coal,-46.29201276839992,22.335325,.047203504,510,.78597641,2007,2023
horse_race,industrial_solid_waste,environmental_matched_base,did_coal,-47.2683431982222,20.052076,.025372053,510,.78369045,2007,2023
horse_race,industrial_solid_waste,finance,did_coal,-39.76127579237298,19.201624,.047389839,510,.78436697,2007,2023
horse_race,industrial_solid_waste,finance_matched_base,did_coal,-47.2683431982222,20.052076,.025372053,510,.78369045,2007,2023
horse_race,industrial_solid_waste,industrial,did_coal,-57.11677318258909,19.069998,.0056857239,493,.78697854,2007,2023
horse_race,industrial_solid_waste,industrial_matched_base,did_coal,-45.6113665785132,20.215534,.032051943,493,.78317255,2007,2023
horse_race,industrial_solid_waste,resource,did_coal,-87.02414988035328,27.832499,.0044443947,442,.77616894,2007,2023
horse_race,industrial_solid_waste,resource_matched_base,did_coal,-77.49753471833483,25.47646,.0054583172,442,.77480811,2007,2023
horse_race,nox_total,baseline,did_coal,-43.99146104370375,16.89155,.014783787,336,.92226017,2011,2023
horse_race,nox_total,combined,did_coal,-6.604642625148165,24.446049,.78943723,288,.94929248,2011,2023
horse_race,nox_total,combined_matched_base,did_coal,-61.81107219786689,24.735235,.020042345,288,.91682863,2011,2023
horse_race,nox_total,dated_policies,did_coal,-17.36463036680689,19.393444,.37985593,288,.94866234,2011,2023
horse_race,nox_total,dated_policies_matched_base,did_coal,-61.81107219786689,24.735235,.020042345,288,.91682863,2011,2023
horse_race,nox_total,environmental,did_coal,-7.624990710158166,19.08559,.69265622,336,.92654431,2011,2023
horse_race,nox_total,environmental_matched_base,did_coal,-43.99146104370375,16.89155,.014783787,336,.92226017,2011,2023
horse_race,nox_total,finance,did_coal,-23.9628827688179,19.609789,.23227462,336,.92306495,2011,2023
horse_race,nox_total,finance_matched_base,did_coal,-43.99146104370375,16.89155,.014783787,336,.92226017,2011,2023
horse_race,nox_total,industrial,did_coal,-35.44735766185674,20.971987,.10294172,324,.92365807,2011,2023
horse_race,nox_total,industrial_matched_base,did_coal,-43.32883849473416,16.806744,.015953004,324,.92191851,2011,2023
horse_race,nox_total,resource,did_coal,-31.74137494359429,21.667784,.15648198,288,.91996813,2011,2023
horse_race,nox_total,resource_matched_base,did_coal,-61.81107219786689,24.735235,.020042345,288,.91682863,2011,2023
pattern_test,asinh_coal_qty,baseline,did_coal,-.8495429001630441,.42690632,.056093045,480,.9327113,2007,2022
pattern_test,asinh_energy5_qty,baseline,did_coal,-.6133565192136472,.12547113,.000034588025,480,.98133391,2007,2022
pattern_test,asinh_noncoal_qty,baseline,did_coal,-.0332454043874099,.12860334,.79783839,480,.98577666,2007,2022
pattern_test,coalterm_int,baseline,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
pattern_test,dln_gdp,baseline,did_coal,-.017676195955439,.028471632,.53955722,510,.83574909,2007,2023
pattern_test,dln_sec_val,baseline,did_coal,-.0447843935252187,.047194012,.35049149,510,.73454064,2007,2023
pattern_test,dln_totgen,baseline,did_coal,-.0260220393264288,.053584803,.63088316,510,.39335409,2007,2023
pattern_test,energy5_int,baseline,did_coal,-.2894549784361844,.11898923,.021391962,480,.95922452,2007,2022
pattern_test,industrial_wastewater,baseline,did_coal,-40594.61491289705,24203.07,.1042415,510,.91076815,2007,2023
pattern_test,pm_total,baseline,did_coal,-10.13390180057256,28.062653,.72381276,154,.82248574,2011,2023
pattern_test,z_noncoal_int,baseline,did_coal,.6974109549174414,.31610712,.035441618,480,.95799422,2007,2022
timing_restriction,coalshare5,through_2012,did_coal,-.0230567735174953,.046738476,.62550551,180,.97184533,2007,2012
timing_restriction,coalshare5,through_2015,did_coal,-.0621893873271322,.066014014,.35394236,270,.95210207,2007,2015
timing_restriction,coalshare5,through_2023,did_coal,-.2495047578598652,.075376555,.0025007611,480,.92243576,2007,2022
timing_restriction,coalterm_int,through_2012,did_coal,-.1742621873634973,.040149797,.00015772511,180,.96153194,2007,2012
timing_restriction,coalterm_int,through_2015,did_coal,-.3061363876778894,.048298541,6.3217277e-07,270,.95913988,2007,2015
timing_restriction,coalterm_int,through_2023,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
timing_restriction,energy5_int,through_2012,did_coal,-.2317225472944662,.060551748,.00063885911,180,.97571987,2007,2012
timing_restriction,energy5_int,through_2015,did_coal,-.3365409861609814,.070356727,.000046309422,270,.97286439,2007,2015
timing_restriction,energy5_int,through_2023,did_coal,-.2894549784361844,.11898923,.021391962,480,.95922452,2007,2022
timing_restriction,industrial_so2,through_2012,did_coal,6.245382889384076,8.047493,.44399381,180,.97363329,2007,2012
timing_restriction,industrial_so2,through_2015,did_coal,-9.673167269751534,8.5596066,.26769686,270,.96933281,2007,2015
timing_restriction,industrial_so2,through_2023,did_coal,-72.58871365071349,19.699562,.00093463267,510,.88117659,2007,2023
timing_restriction,industrial_solid_waste,through_2012,did_coal,-18.71239961024412,15.347348,.23257029,180,.90819716,2007,2012
timing_restriction,industrial_solid_waste,through_2015,did_coal,-8.461705863561523,15.262339,.58354402,270,.89606363,2007,2015
timing_restriction,industrial_solid_waste,through_2023,did_coal,-47.2683431982222,20.052076,.025372053,510,.78369045,2007,2023
timing_restriction,nox_total,through_2012,did_coal,-3.43873951045325,1.9517814,.089415856,56,.99965876,2011,2012
timing_restriction,nox_total,through_2015,did_coal,-16.86303769979784,5.0065131,.0022883306,140,.99351233,2011,2015
timing_restriction,nox_total,through_2023,did_coal,-43.99146104370375,16.89155,.014783787,336,.92226017,2011,2023
trend_test,coalshare5,province_linear_trends,did_coal,.0896917586754585,.068363197,.19981498,480,.96915984,2007,2022
trend_test,coalterm_int,province_linear_trends,did_coal,-.0573985377516496,.042972926,.19203931,480,.97413731,2007,2022
trend_test,energy5_int,province_linear_trends,did_coal,-.1225069484724578,.062917784,.061265714,480,.98465395,2007,2022
trend_test,industrial_so2,province_linear_trends,did_coal,28.61578523156389,9.5158157,.0054014814,510,.96661538,2007,2023
trend_test,industrial_solid_waste,province_linear_trends,did_coal,29.91298903768431,17.443829,.097047761,510,.86879545,2007,2023
trend_test,nox_total,province_linear_trends,did_coal,-6.120898901944673,4.5318489,.18802281,336,.97888839,2011,2023
