source_file,province,province_cn,year,variable,value,unit,source,date,original_header,notes
数据模板命名.csv,Tianjin,天津,2000,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2001,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2002,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2004,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2006,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2007,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2009,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2010,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2010-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2011,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2011-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2012,hydro_capacity_10k_kw,0.5,万千瓦,中国电力企业联合会,2012-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2013,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2013-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2014,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2014-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2015,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2015-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2016,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2016-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2017,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2017-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2018,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2018-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2019,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2019-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2020,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2020-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2021,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2021-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2022,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2022-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2023,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2023-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Tianjin,天津,2024,hydro_capacity_10k_kw,1,万千瓦,中国电力企业联合会,2024-12-01,发电设备容量:水电:天津,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,1996,hydro_capacity_10k_kw,67.22,万千瓦,中国电力企业联合会,1996-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,1997,hydro_capacity_10k_kw,68.33,万千瓦,中国电力企业联合会,1997-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
