province,year,green_credit_level,large_bank_networks_2011,total_networks_2011,large_bank_share_2011,national_green_credit_level,national_green_credit_change,national_green_credit_dev2011,post2012,iv_network_post2012,iv_network_national_level,iv_network_national_change,iv_network_national_dev2011,z_iv_network_post2012,z_iv_network_national_level,z_iv_network_national_change,z_iv_network_national_dev2011
北京市,2020,0.284260186770931,1662.0,3672.0,0.4526143790849673,0.479395202475771,0.014602371501520994,-0.008735299053888979,1,0.4526143790849673,0.21698116190488329,0.0066092433103289465,-0.003953721957397463,1.2136371764185647,0.8251685212013091,1.6658151354939783,-0.33114765132218105
北京市,2019,0.191665492461603,1662.0,3672.0,0.4526143790849673,0.46479283097425,0.0006526039815620277,-0.023337670555409973,1,0.4526143790849673,0.21037191859455434,0.0002953779459030746,-0.01056296526772641,1.2136371764185647,0.7041180526757582,0.08395705021994915,-1.22881164658662
北京市,2018,0.247118253322484,1662.0,3672.0,0.4526143790849673,0.464140226992688,0.00730143466969696,-0.023990274536972,1,0.4526143790849673,0.21007654064865125,0.003304734319454343,-0.010858343213629483,1.2136371764185647,0.6987081082895673,0.8379127392015866,-1.2689297258556913
北京市,2017,0.287519260400616,1662.0,3672.0,0.4526143790849673,0.456838792322991,0.00718608951438604,-0.03129170920666896,1,0.4526143790849673,0.20677180632919692,0.003252527443602832,-0.014163077533083827,1.2136371764185647,0.6381808105432079,0.8248329752367242,-1.717777025493272
北京市,2016,0.340706386014984,1662.0,3672.0,0.4526143790849673,0.449652702808605,-0.018228925186363043,-0.038477798721055,1,0.4526143790849673,0.2035192788855941,-0.008250673654612031,-0.01741560497668666,1.2136371764185647,0.5786096989266892,-2.0571467017877794,-2.159533614355551
北京市,2015,0.270081164287713,1662.0,3672.0,0.4526143790849673,0.467881627994968,-0.008495150402869966,-0.020248873534691958,1,0.4526143790849673,0.2117699525402061,-0.0038450272248284,-0.009164931322074629,1.2136371764185647,0.7297235049476233,-0.9533684259509444,-1.038931401868163
北京市,2014,0.448361958084285,1662.0,3672.0,0.4526143790849673,0.476376778397838,0.0025536353930479816,-0.011753723131821991,1,0.4526143790849673,0.21561497976503452,0.0011558120978338087,-0.005319904097246228,1.2136371764185647,0.8001464452457332,0.29952780466559753,-0.5167018003121243
北京市,2013,0.524149827501232,1662.0,3672.0,0.4526143790849673,0.47382314300479,-0.005284243148438006,-0.014307358524869973,1,0.4526143790849673,0.21445916766720072,-0.002391724431564261,-0.006475716195080037,1.2136371764185647,0.7789773659123053,-0.5892620281761397,-0.6736835994077957
北京市,2012,0.532937340895896,1662.0,3672.0,0.4526143790849673,0.479107386153228,-0.009023115376431967,-0.009023115376431967,1,0.4526143790849673,0.21685089209876496,-0.004083991763515776,-0.004083991763515776,1.2136371764185647,0.8227825867871967,-1.0132379299391367,-0.34884082876047223
北京市,2011,0.523149222557438,1662.0,3672.0,0.4526143790849673,0.48813050152966,-0.027257914523382998,0.0,0,0.0,0.22093488386228075,-0.012337324057152108,0.0,-1.1191511962910219,0.8975822413339548,-3.0810046093968393,0.20584481238324465
