UNIT;PLANT;PARENT;URL;SPONSOR;CAPACITY_MW;STATUS;REGION;COUNTRY;SUBNATIONAL_UNIT;GEOPOINT
Phase I, Unit 2;Matarbari Power Station;Coal Power Generation Company Bangladesh Ltd;https://www.gem.wiki/Matarbari_power_station;;600;Construction;Asia;Bangladesh;Chittagong;21.70184, 91.8834
Phase I, Unit 1;Payra Power Station (Bcpcl);Bangladesh-China Power Co Ltd;https://www.gem.wiki/Payra_power_station_(BCPCL);;660;Operating;Asia;Bangladesh;Barisal;22.00197, 90.30821
;Phulbari Coal Project (Asia Energy);Gcm Resources;https://www.gem.wiki/Phulbari_Coal_Project_(Asia_Energy);;1000;Cancelled;Asia;Bangladesh;Rangpur;25.94687, 89.55324
Unit 2;Phulbari Power Station (China Gezhouba);"China Energy Engineering Corp Ltd; Gcm Resources";https://www.gem.wiki/Phulbari_power_station_(China_Gezhouba);;1000;Cancelled;Asia;Bangladesh;Rangpur;25.94687, 89.55324
Unit 2;Phulbari Power Station (Sinohydro);"Gcm Resources; Power Construction Corporation Of China Ltd";https://www.gem.wiki/Phulbari_power_station_(Sinohydro);;1000;Announced;Asia;Bangladesh;Rangpur;25.94687, 89.55324
Unit 3;Phulbari Power Station (Sinohydro);"Gcm Resources; Power Construction Corporation Of China Ltd";https://www.gem.wiki/Phulbari_power_station_(Sinohydro);;1000;Announced;Asia;Bangladesh;Rangpur;25.94687, 89.55324
Unit 1;Rampal Power Station;"Bangladesh Power Development Board [50.0%]; Ntpc Ltd [50.0%]";https://www.gem.wiki/Rampal_power_station;;660;Operating;Asia;Bangladesh;Khulna;22.59246, 89.55643
Unit 1;Sena Kalyan Sangstha Power Station;Sena Kalyan Sangstha;https://www.gem.wiki/Sena_Kalyan_Sangstha_power_station;;660;Cancelled;Asia;Bangladesh;Barisal;21.989, 90.2792
Unit 2;Amercoeur Power Station;Engie Sa;https://www.gem.wiki/Amercoeur_power_station;;127;Retired;Europe;Belgium;Hainaut;50.431, 4.3955
;Antwerp Power Station;E.On Se;https://www.gem.wiki/Antwerp_Power_Station;;1100;Cancelled;Europe;Belgium;Antwerp;51.21922, 4.40288
Unit 5;Awirs Power Station;Engie Sa;https://www.gem.wiki/Awirs_power_station;;300;Retired;Europe;Belgium;Leige;50.5851, 5.418
Unit 1;Farciennes Power Station;Engie Sa;https://www.gem.wiki/Farciennes_power_station;;92;Retired;Europe;Belgium;Hainaut;50.42, 4.556
Unit 11;Mol Power Station;Engie Sa;https://www.gem.wiki/Mol_power_station;;124;Retired;Europe;Belgium;Antwerp;51.2234, 5.099
Unit 12;Mol Power Station;Engie Sa;https://www.gem.wiki/Mol_power_station;;131;Retired;Europe;Belgium;Antwerp;51.2234, 5.099
Unit 1;Monceau-Sur-Sambre Power Station;Engie Sa;https://www.gem.wiki/Monceau-Sur-Sambre_power_station;;50;Retired;Europe;Belgium;Hainaut;50.4034, 4.3844
Unit 10;Monceau-Sur-Sambre Power Station;Engie Sa;https://www.gem.wiki/Monceau-Sur-Sambre_power_station;;116;Retired;Europe;Belgium;Hainaut;50.4034, 4.3844
Unit 2;Monceau-Sur-Sambre Power Station;Engie Sa;https://www.gem.wiki/Monceau-Sur-Sambre_power_station;;50;Retired;Europe;Belgium;Hainaut;50.4034, 4.3844
Unit 1;Rodenhuize Power Station;Engie Sa;https://www.gem.wiki/Rodenhuize_power_station;;133;Retired;Europe;Belgium;East Flanders;51.13026, 3.75906
Unit 32;Schelle Power Station;Engie Sa;https://www.gem.wiki/Schelle_power_station;;136;Retired;Europe;Belgium;Antwerp;51.12327, 4.27279
Unit 7;Kakanj Thermal Power Plant;Jp Elektroprivreda Bih;https://www.gem.wiki/Kakanj_Thermal_Power_Plant;;230;Operating;Europe;Bosnia And Herzegovina;Fbih;44.08963, 18.11387
Unit 9;Kakanj Thermal Power Plant;Elektroprivreda Bih Dd;https://www.gem.wiki/Kakanj_Thermal_Power_Plant;;300;Cancelled;Europe;Bosnia And Herzegovina;Fbih;44.08972, 18.11444
Unit 2;Kongora Thermal Power Plant;Elektroprivreda Hzhb;https://www.gem.wiki/Kongora_Thermal_Power_Plant;;275;Cancelled;Europe;Bosnia And Herzegovina;Fbih;43.64611, 17.33139
Unit 1;Miljevina Power Station;To Be Determined;https://www.gem.wiki/Miljevina_power_station;;110;Cancelled;Europe;Bosnia And Herzegovina;Republika Srpska;43.5183, 18.65209
Unit 3;Tuzla Thermal Power Plant;Jp Elektroprivreda Bih;https://www.gem.wiki/Tuzla_Thermal_Power_Plant;;100;Operating;Europe;Bosnia And Herzegovina;Fbih;44.52104, 18.60644
Unit 5;Tuzla Thermal Power Plant;Jp Elektroprivreda Bih;https://www.gem.wiki/Tuzla_Thermal_Power_Plant;;200;Operating;Europe;Bosnia And Herzegovina;Fbih;44.52104, 18.60644
Unit 7;Tuzla Thermal Power Plant;Elektroprivreda Bih Dd;https://www.gem.wiki/Tuzla_Thermal_Power_Plant;;450;Pre-Permit;Europe;Bosnia And Herzegovina;Fbih;44.52, 18.60611
Unit 1;Ugljevik Power Station;Elektroprivreda Republike Srpske;https://www.gem.wiki/Ugljevik_power_station;;300;Operating;Europe;Bosnia And Herzegovina;Republika Srpska;44.68219, 18.96737
Expansion Unit 1;Ugljevik Power Station;Elektroprivreda Republike Srpske;https://www.gem.wiki/Ugljevik_power_station;;350;Pre-Permit;Europe;Bosnia And Herzegovina;Republika Srpska;44.68345, 18.96852
Stage Iii, Unit 1;Mmamabula Energy Project;Glendal Trading Pty Ltd;https://www.gem.wiki/Mmamabula_Energy_Project;;800;Cancelled;Africa;Botswana;Central;-23.60929, 26.77495
Unit 1;Mookane Domestic Power Project;"Gcl Poly Energy Holdings; Jindal Steel & Power Ltd";https://www.gem.wiki/Mookane_Domestic_Power_Project;;150;Cancelled;Africa;Botswana;Central;-23.6875, 26.66139
Unit 2;Morupule B Power Station;Botswana Power Corp;https://www.gem.wiki/Morupule_B_power_station;;150;Operating;Africa;Botswana;Central;-22.52233, 27.04883
Unit 4;Morupule Ipp;Energy & Natural Resource Corporation Botswana;https://www.gem.wiki/Morupule_IPP;;150;Cancelled;Africa;Botswana;Central;-22.55, 27.13333
;Charqueadas Power Station;Engie Brasil Energia Sa;https://www.gem.wiki/Charqueadas_power_station;;72;Retired;Americas;Brazil;Rio Grande Do Sul;-29.95131, -51.62242
;Ctsul Power Station;Ctsul;https://www.gem.wiki/CTSul_power_station;;650;Cancelled;Americas;Brazil;Rio Grande Do Sul;-29.51509, -51.99326
;Itaqui Power Station;Eneva Sa;https://www.gem.wiki/Itaqui_power_station;;360;Operating;Americas;Brazil;MaranhÃ£o;-2.58731, -44.33835
;MaranhÃ£o SÃ£o LuÃ­s Power Station;Edp Brasil Sa;https://www.gem.wiki/Maranh%C3%A3o_S%C3%A3o_Lu%C3%ADs_power_station;;350;Cancelled;Americas;Brazil;MaranhÃ£o;-2.528, -44.3044
Presidente MÃ©dici-A Power Station Unit 1;Presidente MÃ©dici Candiota Power Station;Eletrobras Sa;https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station;;63;Retired;Americas;Brazil;Rio Grande Do Sul;-31.55136, -53.68302
Presidente MÃ©dici-A Power Station Unit 2;Presidente MÃ©dici Candiota Power Station;Eletrobras Sa;https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station;;63;Retired;Americas;Brazil;Rio Grande Do Sul;-31.55136, -53.68302
Presidente MÃ©dici-B Power Station Unit 1;Presidente MÃ©dici Candiota Power Station;Eletrobras Sa;https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station;;160;Retired;Americas;Brazil;Rio Grande Do Sul;-31.55136, -53.68302
Unit 2;SÃ£o Luis Alumar Power Station;"Alcoa Corp [54.0%]; South32 [36.0%]; Rio Tinto [10.0%]";https://www.gem.wiki/S%C3%A3o_Luis_Alumar_power_station;;38;Operating;Americas;Brazil;MaranhÃ£o;-2.5283, -44.3044
;Usitesc Power Station;Carbonifera Metropolitan;https://www.gem.wiki/Usitesc_power_station;;340;Cancelled;Americas;Brazil;Santa Catarina;-28.51667, -49.46667
Unit 1;Maritsa Itzok-2 Power Station;Bulgarian Energy Holding Ead;https://www.gem.wiki/Maritsa_Itzok-2_power_station;;177;Operating;Europe;Bulgaria;Stara Zagora;42.25405, 26.13401
Unit 4;Maritsa Itzok-2 Power Station;Bulgarian Energy Holding Ead;https://www.gem.wiki/Maritsa_Itzok-2_power_station;;177;Operating;Europe;Bulgaria;Stara Zagora;42.25405, 26.13401
Unit 5;Maritsa Itzok-2 Power Station;Bulgarian Energy Holding Ead;https://www.gem.wiki/Maritsa_Itzok-2_power_station;;210;Operating;Europe;Bulgaria;Stara Zagora;42.25405, 26.13401
Unit 5;Republika Power Station;Bingham Management;https://www.gem.wiki/Republika_power_station;;105;Operating;Europe;Bulgaria;Pernik;42.60712, 23.0787
Unit 5;Varna Power Station;Sigda Ood;https://www.gem.wiki/Varna_power_station;;210;Retired;Europe;Bulgaria;Varna;43.19477, 27.76547
Unit 1;Vidin Works Power Station;Vidachim;https://www.gem.wiki/Vidin_Works_power_station;;60;Mothballed;Europe;Bulgaria;Vidin;43.94836, 22.8509
Unit 1;Botum Sakor Power Station;Royal Group;https://www.gem.wiki/Botum_Sakor_power_station;;350;Permitted;Asia;Cambodia;Koh Kong;10.89293, 103.38978
Unit 2;Han Seng Power Station;"Han Seng Coal Mine Co [40.0%]; Guodian Kangneng [38.0%]; Beijing Willard Technology Co Ltd [12.0%]; China Camc Engineering Co Ltd [10.0%]";https://www.gem.wiki/Han_Seng_power_station;;132;Construction;Asia;Cambodia;Oddar Meanchey;14.23008, 104.26931
Unit 1;Kampot Power Station;To Be Determined;https://www.gem.wiki/Kampot_power_station;;135;Cancelled;Asia;Cambodia;Kampot;10.78819, 103.76212
Unit 4;Kampot Power Station;To Be Determined;https://www.gem.wiki/Kampot_power_station;;135;Cancelled;Asia;Cambodia;Kampot;10.78819, 103.76212
Unit 2;Sihanoukville Cel Power Station;Leader Universal Holdings;https://www.gem.wiki/Sihanoukville_CEL_power_station;;50;Operating;Asia;Cambodia;Sihanoukville;10.74021, 103.58083
Unit 3;Sihanoukville Cel Power Station;Leader Universal Holdings;https://www.gem.wiki/Sihanoukville_CEL_power_station;;150;Operating;Asia;Cambodia;Sihanoukville;10.74021, 103.58083
Unit 2;Sihanoukville Csg Power Station;Cheung Sheng Global Holdings;https://www.gem.wiki/Sihanoukville_CSG_power_station;;300;Cancelled;Asia;Cambodia;Sihanoukville;10.6333, 103.5
Unit 1;Alberta Sundance Power Station;Transalta Corp;https://www.gem.wiki/Alberta_Sundance_power_station;;280;Retired;Americas;Canada;Alberta;53.50741, -114.559
;Atikokan Power Station;Ontario Power Generation Inc;https://www.gem.wiki/Atikokan_power_station;;230;Retired;Americas;Canada;Ontario;48.83809, -91.57057
Unit 4;Battle River Power Station;Energy Capital Partners;https://www.gem.wiki/Battle_River_power_station;;155;Retired;Americas;Canada;Alberta;52.46928, -112.13506
Unit 2;Boundary Dam Power Station;Saskpower;https://www.gem.wiki/Boundary_Dam_power_station;;62;Retired;Americas;Canada;Saskatchewan;49.09575, -103.03041
Unit 3;Boundary Dam Power Station;Saskpower;https://www.gem.wiki/Boundary_Dam_power_station;;110;Operating;Americas;Canada;Saskatchewan;49.09575, -103.03041
Unit 2;Bow City Power Station;Bow City Power;https://www.gem.wiki/Bow_City_power_station;;500;Cancelled;Americas;Canada;Alberta;50.56417, -111.89889
Unit 2;Keephills Power Station;Transalta Corp;https://www.gem.wiki/Keephills_power_station;;403;Retired;Americas;Canada;Alberta;53.44767, -114.45147
Unit 3;Keephills Power Station;Transalta Corp;https://www.gem.wiki/Keephills_power_station;;495;Retired;Americas;Canada;Alberta;53.44767, -114.45147
Unit 2;Lakeview Generating Station;Ontario Power Generation Inc;https://www.gem.wiki/Lakeview_Generating_Station;;300;Retired;Americas;Canada;Ontario;43.57111, -79.55167
Unit 3;Lakeview Generating Station;Ontario Power Generation Inc;https://www.gem.wiki/Lakeview_Generating_Station;;300;Retired;Americas;Canada;Ontario;43.57111, -79.55167
Unit 4;Lambton Power Station;Ontario Power Generation Inc;https://www.gem.wiki/Lambton_power_station;;500;Retired;Americas;Canada;Ontario;42.7968, -82.46917
Unit 1;Lambton Power Station;Ontario Power Generation Inc;https://www.gem.wiki/Lambton_power_station;;500;Retired;Americas;Canada;Ontario;42.7968, -82.46917
Unit 2;Lingan Power Station;Emera Inc;https://www.gem.wiki/Lingan_power_station;;158;Operating;Americas;Canada;Nova Scotia;46.23557, -60.03829
Unit 3;Lingan Power Station;Emera Inc;https://www.gem.wiki/Lingan_power_station;;158;Operating;Americas;Canada;Nova Scotia;46.23557, -60.03829
Unit 2;Nanticoke Power Station;Ontario Power Generation Inc;https://www.gem.wiki/Nanticoke_power_station;;490;Retired;Americas;Canada;Ontario;42.79729, -80.05159
Unit 3;Nanticoke Power Station;Ontario Power Generation Inc;https://www.gem.wiki/Nanticoke_power_station;;490;Retired;Americas;Canada;Ontario;42.79729, -80.05159
Unit 2;Point Tupper Power Station;Emera Inc;https://www.gem.wiki/Point_Tupper_power_station;;150;Operating;Americas;Canada;Nova Scotia;45.58642, -61.34768
Unit 2;Poplar River Power Station;Saskpower;https://www.gem.wiki/Poplar_River_power_station;;315;Operating;Americas;Canada;Saskatchewan;49.05703, -105.48514
Unit 1;Shand Power Station;Saskpower;https://www.gem.wiki/Shand_power_station;;300;Operating;Americas;Canada;Saskatchewan;49.08823, -102.86304
Unit 2;Sheerness Power Station;Energy Capital Partners;https://www.gem.wiki/Sheerness_power_station;;390;Retired;Americas;Canada;Alberta;51.44272, -111.79033
Unit 5;Trenton Generating Station;Emera Inc;https://www.gem.wiki/Trenton_Generating_Station;;152;Operating;Americas;Canada;Nova Scotia;45.62042, -62.64699
Unit 1;Wabamun Power Station;Transalta Corp;https://www.gem.wiki/Wabamun_power_station;;62;Retired;Americas;Canada;Alberta;53.55823, -114.48828
Unit 1;Andina-Hornitos Power Station;Engie EnergÃ­a Chile Sa;https://www.gem.wiki/Andina-Hornitos_power_station;;177;Operating;Americas;Chile;Antofagasta Region;-23.08771, -70.40747
Unit 1;Barrancones Power Station;Engie Sa;https://www.gem.wiki/Barrancones_power_station;;180;Cancelled;Americas;Chile;Iv Region;-29.5, -71.2667
Unit 1;Bocamina Power Station;Enel GeneraciÃ³n Chile Sa;https://www.gem.wiki/Bocamina_power_station;;128;Retired;Americas;Chile;Biobio Region;-37.0218, -73.1663
