UNIT;PLANT;PARENT;URL;SPONSOR;CAPACITY_MW;STATUS;REGION;COUNTRY;SUBNATIONAL_UNIT;GEOPOINT
Phase 1 Unit 1;Arad Power Station;Sc Cet Arad Sa;https://www.gem.wiki/Arad_power_station;;50;Retired;Europe;Romania;Arad;46.22242, 21.32877
Unit 5;Govora Power Station;Sc Cet Govora Sa;https://www.gem.wiki/Govora_power_station;;50;Retired;Europe;Romania;VÃ¢lcea;45.03905, 24.28757
Unit 6;Govora Power Station;Sc Cet Govora Sa;https://www.gem.wiki/Govora_power_station;;50;Retired;Europe;Romania;VÃ¢lcea;45.03905, 24.28757
Unit 3;Govora Power Station;Sc Cet Govora Sa;https://www.gem.wiki/Govora_power_station;;50;Operating;Europe;Romania;VÃ¢lcea;45.03905, 24.28757
Unit 1;Iasi-2 Power Station;Sc Cet IaÅi Sa;https://www.gem.wiki/Iasi-2_power_station;;60;Operating;Europe;Romania;IaÅi;47.1473, 27.71716
Unit 2;Mintia-Deva Power Station;Complexul Energetic Hunedoara;https://www.gem.wiki/Mintia-Deva_power_station;;210;Retired;Europe;Romania;Hunedoara;45.91279, 22.82613
Unit 6;Mintia-Deva Power Station;Complexul Energetic Hunedoara;https://www.gem.wiki/Mintia-Deva_power_station;;210;Retired;Europe;Romania;Hunedoara;45.91279, 22.82613
Phase 2 Unit 2;Oradea Power Station;Sc Electrocentrale Oradea Sa;https://www.gem.wiki/Oradea_power_station;;50;Retired;Europe;Romania;Bihor;47.08468, 21.89287
Unit 1;Romag Termo Power Station;Regia AutonomÄ Pentru ActivitÄÈi Nucleare;https://www.gem.wiki/Romag_Termo_power_station;;60;Retired;Europe;Romania;Mehedinti;44.67513, 22.68685
Unit 6;Romag Termo Power Station;Regia AutonomÄ Pentru ActivitÄÈi Nucleare;https://www.gem.wiki/Romag_Termo_power_station;;60;Retired;Europe;Romania;Mehedinti;44.67513, 22.68685
Phase 2 Unit 2;Suceava Power Station;Sc Termica Sa;https://www.gem.wiki/Suceava_power_station;;50;Retired;Europe;Romania;Suceava;47.65187, 26.29827
Unit 5;Turceni Power Station;"Ministry Of Energy (Romania) [77.2%]; Fondul Proprietatea Sa [21.6%]";https://www.gem.wiki/Turceni_power_station;;330;Operating;Europe;Romania;Gorj;44.66972, 23.40778
Unit 6;Turceni Power Station;"Ministry Of Energy (Romania) [77.2%]; Fondul Proprietatea Sa [21.6%]";https://www.gem.wiki/Turceni_power_station;;330;Retired;Europe;Romania;Gorj;44.66972, 23.40778
Unit 7;Turceni Power Station;"Ministry Of Energy (Romania) [77.2%]; Fondul Proprietatea Sa [21.6%]";https://www.gem.wiki/Turceni_power_station;;330;Mothballed;Europe;Romania;Gorj;44.66972, 23.40778
Unit 3;Abakan Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Abakan_power_station;;110;Operating;Europe;Russia;Khakassia;53.71913, 91.32308
Unit 1;Anadyrskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Anadyrskaya_power_station;;30;Retired;Europe;Russia;Chukotka;64.73022, 177.49693
Unit 8;Arkhangelsk Ppm Power Station;Zinner Privatstiftung;https://www.gem.wiki/Arkhangelsk_PPM_power_station;;60;Operating;Europe;Russia;Arkhangelsk;64.43041, 40.83198
Unit 6;Artyomovskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Artyomovskaya_power_station;;100;Operating;Europe;Russia;Primorsky;43.37153, 132.30405
;Artyomovskaya Tpp-2 Power Station;Rushydro Pjsc;https://www.gem.wiki/Artyomovskaya_TPP-2_power_station;;420;Cancelled;Europe;Russia;Primorsky;43.42557, 132.3055
Unit 3;Belovskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Belovskaya_power_station;;200;Operating;Europe;Russia;Kemerovo;54.44488, 86.42533
Unit 1;Berezovskaya Power Station;Federal Agency For State Property Management (Russia) [83.7%];https://www.gem.wiki/Berezovskaya_power_station;;800;Operating;Europe;Russia;Krasnoyarsk;55.57954, 89.07131
Unit 3;Biysk-1 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Biysk-1_power_station;;50;Operating;Europe;Russia;Altai Krai;52.48922, 85.08656
Unit 4;Biysk-1 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Biysk-1_power_station;;60;Operating;Europe;Russia;Altai Krai;52.48922, 85.08656
Unit 7;Biysk-1 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Biysk-1_power_station;;114;Operating;Europe;Russia;Altai Krai;52.48922, 85.08656
Unit 7;Bogoslovskaya Power Station;United Company Rusal Pjsc;https://www.gem.wiki/Bogoslovskaya_power_station;;41;Operating;Europe;Russia;Sverdlovsk;59.78159, 60.17643
;Chelyabinsk Chp-1 Power Station;Fortum Oyj;https://www.gem.wiki/Chelyabinsk_CHP-1_power_station;;250;Retired;Europe;Russia;Chelyabinsk;55.13411, 61.47646
Unit 2;Chelyabinsk Chp-2 Power Station;Fortum Oyj;https://www.gem.wiki/Chelyabinsk_CHP-2_power_station;;60;Operating;Europe;Russia;Chelyabinsk;55.15508, 61.49714
Unit 4;Cherepetskaya Power Station;Inter Rao Pjsc;https://www.gem.wiki/Cherepetskaya_power_station;;140;Retired;Europe;Russia;Tula;54.136, 36.48
Unit 2;Cherepovetskaya Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Cherepovetskaya_power_station;;210;Retired;Europe;Russia;Vologda;59.22837, 37.12588
Unit 4;Chita-1 Power Station;Far Eastern Management Company Jsc [92.0%];https://www.gem.wiki/Chita-1_power_station;;87;Operating;Europe;Russia;Zabaykalsky Krai;52.05353, 113.3576
Unit 5;Chita-1 Power Station;Far Eastern Management Company Jsc [92.0%];https://www.gem.wiki/Chita-1_power_station;;87;Operating;Europe;Russia;Zabaykalsky Krai;52.05353, 113.3576
Unit 1;Experimental Tes Power Station;Experimental Tes Co;https://www.gem.wiki/Experimental_TES_power_station;;350;Cancelled;Europe;Russia;Rostov;47.87117, 40.02033
Unit 7;Gusinoozyorskaya Power Station;Inter Rao Pjsc;https://www.gem.wiki/Gusinoozyorskaya_power_station;;330;Cancelled;Europe;Russia;Buryatia;51.29841, 106.48411
Unit 6;Irkutsk-10 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-10_power_station;;150;Operating;Europe;Russia;Irkutsk;52.46186, 103.97865
Unit 8;Irkutsk-10 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-10_power_station;;150;Operating;Europe;Russia;Irkutsk;52.46186, 103.97865
Unit 6;Irkutsk-11 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-11_power_station;;50;Operating;Europe;Russia;Irkutsk;52.78207, 103.60413
Unit 8;Irkutsk-11 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-11_power_station;;79;Operating;Europe;Russia;Irkutsk;52.78207, 103.60413
Unit 1;Irkutsk-6 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-6_power_station;;60;Operating;Europe;Russia;Irkutsk;56.12236, 101.60107
Unit 3;Irkutsk-9 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-9_power_station;;50;Operating;Europe;Russia;Irkutsk;52.5328, 103.93731
Unit 7;Irkutsk-9 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-9_power_station;;110;Operating;Europe;Russia;Irkutsk;52.5328, 103.93731
Unit 8;Irkutsk-9 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-9_power_station;;100;Operating;Europe;Russia;Irkutsk;52.5328, 103.93731
Unit 9;Irkutsk-9 Station 1 Power Station;En+ Group;https://www.gem.wiki/Irkutsk-9_Station_1_power_station;;30;Retired;Europe;Russia;Irkutsk;52.56599, 103.93199
Unit 3;Kashirskaya Power Station;Inter Rao Pjsc;https://www.gem.wiki/Kashirskaya_power_station;;330;Retired;Europe;Russia;Moscow;54.85668, 38.25793
Unit 1;Kashirskaya Power Station;Inter Rao Pjsc;https://www.gem.wiki/Kashirskaya_power_station;;300;Retired;Europe;Russia;Moscow;54.85668, 38.25793
Unit 11;Kemerovskaya Gres Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Kemerovskaya_GRES_power_station;;110;Operating;Europe;Russia;Kemerovo;55.36765, 86.06943
Unit 8;Kemerovskaya Gres Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Kemerovskaya_GRES_power_station;;35;Retired;Europe;Russia;Kemerovo;55.36765, 86.06943
Unit 13;Kemerovskaya Gres Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Kemerovskaya_GRES_power_station;;110;Operating;Europe;Russia;Kemerovo;55.36765, 86.06943
Unit 5;Kharanorskaya Power Station;Inter Rao Pjsc;https://www.gem.wiki/Kharanorskaya_power_station;;215;Cancelled;Europe;Russia;Zabaykalsky Krai;50.85526, 115.70118
Unit 1;Kirov-5 Power Station;T Plus Group Pjsc;https://www.gem.wiki/Kirov-5_power_station;;80;Retired;Europe;Russia;Kirov;58.54894, 49.58239
Unit 2;Kirov-5 Power Station;T Plus Group Pjsc;https://www.gem.wiki/Kirov-5_power_station;;185;Retired;Europe;Russia;Kirov;58.54894, 49.58239
Unit 3;Kirov-5 Power Station;T Plus Group Pjsc;https://www.gem.wiki/Kirov-5_power_station;;185;Retired;Europe;Russia;Kirov;58.54894, 49.58239
Unit 1;Krasnokamenskaya Chp;Rosatom;https://www.gem.wiki/Krasnokamenskaya_CHP;;50;Operating;Europe;Russia;Zabaykalsky Krai;50.10398, 118.04899
Unit 6;Krasnokamenskaya Chp;Rosatom;https://www.gem.wiki/Krasnokamenskaya_CHP;;110;Operating;Europe;Russia;Zabaykalsky Krai;50.10398, 118.04899
Unit 8;Krasnoyarsk Chp-1 Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Krasnoyarsk_CHP-1_power_station;;60;Operating;Europe;Russia;Krasnoyarsk;56.02499, 93.03142
Unit 4;Krasnoyarsk Chp-2 Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Krasnoyarsk_CHP-2_power_station;;139;Operating;Europe;Russia;Krasnoyarsk;55.9708, 92.89973
Unit 2;Krasnoyarsk Gres-2 Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Krasnoyarsk_GRES-2_power_station;;150;Operating;Europe;Russia;Krasnoyarsk;56.14973, 94.48174
Unit 4;Krasnoyarsk Gres-2 Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Krasnoyarsk_GRES-2_power_station;;60;Operating;Europe;Russia;Krasnoyarsk;56.14973, 94.48174
Unit 5;Krasnoyarsk Gres-2 Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Krasnoyarsk_GRES-2_power_station;;164;Operating;Europe;Russia;Krasnoyarsk;56.14973, 94.48174
Unit 3;Krasnoyarsk Rusal Power Station;United Company Rusal Pjsc;https://www.gem.wiki/Krasnoyarsk_Rusal_power_station;;50;Operating;Europe;Russia;Krasnoyarsk;56.23403, 90.40316
Unit 1;Kumertau Chp Power Station;Kumertau Briquette Factory;https://www.gem.wiki/Kumertau_CHP_power_station;;60;Operating;Europe;Russia;Bashkortostan;52.77211, 55.82048
Unit 5;Magnitogorskaya Chp Power Station;Magnitogorsk Iron And Steel Works;https://www.gem.wiki/Magnitogorskaya_CHP_power_station;;50;Retired;Europe;Russia;Chelyabinsk;53.39527, 59.02127
;Minusinskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Minusinskaya_power_station;;89;Operating;Europe;Russia;Krasnoyarsk;53.65097, 91.77811
Unit 1;Neryungrinskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Neryungrinskaya_power_station;;180;Operating;Europe;Russia;Sakha;56.66985, 124.85228
Unit 2;Neryungrinskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Neryungrinskaya_power_station;;180;Operating;Europe;Russia;Sakha;56.66985, 124.85228
Unit 3;Neryungrinskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Neryungrinskaya_power_station;;210;Operating;Europe;Russia;Sakha;56.66985, 124.85228
Unit 5;Neryungrinskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Neryungrinskaya_power_station;;225;Pre-Permit;Europe;Russia;Sakha;56.66985, 124.85228
Unit 3;Novo-Irkutsk Power Station;En+ Group;https://www.gem.wiki/Novo-Irkutsk_power_station;;175;Operating;Europe;Russia;Irkutsk;52.24682, 104.20308
Unit 15;Novo-Kemerovskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Novo-Kemerovskaya_power_station;;115;Operating;Europe;Russia;Kemerovo;55.3515, 85.99415
Unit 9;Novo-Kemerovskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Novo-Kemerovskaya_power_station;;50;Operating;Europe;Russia;Kemerovo;55.3515, 85.99415
Unit 10;Novo-Kemerovskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Novo-Kemerovskaya_power_station;;50;Operating;Europe;Russia;Kemerovo;55.3515, 85.99415
Unit 14;Novo-Kemerovskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Novo-Kemerovskaya_power_station;;135;Operating;Europe;Russia;Kemerovo;55.3515, 85.99415
Unit 1;Novocherkasskaya Gres Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Novocherkasskaya_GRES_power_station;;264;Operating;Europe;Russia;Rostov;47.401, 40.232
Unit 5;Novocherkasskaya Gres Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Novocherkasskaya_GRES_power_station;;270;Operating;Europe;Russia;Rostov;47.401, 40.232
Unit 6;Novosibirsk-2 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Novosibirsk-2_power_station;;80;Operating;Europe;Russia;Novosibirsk;55.00007, 82.87489
Unit 7;Novosibirsk-2 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Novosibirsk-2_power_station;;80;Operating;Europe;Russia;Novosibirsk;55.00007, 82.87489
Unit 9;Novosibirsk-3 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Novosibirsk-3_power_station;;37;Operating;Europe;Russia;Novosibirsk;55.00871, 82.85368
Unit 5;Novosibirsk-4 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Novosibirsk-4_power_station;;30;Operating;Europe;Russia;Novosibirsk;55.10021, 82.98892
Unit 2;Novosibirsk-5 Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Novosibirsk-5_power_station;;200;Operating;Europe;Russia;Novosibirsk;55.00552, 83.06147
Unit 5;Novotroitskaya Ural Steel Power Station;Zagorskii Trubnyi Zavod Jsc;https://www.gem.wiki/Novotroitskaya_Ural_Steel_power_station;;60;Retired;Europe;Russia;Orenburg;51.21942, 58.36236
Unit 4;Omsk Chp-4 Power Station;Inter Rao Pjsc;https://www.gem.wiki/Omsk_CHP-4_power_station;;50;Operating;Europe;Russia;Omsk;55.08446, 73.21175
Unit 9;Omsk Chp-4 Power Station;Inter Rao Pjsc;https://www.gem.wiki/Omsk_CHP-4_power_station;;135;Operating;Europe;Russia;Omsk;55.08446, 73.21175
Unit 3;Omsk Chp-5 Power Station;Inter Rao Pjsc;https://www.gem.wiki/Omsk_CHP-5_power_station;;175;Operating;Europe;Russia;Omsk;55.00184, 73.48741
Unit 1;Partizanskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Partizanskaya_power_station;;99;Operating;Europe;Russia;Primorsky;43.06124, 133.13561
Unit 2;Petrovskaya Power Station;Gazprom Pjsc;https://www.gem.wiki/Petrovskaya_power_station;;800;Cancelled;Europe;Russia;Moscow;55.56667, 39.53333
Unit 3;Primorskaya Tpp Power Station;Rosneftegaz;https://www.gem.wiki/Primorskaya_TPP_power_station;;65;Operating;Europe;Russia;Kaliningrad;54.69077, 20.28305
Unit 6;Primorsky Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Primorsky_power_station;;210;Operating;Europe;Russia;Primorsky;46.46517, 134.29063
Unit 8;Primorsky Power Station;Siberian Coal Energy Company Jsc;https://www.gem.wiki/Primorsky_power_station;;210;Operating;Europe;Russia;Primorsky;46.46517, 134.29063
Relocated Unit;Raichihinskaya Power Station;Rushydro Pjsc;https://www.gem.wiki/Raichihinskaya_power_station;;100;Retired;Europe;Russia;Amur;49.74825, 129.69318
Unit 3;Reftinskaya Gres Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Reftinskaya_GRES_power_station;;300;Operating;Europe;Russia;Sverdlovsk;57.11084, 61.70591
Unit 5;Reftinskaya Gres Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Reftinskaya_GRES_power_station;;300;Operating;Europe;Russia;Sverdlovsk;57.11084, 61.70591
Unit 2;Sakhalin Gres-1 Power Station;Rushydro Pjsc;https://www.gem.wiki/Sakhalin_GRES-1_power_station;;50;Retired;Europe;Russia;Sakhalin;48.97934, 142.96425
Unit 6;Sakhalin Gres-1 Power Station;Rushydro Pjsc;https://www.gem.wiki/Sakhalin_GRES-1_power_station;;42;Retired;Europe;Russia;Sakhalin;48.97934, 142.96425
Phase Iii;Sakhalin Gres-2 Power Station;Rushydro Pjsc;https://www.gem.wiki/Sakhalin_GRES-2_power_station;;120;Cancelled;Europe;Russia;Sakhalin;48.05376, 142.18755
Unit 1;Serovskaya Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Serovskaya_power_station;;100;Retired;Europe;Russia;Sverdlovsk;59.63509, 60.70308
Unit 2;Serovskaya Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Serovskaya_power_station;;88;Retired;Europe;Russia;Sverdlovsk;59.63509, 60.70308
Unit 5;Severodvinsk-1 Power Station;Territorial Generating Company No 2 Ojsc;https://www.gem.wiki/Severodvinsk-1_power_station;;60;Operating;Europe;Russia;Arkhangelsk;64.58103, 39.85793
Unit 6;Tom-Usinskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Tom-Usinskaya_power_station;;200;Operating;Europe;Russia;Kemerovo;53.78142, 87.5874
Unit 7;Tom-Usinskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Tom-Usinskaya_power_station;;200;Operating;Europe;Russia;Kemerovo;53.78142, 87.5874
Unit 10;Tom-Usinskaya Power Station;Siberian Coal Energy Company Jsc [99.9%];https://www.gem.wiki/Tom-Usinskaya_power_station;;660;Cancelled;Europe;Russia;Kemerovo;53.78142, 87.5874
Unit 3;Tomskaya Gres-2 Power Station;Inter Rao Pjsc;https://www.gem.wiki/Tomskaya_GRES-2_power_station;;43;Operating;Europe;Russia;Tomsk;56.47206, 84.99726
Unit 9;Troitskaya Gres Power Station;Ogk-2 Pjsc;https://www.gem.wiki/Troitskaya_GRES_power_station;;485;Retired;Europe;Russia;Chelyabinsk;54.03663, 61.64796
Unit 7;Ulan Ude Chp-1 Power Station;Far Eastern Management Company Jsc [92.0%];https://www.gem.wiki/Ulan_Ude_CHP-1_power_station;;98;Operating;Europe;Russia;Buryatia;51.83259, 107.61734
Unit 1;Ust-Ilimskaya Chp Power Station;En+ Group;https://www.gem.wiki/Ust-Ilimskaya_CHP_power_station;;60;Operating;Europe;Russia;Irkutsk;58.0509, 102.80897
Unit 3;Ust-Ilimskaya Chp Power Station;En+ Group;https://www.gem.wiki/Ust-Ilimskaya_CHP_power_station;;110;Operating;Europe;Russia;Irkutsk;58.0509, 102.80897
Unit 3;Yuzhno-Sakhalinskaya-1 Power Station;Rushydro Pjsc;https://www.gem.wiki/Yuzhno-Sakhalinskaya-1_power_station;;120;Retired;Europe;Russia;Sakhalin;46.99858, 142.74225
Unit 6;Yuzhnouralskaya Gres Power Station;Inter Rao Pjsc;https://www.gem.wiki/Yuzhnouralskaya_GRES_power_station;;100;Operating;Europe;Russia;Chelyabinsk;54.45517, 61.2359
;Mboro Power Station;National Electricity Company Of Senegal [15.0%];https://www.gem.wiki/Mboro_power_station;;250;Cancelled;Africa;Senegal;Thies;14.76667, -16.9
;Sendou Power Station;"Barak Fund Management; Government Of Senegal; National Electricity Company Of Senegal";https://www.gem.wiki/Sendou_power_station;;125;Operating;Africa;Senegal;Bagny;14.68699, -17.21393
Unit 3;Kolubara A Power Station;Elektroprivreda Srbije Beograd Ad;https://www.gem.wiki/Kolubara_A_power_station;;65;Operating;Europe;Serbia;Beograd;44.48031, 20.29354
Unit 2;Kolubara B Power Station;Elektroprivreda Srbije Beograd Ad;https://www.gem.wiki/Kolubara_B_power_station;;375;Cancelled;Europe;Serbia;Veliki Crljeni;44.4675, 20.28444
Phase B Unit 1;Kostolac Power Station;Elektroprivreda Srbije Beograd Ad;https://www.gem.wiki/Kostolac_power_station;;350;Operating;Europe;Serbia;BraniÄevo;44.73069, 21.2114
Phase B Unit 3;Nikola Tesla Power Station;Elektroprivreda Srbije Beograd Ad;https://www.gem.wiki/Nikola_Tesla_power_station;;375;Cancelled;Europe;Serbia;Belgrade;44.67064, 20.15832
Phase B Unit 2;Nikola Tesla Power Station;Elektroprivreda Srbije Beograd Ad;https://www.gem.wiki/Nikola_Tesla_power_station;;650;Operating;Europe;Serbia;Beograd;44.65383, 20.00485
Unit 4;Sostanj Power Station;Holding Slovenske Elektrarne Doo;https://www.gem.wiki/Sostanj_power_station;;275;Retired;Europe;Slovenia;Savinja;46.37295, 15.05326
Unit 5;Arnot Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Arnot_power_station;;400;Operating;Africa;South Africa;Mpumalanga;-25.94381, 29.79204
Unit 2;Camden Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Camden_power_station;;200;Operating;Africa;South Africa;Mpumalanga;-26.62148, 30.09007
Unit 4;Camden Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Camden_power_station;;200;Operating;Africa;South Africa;Mpumalanga;-26.62148, 30.09007
Unit 3;Duvha Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Duvha_power_station;;600;Mothballed;Africa;South Africa;Mpumalanga;-25.96126, 29.33971
Unit 4;Duvha Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Duvha_power_station;;600;Operating;Africa;South Africa;Mpumalanga;-25.96126, 29.33971
Unit 3;Elitheni Power Station;Ipsa Group;https://www.gem.wiki/Elitheni_power_station;;75;Cancelled;Africa;South Africa;Eastern Cape;-31.466, 27.333
Unit 5;Grootvlei Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Grootvlei_power_station;;190;Mothballed;Africa;South Africa;Mpumalanga;-26.76849, 28.49776
Phase B Unit 10;Kelvin Power Station;Pan-African Infrastructure Development Funds;https://www.gem.wiki/Kelvin_power_station;;60;Operating;Africa;South Africa;Gauteng;-26.11578, 28.19402
Phase B Unit 7;Kelvin Power Station;Pan-African Infrastructure Development Funds;https://www.gem.wiki/Kelvin_power_station;;60;Operating;Africa;South Africa;Gauteng;-26.11578, 28.19402
Phase B Unit 9;Kelvin Power Station;Pan-African Infrastructure Development Funds;https://www.gem.wiki/Kelvin_power_station;;60;Operating;Africa;South Africa;Gauteng;-26.11578, 28.19402
Unit 6;Kendal Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Kendal_power_station;;686;Operating;Africa;South Africa;Mpumalanga;-26.09029, 28.9688
Unit 4;Khanyisa Power Station;Acwa Power Co;https://www.gem.wiki/Khanyisa_power_station;;150;Cancelled;Africa;South Africa;Mpumalanga;-25.87658, 29.20097
Unit 1;Komati Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Komati_power_station;;100;Retired;Africa;South Africa;Mpumalanga;-26.09078, 29.47446
Unit 3;Komati Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Komati_power_station;;100;Retired;Africa;South Africa;Mpumalanga;-26.09078, 29.47446
Unit 6;Komati Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Komati_power_station;;125;Retired;Africa;South Africa;Mpumalanga;-26.09078, 29.47446
Unit 4;Kriel Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Kriel_power_station;;500;Operating;Africa;South Africa;Mpumalanga;-26.25394, 29.17847
Unit 1;Kusile Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Kusile_power_station;;800;Operating;Africa;South Africa;Mpumalanga;-25.92007, 28.92494
Unit 5;Lethabo Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Lethabo_power_station;;618;Operating;Africa;South Africa;Free State;-26.74203, 27.97689
Unit 1;Majuba Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Majuba_power_station;;665;Operating;Africa;South Africa;Mpumalanga;-27.10061, 29.77096
Unit 2;Matimba Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matimba_power_station;;665;Operating;Africa;South Africa;Limpopo;-23.66883, 27.61084
Unit 3;Matimba Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matimba_power_station;;665;Operating;Africa;South Africa;Limpopo;-23.66883, 27.61084
Unit 4;Matimba Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matimba_power_station;;665;Operating;Africa;South Africa;Limpopo;-23.66883, 27.61084
Unit 5;Matimba Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matimba_power_station;;665;Operating;Africa;South Africa;Limpopo;-23.66883, 27.61084
Unit 3;Matla Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matla_power_station;;600;Operating;Africa;South Africa;Mpumalanga;-26.28133, 29.14151
Unit 4;Matla Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matla_power_station;;600;Operating;Africa;South Africa;Mpumalanga;-26.28133, 29.14151
Unit 6;Matla Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Matla_power_station;;600;Operating;Africa;South Africa;Mpumalanga;-26.28133, 29.14151
Unit 2;Medupi Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Medupi_power_station;;794;Operating;Africa;South Africa;Limpopo;-23.70497, 27.56384
Unit 3;Medupi Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Medupi_power_station;;794;Operating;Africa;South Africa;Limpopo;-23.70497, 27.56384
Unit 5;Medupi West Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Medupi_West_power_station;;800;Cancelled;Africa;South Africa;Limpopo;-24.0, 29.0
;Namane Power Station;Namane Group;https://www.gem.wiki/Namane_power_station;;660;Cancelled;Africa;South Africa;Limpopo;-23.66667, 27.51667
Unit 3;Pretoria West Power Station;Tshwane Electricity Division;https://www.gem.wiki/Pretoria_West_power_station;;30;Mothballed;Africa;South Africa;Gauteng;-25.75839, 28.14667
Unit 2;Rooiwal Power Station;Tshwane Electricity Division;https://www.gem.wiki/Rooiwal_power_station;;60;Mothballed;Africa;South Africa;Gauteng;-25.55501, 28.23757
Unit 5;Rooiwal Power Station;Tshwane Electricity Division;https://www.gem.wiki/Rooiwal_power_station;;60;Mothballed;Africa;South Africa;Gauteng;-25.55501, 28.23757
Unit 1;Thabametsi Power Station;Thabametsi Power Project Pty Ltd;https://www.gem.wiki/Thabametsi_power_station;;315;Cancelled;Africa;South Africa;Limpopo;-23.67167, 27.52889
Unit 2;Thabametsi Power Station;Thabametsi Power Project Pty Ltd;https://www.gem.wiki/Thabametsi_power_station;;315;Cancelled;Africa;South Africa;Limpopo;-23.67167, 27.52889
Unit 2;Tutuka Power Station;Eskom Holdings Soc Ltd;https://www.gem.wiki/Tutuka_power_station;;609;Operating;Africa;South Africa;Mpumalanga;-26.77716, 29.35238
