sample,b_coal,se_coal,p_coal,b_res,se_res,p_res,b_ddd,se_ddd,p_ddd,N,r2
full,.1323839213556697,.1062368,.22304566,-.098542251,.047284998,.046403073,.22207735,.10008708,.034776092,464,.86094111
no2017,.1290480139853638,.10176934,.2152252,-.092378996,.046191186,.055293564,.21232383,.097853497,.038660925,435,.85825324
