province_id,pre_thermal_generation_share_0811,pre_thermal_capacity_share_0811,pre_thermal_generation_per_gdp_0811,pre_thermal_generation_share_0811_z,pre_thermal_capacity_share_0811_z,pre_thermal_generation_per_gdp_0811_z
1,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298
2,0.399246568775,0.330239176925,0.006861414657932193,-1.4597280445993577,-1.6429150572009903,-0.3739971044510693
3,0.904196605475,0.858765689175,0.02854354256998695,0.5903436642964791,0.6191106452579106,2.3889055306273197
4,0.984025261025,0.8169334544,0.0017367408620733557,0.914443983947462,0.44007404433223024,-1.02702224994998
5,0.7966887259,0.6688209039999999,0.007929135905078866,0.15386708962295115,-0.1938286797435372,-0.23793989368115265
6,0.307537483775,0.3198380566,0.0031713960276265633,-1.832062309264287,-1.687430518515046,-0.8442075117742129
7,0.9605038445333333,0.99587491885,0.007397924262206274,0.8189482180339511,1.2059205675243803,-0.30563094567706883
8,0.937410678975,0.916310698,0.038171944228314936,0.7251911293338785,0.8653959043572744,3.6158301397473145
9,0.9755434173249999,0.939169207925,0.01076269293724251,0.8800081258528972,0.9632273958185847,0.12313362375977968
10,0.9871288368000001,0.962871766875,0.009006573094483933,0.927044345231369,1.064671308879253,-0.10064460320905602
11,0.975294239125,0.9547347314,0.023343321383407747,0.8789964749148521,1.0298458404123778,1.726253558566863
12,0.91175977295,0.906862474925,0.010038941980105206,0.6210497432017678,0.8249587210885838,0.030907739163674054
13,0.780685399425,0.749353756425,0.005481309066985859,0.08889439040496325,0.1508416023624099,-0.5498607184551196
14,0.487144861025,0.4226715081,0.0057468315907775545,-1.1028654065062309,-1.2473165318480302,-0.516025806880372
15,0.808374069075,0.74611838085,0.010153407354031625,0.20130899418912349,0.13699460975535607,0.04549379291860573
16,0.940651055775,0.92733251315,0.0077202358958660035,0.7383468958870536,0.9125678599341367,-0.26455953121226533
17,0.81343289935,0.746989198,0.0057091791640632465,0.22184759023450765,0.1407215954973884,-0.5208237671824242
18,0.9592701951333332,0.89335726485,0.010620143558881667,0.8139396636229749,0.7671581536644337,0.10496889128059399
19,0.950713875175,0.92630298755,0.009890133826464432,0.7792014356717978,0.9081616223763925,0.01194546565053522
20,0.841746694925,0.766963151725,0.007626280827908341,0.3368001737794286,0.2262075562930565,-0.27653200485009816
21,0.892605869325,0.788598420125,0.006682643792263079,0.5432858594853692,0.3188037308767224,-0.39677745598463937
22,0.357424003325,0.350544790425,0.004538141585124822,-1.6295255532456017,-1.5560096350951829,-0.6700463354537768
23,0.6023736817,0.5690499486,0.004624455682265071,-0.6350421999587755,-0.6208355757891395,-0.6590475327808796
24,0.65354319475,0.6032727936,0.013792428142747394,-0.4272965549691409,-0.4743661873913639,0.5092056650664452
25,0.7190955089,0.63752334495,0.0066344808366009325,-0.16115746213962814,-0.32777821936821694,-0.402914748304464
26,0.1082258711025,0.27561648525,0.0004509933851029738,-2.6412574151100867,-1.8766931736105854,-1.1908620311087197
27,0.7052864552,0.559784724075,0.02175407166951904,-0.21722152444172185,-0.6604895487287015,1.5237392001924979
28,0.94136615565,0.867375596475,0.008388925752589916,0.7412501653517979,0.655959944502101,-0.17934995331998166
29,0.6510697082,0.583345005075,0.004295521780693498,-0.43733878574434537,-0.559654567050535,-0.7009628072919868
30,0.244901108575,0.187100338,0.009014401107041027,-2.086362836865981,-2.2555309339147027,-0.09964709795453731
31,0.935442237075,0.87180880035,0.00878983825918955,0.7171993543928011,0.6749334886423939,-0.12826261422610222
