province_id,province,year,dln_total_generation_billion_kwh,dln_thermal_generation_billion_kwh,dln_thermal_capacity_10k_kw,dln_total_capacity_10k_kw,dln_gdp,dln_sec_val,thermal_capacity_addition_10k_kw,total_capacity_addition_10k_kw,thermal_utilization_hours,thermal_utilization_hours_w,dln_thermal_utilization,thermal_capacity_addition_per_gdp,thermal_generation_per_gdp,pre_thermal_generation_share_0811,pre_thermal_capacity_share_0811,pre_thermal_generation_per_gdp_0811,pre_thermal_generation_share_0811_z,pre_thermal_capacity_share_0811_z,pre_thermal_generation_per_gdp_0811_z,national_mean_dln_thermal_capacity,national_mean_dln_total_generation,thermal_capacity_growth_coverage,national_thermal_capacity_wave_z,national_generation_demand_wave_z,post2016,post2012_prethermal_z,post2016_prethermal_z,post2016_natural_endowment,prethermal_x_natural_endowment,ddd_prethermal_natural_2016,thermal_tide_loading,demand_tide_loading,post2016_fiscal_lockin,fiscal_lockin_x_endowment,ddd_fiscal_endowment_2016,post2016_soe_lockin,soe_lockin_x_endowment,ddd_soe_endowment_2016,dln_totgen,dln_thermgen,dln_thermcap,dln_totcap,therm_cap_add,therm_util_h,therm_util_h_w,dln_therm_util,therm_cap_add_gdp,therm_gen_gdp,pretherm_gen,pretherm_gen_z,pretherm_cap,pretherm_cap_z,post12_pretherm_z,post16_pretherm_z,post16_endow,ddd_pretherm_endow,tide_loading,demand_loading,post16_fiscal,ddd_fiscal_endow,post16_soe,ddd_soe_endow
1,Shanghai,2000,,,,,,,,,5215.714380015654,5215.714380015654,,,0.011333811475409836,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,,,0,,,0,0.0,0.0,0.0,0.18933347805832623,0.0,,,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,,,,,,5215.714380015654,5215.714380015654,,,0.011333811475409836,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,,,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2001,0.038640586441236024,0.03512062184006304,0.05756958804139156,0.05756958804139156,0.09159615647696029,0.08558875709722535,62.83999999999992,62.83999999999992,5099.931450141106,5099.931450141106,-0.022448966201328524,0.01174996705839517,0.010711467423730532,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,0.06028087511627794,0.10333775942244862,31,-0.17101580089295476,0.42542944459551196,0,0.0,0.0,0.0,0.18933347805832623,0.0,-0.1603941455237023,0.39900636017388896,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.038640586441236024,0.03512062184006304,0.05756958804139156,0.05756958804139156,62.83999999999992,5099.931450141106,5099.931450141106,-0.022448966201328524,0.01174996705839517,0.010711467423730532,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,-0.1603941455237023,0.39900636017388896,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2002,0.057525572825844584,0.06366969428288538,0.013256706325571521,0.013256706325571521,0.09958293131154505,0.08779475830342864,14.990000000000009,14.990000000000009,5363.625182295785,5363.625182295785,0.05041298795731386,0.0025371946558589977,0.010333609615043591,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,0.03622957213462816,0.07192239437819348,31,-0.6943342770192986,-0.36377698131293934,0,0.0,0.0,0.0,0.18933347805832623,0.0,-0.651209727339972,-0.3411830823480618,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.057525572825844584,0.06366969428288538,0.013256706325571521,0.013256706325571521,14.990000000000009,5363.625182295785,5363.625182295785,0.05041298795731386,0.0025371946558589977,0.010333609615043591,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,-0.651209727339972,-0.3411830823480618,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2003,0.12156400638333142,0.11509318656859868,,-0.025807654273832803,0.16277699947242041,0.20645286875561553,,-29.0,,,,,0.00985242718446602,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,,0.174536334595533,0,,2.2140565371971155,0,0.0,0.0,0.0,0.18933347805832623,0.0,,2.0765432467095986,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.12156400638333142,0.11509318656859868,,-0.025807654273832803,,,,,,0.00985242718446602,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,,2.0765432467095986,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2004,0.024975268629823688,0.11402084372215793,,0.0801522688257581,0.1782861451068598,0.17837292471222277,,92.56999999999994,6389.732748503941,6389.732748503941,,,0.009239174465584785,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,,0.13859497572773094,0,,1.3111495891354643,0,0.0,0.0,0.0,0.18933347805832623,0.0,,1.2297151310291574,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.024975268629823688,0.11402084372215793,,0.0801522688257581,,6389.732748503941,6389.732748503941,,,0.009239174465584785,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,,1.2297151310291574,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2005,0.0402419846404225,-0.05210806789405442,,0.10634353250066475,0.12319454804015884,0.10825130514738035,,134.85000000000014,,,,,0.007753543170480127,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,,0.1204312655274813,1,,0.8548468599396662,0,0.0,0.0,0.0,0.18933347805832623,0.0,,0.801753001405213,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.0402419846404225,-0.05210806789405442,,0.10634353250066475,,,,,,0.007753543170480127,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,,0.801753001405213,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2006,-0.018189693858721157,-0.0247008460134035,,0.10050089486304792,0.14131322443401828,0.133102617536057,,141.31999999999994,4894.396254991051,4894.396254991051,,,0.006567517135625474,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,,0.1288484193955256,1,,1.0662998196987796,0,0.0,0.0,0.0,0.18933347805832623,0.0,,1.000072786021197,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,-0.018189693858721157,-0.0247008460134035,,0.10050089486304792,,4894.396254991051,4894.396254991051,,,0.006567517135625474,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,,1.000072786021197,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2007,0.025208886216027793,0.03495356553557638,-0.026225523094729475,-0.024658783663252137,0.1967901297453789,0.14133425134121147,-37.59999999999991,-36.0,5203.180212014135,5203.180212014135,0.061179088630305856,-0.0028528505743637923,0.00558620009408337,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,0.07460781837107273,0.1340029619229762,31,0.1407159218069819,1.1957905348170592,0,0.0,0.0,0.0,0.18933347805832623,0.0,0.13197616782754704,1.1215209358190632,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.025208886216027793,0.03495356553557638,-0.026225523094729475,-0.024658783663252137,-37.59999999999991,5203.180212014135,5203.180212014135,0.061179088630305856,-0.0028528505743637923,0.00558620009408337,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,0.13197616782754704,1.1215209358190632,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2008,0.045593448757045074,0.03850215807124879,0.17047307694981306,0.15395252268799897,0.12113776348542338,0.09053517725205573,263.0,240.0,4559.892729439809,4559.892729439809,-0.13197091887856427,0.01767817652633914,0.005143139455942354,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,0.23086049090782326,0.08538316258007597,31,3.540528004544794,-0.02562000788211561,0,0.0,0.0,0.0,0.18933347805832623,0.0,3.320628626282074,-0.024028769570448152,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.045593448757045074,0.03850215807124879,0.17047307694981306,0.15395252268799897,263.0,4559.892729439809,4559.892729439809,-0.13197091887856427,0.01767817652633914,0.005143139455942354,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,3.320628626282074,-0.024028769570448152,-0.0,-0.0,-0.0,-0.0
1,Shanghai,2009,0.005902763591470794,0.0034206970096555267,-0.014406011443514721,-0.014371504837653148,0.08403931652533636,-0.004951535562847553,-24.0,-24.0,4641.909480048368,4641.909480048368,0.017826708453170248,-0.0014831843969001447,0.00474477998195459,0.9898004093999999,0.993859313875,0.004811060703326472,0.937890795389714,1.197294036681028,-0.6352688932257298,0.10001935023920526,0.053951541707971624,31,0.6936308363716208,-0.8152348073294063,0,0.0,0.0,0.0,0.18933347805832623,0.0,0.650549976831412,-0.7646012218755571,-0.0,-0.18257751371823305,-0.0,-0.0,-0.0652149401841796,-0.0,0.005902763591470794,0.0034206970096555267,-0.014406011443514721,-0.014371504837653148,-24.0,4641.909480048368,4641.909480048368,0.017826708453170248,-0.0014831843969001447,0.00474477998195459,0.9898004093999999,0.937890795389714,0.993859313875,1.197294036681028,0.0,0.0,0.0,0.0,0.650549976831412,-0.7646012218755571,-0.0,-0.0,-0.0,-0.0
