specification,period,units,retirement_events,risk_intervals,period_units,period_retirement_events,period_risk_intervals,coef,hazard_ratio,clustered_se_coef,p_value,ci95_lower_hr,ci95_upper_hr
original_start_of_year,pre_2000_2011,4323,952,12344,2852,443,2852,0.23364844953868547,1.2632003354799302,0.12563995506015835,0.06293268607152144,0.9874777269994861,1.6159099531339998
original_start_of_year,early_2012_2015,4323,952,12344,2904,135,2904,0.013667692087684537,1.0137615219832288,0.24146009848428657,0.9548603687695593,0.6315454270369867,1.6272977041025496
original_start_of_year,supply_2016_2020,4323,952,12344,3219,253,3219,0.08033252210090239,1.0836473444632597,0.2187436537462832,0.7134362450041362,0.7058184968976723,1.663730225721926
original_start_of_year,carbon_2021_2025,4323,952,12344,3369,121,3369,0.1166484721354639,1.1237243398345493,0.2303682411938594,0.6126063579285813,0.7154346751128458,1.7650198346025354
end_of_reported_year,pre_2000_2011,4326,1078,12470,2855,446,2855,0.2618696338355088,1.2993571391808565,0.12392760315655167,0.034593441846770684,1.0191571834130735,1.6565933131984463
end_of_reported_year,early_2012_2015,4326,1078,12470,2934,165,2934,0.11052415432780145,1.1168633258091951,0.18142166511752614,0.5423842967300614,0.7826608838649054,1.5937728769295267
end_of_reported_year,supply_2016_2020,4326,1078,12470,3293,327,3293,0.11942090373587241,1.1268441113827565,0.21208948236263292,0.5733882497213847,0.7435889798852049,1.7076337677220852
end_of_reported_year,carbon_2021_2025,4326,1078,12470,3388,140,3388,0.10432059010124178,1.1099562388651207,0.21186117739624777,0.6224361110507728,0.7327727244492068,1.681289178881007
