,coalexp_pre,wind_resource_cf_0110,solar_resource_cf_0110,natural_wind_solar_endowment,pre_nontherm_cap,early_wind_cap,early_wind_gen,resdep_pre
coalexp_pre,1.0,-0.05879503573909776,-0.20113785665237813,-0.17900589172000234,0.1672770768128398,0.17454456170964883,0.10376834124268701,0.3734338436970558
wind_resource_cf_0110,-0.05879503573909776,1.0,0.29462607032155735,0.8045576642856487,-0.015026655150276864,0.10900034052825155,0.2008888067510886,0.044721580730735545
solar_resource_cf_0110,-0.20113785665237813,0.29462607032155735,1.0,0.8045576642856487,0.5009986287357407,0.06325307085612998,0.05741724537270096,0.1267469554715804
natural_wind_solar_endowment,-0.17900589172000234,0.8045576642856487,0.8045576642856487,1.0,0.3020118974423972,0.10704851810548714,0.16052674879005363,0.10511535742691402
pre_nontherm_cap,0.1672770768128398,-0.015026655150276864,0.5009986287357407,0.3020118974423972,1.0,-0.2358562580497924,-0.22427135246292,-0.26108449182075016
early_wind_cap,0.17454456170964883,0.10900034052825155,0.06325307085612998,0.10704851810548714,-0.2358562580497924,1.0,0.9487688108445823,0.4270426740211204
early_wind_gen,0.10376834124268701,0.2008888067510886,0.05741724537270096,0.16052674879005363,-0.22427135246292,0.9487688108445823,1.0,0.3054268444829283
resdep_pre,0.3734338436970558,0.044721580730735545,0.1267469554715804,0.10511535742691402,-0.26108449182075016,0.4270426740211204,0.3054268444829283,1.0
