province,year,wind_resource_cf_0110,wind_technical_capacity_gw_lower,wind_technical_output_twh_lower,solar_resource_cf_0110,solar_technical_capacity_gw_lower,solar_technical_output_twh_lower,wind_resource_cf_z,solar_resource_cf_z,natural_wind_solar_endowment,clean_generation_billion_kwh,clean_generation_component_n,clean_generation_share_recalc,clean_generation_lq,clean_generation_kwh_per_cny_gdp,clean_capacity_10k_kw,clean_capacity_component_n,clean_capacity_share_recalc,clean_capacity_lq,clean_capacity_addition_10k_kw,clean_capacity_addition_component_n,clean_capacity_addition_per_gdp,clean_capacity_addition_data_break_flag,pre_clean_generation_lq_0811,pre_clean_generation_lq_0811_n,early_clean_generation_lq_1316,early_clean_generation_lq_1316_n
Shanghai,2015,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,0.48,1,0.00605527763800564,0.20881448725609913,0.0001725278201109929,82.22,2,0.03507679180887372,0.47705162475709717,36.949999999999996,2,0.0013281047818960807,0,,0,0.33590656190155854,4
Shanghai,2016,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,0.24000000000000002,2,0.002972911572974946,0.8043951088295349,7.750961603673957e-05,106.3,2,0.04483340362716153,0.4008615849098586,24.08,2,0.0007776798142352868,0,,0,0.33590656190155854,4
Shanghai,2017,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,1.5550000000000002,2,0.01825117370892019,0.29868541797308856,0.0004523202004659858,128.81,2,0.053670833333333334,0.4034313193963595,22.51,2,0.0006547734863337197,0,,0,0.33590656190155854,4
Shanghai,2018,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,2.379,2,0.028054245283018867,0.3698995780936415,0.0006298799479002704,159.59,2,0.06320396039603961,0.42054232095572336,30.78,2,0.0008149518619743727,0,,0,0.33590656190155854,4
Shanghai,2019,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,2.468,2,0.03002433090024331,0.3573431610935916,0.0006133018054457075,189.57999999999998,2,0.07116366366366365,0.43925378933131176,29.99,2,0.0007452561242024622,0,,0,0.33590656190155854,4
Shanghai,2020,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,2.876,2,0.03336426914153132,0.3568398014823679,0.000691281379451512,218.64,2,0.08191832146871487,0.4259103058364534,29.06,2,0.0006984922422413399,0,,0,0.33590656190155854,4
Shanghai,2021,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,3.3689999999999998,2,0.03358722309732219,0.29193740927840756,0.0007159037606048424,251.2,2,0.0901651112706389,0.4915094029764033,32.56,2,0.0006918915537338578,0,,0,0.33590656190155854,4
Shanghai,2022,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,4.2379999999999995,2,0.0443783574353121,0.3300074275211357,0.0008721151570650999,277.9,2,0.09819787985865723,0.4810205286485313,26.7,2,0.0005494448960273281,0,,0,0.33590656190155854,4
Shanghai,2023,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,4.751,2,0.04719690620196931,0.3036128182386793,0.0009242381503564863,356.6,2,0.12071767095463778,0.5069340869839712,78.7,2,0.001530994368197337,0,,0,0.33590656190155854,4
Yunnan,2000,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2001,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2002,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2003,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2004,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2005,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2006,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2007,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2008,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2009,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2010,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2011,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2012,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,,0,,,,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2013,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,4.14,1,0.01898636911693709,0.8273991373437612,0.003178014892147079,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2014,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,5.85,1,0.02315579151098637,0.9502492160669933,0.00409804484732156,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2015,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,9.16,1,0.03587411003573423,1.237108245188236,0.005964085268188506,,0,,,,0,,0,,0,0.8489038136471154,4
Yunnan,2016,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,0.379,2,0.0014075907394642392,0.38085865598947105,0.00022595030285687035,737.0,1,0.08525159051474841,0.7622461139471585,,0,,0,,0,0.8489038136471154,4
Yunnan,2017,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,21.946,2,0.07439322033898306,1.2174652691214707,0.011633429810332581,825.0,1,0.09210673216478732,0.6923451374743064,88.0,1,0.004664821941626115,0,,0,0.8489038136471154,4
Yunnan,2018,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,25.508,2,0.07867982726711906,1.037405733677115,0.01190432854976082,1180.0,2,0.1263248046247725,0.8405316090684241,32.0,1,0.0014934080037335201,0,,0,0.8489038136471154,4
