province,province_cn,year,wind_utilization_rate,wind_curtailment_rate,solar_utilization_rate,solar_curtailment_rate,aggregation_method,source_report_year,source_url
Anhui,安徽,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Fujian,福建,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Jiangxi,江西,2021,0.9990000000000001,0.0009999999999998899,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Shandong,山东,2021,0.985,0.015000000000000013,0.991,0.009000000000000008,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Henan,河南,2021,0.983,0.017000000000000015,0.9990000000000001,0.0009999999999998899,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Hubei,湖北,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Hunan,湖南,2021,0.99,0.010000000000000009,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Guangdong,广东,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Guangxi,广西,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Hainan,海南,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Chongqing,重庆,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Sichuan,四川,2021,1.0,0.0,1.0,0.0,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Guizhou,贵州,2021,0.995,0.0050000000000000044,0.996,0.0040000000000000036,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Yunnan,云南,2021,0.9990000000000001,0.0009999999999998899,0.998,0.0020000000000000018,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Xizang,西藏,2021,1.0,0.0,0.802,0.19799999999999995,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Shaanxi,陕西,2021,0.977,0.02300000000000002,0.98,0.020000000000000018,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Gansu,甘肃,2021,0.9590000000000001,0.040999999999999925,0.985,0.015000000000000013,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Qinghai,青海,2021,0.893,0.10699999999999998,0.862,0.138,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Ningxia,宁夏,2021,0.976,0.02400000000000002,0.975,0.025000000000000022,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Xinjiang,新疆,2021,0.927,0.07299999999999995,0.983,0.017000000000000015,direct province value,2021,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm
Beijing,北京,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Tianjin,天津,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Hebei,河北,2022,0.956,0.04400000000000004,0.98,0.020000000000000018,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Shanxi,山西,2022,0.983,0.017000000000000015,0.995,0.0050000000000000044,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Neimenggu,内蒙古,2022,0.9145000000000001,0.08549999999999991,0.98,0.020000000000000018,unweighted mean of Mengxi and Mengdong,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Liaoning,辽宁,2022,0.985,0.015000000000000013,0.993,0.007000000000000006,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Jilin,吉林,2022,0.9520000000000001,0.04799999999999993,0.982,0.018000000000000016,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Heilongjiang,黑龙江,2022,0.982,0.018000000000000016,0.9890000000000001,0.010999999999999899,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Shanghai,上海,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Jiangsu,江苏,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Zhejiang,浙江,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Anhui,安徽,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Fujian,福建,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Jiangxi,江西,2022,0.9990000000000001,0.0009999999999998899,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Shandong,山东,2022,0.9790000000000001,0.020999999999999908,0.985,0.015000000000000013,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Henan,河南,2022,0.982,0.018000000000000016,0.995,0.0050000000000000044,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Hubei,湖北,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Hunan,湖南,2022,0.9740000000000001,0.025999999999999912,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Guangdong,广东,2022,0.9990000000000001,0.0009999999999998899,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Guangxi,广西,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Hainan,海南,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Chongqing,重庆,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Sichuan,四川,2022,1.0,0.0,1.0,0.0,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Guizhou,贵州,2022,0.997,0.0030000000000000027,0.9940000000000001,0.005999999999999894,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Yunnan,云南,2022,0.9990000000000001,0.0009999999999998899,0.995,0.0050000000000000044,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Xizang,西藏,2022,1.0,0.0,0.8,0.19999999999999996,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Shaanxi,陕西,2022,0.958,0.04200000000000004,0.978,0.02200000000000002,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Gansu,甘肃,2022,0.938,0.062000000000000055,0.982,0.018000000000000016,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Qinghai,青海,2022,0.927,0.07299999999999995,0.9109999999999999,0.08900000000000008,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Ningxia,宁夏,2022,0.985,0.015000000000000013,0.9740000000000001,0.025999999999999912,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Xinjiang,新疆,2022,0.9540000000000001,0.04599999999999993,0.972,0.028000000000000025,direct province value,2022,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm
Beijing,北京,2023,0.9990000000000001,0.0009999999999998899,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Tianjin,天津,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Hebei,河北,2023,0.943,0.05700000000000005,0.975,0.025000000000000022,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Shanxi,山西,2023,0.9890000000000001,0.010999999999999899,0.9890000000000001,0.010999999999999899,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Neimenggu,内蒙古,2023,0.9495,0.05049999999999999,0.9764999999999999,0.023500000000000076,unweighted mean of Mengxi and Mengdong,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Liaoning,辽宁,2023,0.98,0.020000000000000018,0.993,0.007000000000000006,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Jilin,吉林,2023,0.96,0.040000000000000036,0.971,0.029000000000000026,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Heilongjiang,黑龙江,2023,0.986,0.014000000000000012,0.991,0.009000000000000008,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Shanghai,上海,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Jiangsu,江苏,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Zhejiang,浙江,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Anhui,安徽,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Fujian,福建,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Jiangxi,江西,2023,1.0,0.0,0.9990000000000001,0.0009999999999998899,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Shandong,山东,2023,0.976,0.02400000000000002,0.993,0.007000000000000006,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Henan,河南,2023,0.968,0.03200000000000003,0.977,0.02300000000000002,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Hubei,湖北,2023,0.99,0.010000000000000009,0.983,0.017000000000000015,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Hunan,湖南,2023,0.997,0.0030000000000000027,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Guangdong,广东,2023,0.996,0.0040000000000000036,0.9990000000000001,0.0009999999999998899,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Guangxi,广西,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Hainan,海南,2023,0.9990000000000001,0.0009999999999998899,0.998,0.0020000000000000018,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Chongqing,重庆,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Sichuan,四川,2023,1.0,0.0,1.0,0.0,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Guizhou,贵州,2023,0.997,0.0030000000000000027,0.9940000000000001,0.005999999999999894,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Yunnan,云南,2023,1.0,0.0,0.9940000000000001,0.005999999999999894,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Xizang,西藏,2023,1.0,0.0,0.78,0.21999999999999997,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Shaanxi,陕西,2023,0.968,0.03200000000000003,0.965,0.03500000000000003,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Gansu,甘肃,2023,0.95,0.050000000000000044,0.95,0.050000000000000044,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Qinghai,青海,2023,0.9420000000000001,0.05799999999999994,0.914,0.08599999999999997,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Ningxia,宁夏,2023,0.978,0.02200000000000002,0.9640000000000001,0.03599999999999992,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
Xinjiang,新疆,2023,0.958,0.04200000000000004,0.9690000000000001,0.030999999999999917,direct province value,2023,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm
