region_cn,year,wind_utilization_rate,wind_curtailment_rate,solar_utilization_rate,solar_curtailment_rate,wind_source_report_year,solar_source_report_year
新疆,2022,0.9540000000000001,0.04599999999999993,0.972,0.028000000000000025,2022,2022
江苏,2022,1.0,0.0,1.0,0.0,2022,2022
江西,2022,0.9990000000000001,0.0009999999999998899,1.0,0.0,2022,2022
河北,2022,0.956,0.04400000000000004,0.98,0.020000000000000018,2022,2022
河南,2022,0.982,0.018000000000000016,0.995,0.0050000000000000044,2022,2022
浙江,2022,1.0,0.0,1.0,0.0,2022,2022
海南,2022,1.0,0.0,1.0,0.0,2022,2022
湖北,2022,1.0,0.0,1.0,0.0,2022,2022
湖南,2022,0.9740000000000001,0.025999999999999912,1.0,0.0,2022,2022
甘肃,2022,0.938,0.062000000000000055,0.982,0.018000000000000016,2022,2022
福建,2022,1.0,0.0,1.0,0.0,2022,2022
蒙东,2022,0.9,0.09999999999999998,0.986,0.014000000000000012,2022,2022
蒙西,2022,0.929,0.07099999999999995,0.9740000000000001,0.025999999999999912,2022,2022
西藏,2022,1.0,0.0,0.8,0.19999999999999996,2022,2022
贵州,2022,0.997,0.0030000000000000027,0.9940000000000001,0.005999999999999894,2022,2022
辽宁,2022,0.985,0.015000000000000013,0.993,0.007000000000000006,2022,2022
重庆,2022,1.0,0.0,1.0,0.0,2022,2022
陕西,2022,0.958,0.04200000000000004,0.978,0.02200000000000002,2022,2022
青海,2022,0.927,0.07299999999999995,0.9109999999999999,0.08900000000000008,2022,2022
黑龙江,2022,0.982,0.018000000000000016,0.9890000000000001,0.010999999999999899,2022,2022
上海,2023,1.0,0.0,1.0,0.0,2023,2023
云南,2023,1.0,0.0,0.9940000000000001,0.005999999999999894,2023,2023
北京,2023,0.9990000000000001,0.0009999999999998899,1.0,0.0,2023,2023
吉林,2023,0.96,0.040000000000000036,0.971,0.029000000000000026,2023,2023
四川,2023,1.0,0.0,1.0,0.0,2023,2023
天津,2023,1.0,0.0,1.0,0.0,2023,2023
宁夏,2023,0.978,0.02200000000000002,0.9640000000000001,0.03599999999999992,2023,2023
安徽,2023,1.0,0.0,1.0,0.0,2023,2023
