endogenous,b_z1,se_z1,p_z1,b_z2,se_z2,p_z2,joint_f,joint_p,N,r2
gc_proxy_z_full,-.4958873433249621,.14929298,.0024277559,.016449243,.087910905,.85287523,6.5584531,.0044684024,480,.81411785
gc_proxy_z_x_resdep,.3987925526484506,.28550369,.17307127,.4262678,.22695757,.070444614,1.9604592,.15901123,480,.76677209
