specification,instrument,b,se,fstat,pvalue,n,r2
policy_network,z_iv_network_post2012,.0611274501348183,.025383141,5.7993836,.022384087,558,.791789
national_level,z_iv_network_national_level,-.4603200279301377,.21357255,4.6454616,.039283428,558,.79414243
national_change,z_iv_network_national_change,-.0096883051905657,.0037725852,6.5950413,.015448474,527,.78247178
national_dev2011,z_iv_network_national_dev2011,-.0620744012755269,.028800372,4.6454616,.039283428,558,.79414243
