province,province_cn,year,source_file,content_chars,gwr_green_finance_count,gwr_green_finance_per10k,gwr_green_finance_mention,gwr_fossil_security_count,gwr_fossil_security_per10k,gwr_fossil_security_mention,gwr_coal_retrofit_count,gwr_coal_retrofit_per10k,gwr_coal_retrofit_mention,gwr_pollution_control_count,gwr_pollution_control_per10k,gwr_pollution_control_mention,gwr_renewable_count,gwr_renewable_per10k,gwr_renewable_mention,gwr_grid_absorption_count,gwr_grid_absorption_per10k,gwr_grid_absorption_mention,gwr_green_finance_per10k_lag1,gwr_green_finance_per10k_change,gwr_green_finance_per10k_roll3,gwr_fossil_security_per10k_lag1,gwr_fossil_security_per10k_change,gwr_fossil_security_per10k_roll3,gwr_coal_retrofit_per10k_lag1,gwr_coal_retrofit_per10k_change,gwr_coal_retrofit_per10k_roll3,gwr_pollution_control_per10k_lag1,gwr_pollution_control_per10k_change,gwr_pollution_control_per10k_roll3,gwr_renewable_per10k_lag1,gwr_renewable_per10k_change,gwr_renewable_per10k_roll3,gwr_grid_absorption_per10k_lag1,gwr_grid_absorption_per10k_change,gwr_grid_absorption_per10k_roll3,gwr_gf_chg,gwr_fs_chg,gwr_cr_chg,gwr_pc_chg,gwr_re_chg,gwr_ga_chg
Anhui,安徽,2003,2003P13.txt,13395,0,0.0,0,3,2.2396416573348263,1,0,0.0,0,1,0.7465472191116088,1,0,0.0,0,2,1.4930944382232176,1,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,安徽,2004,2004P13.txt,15543,0,0.0,0,8,5.147011516438268,1,0,0.0,0,2,1.286752879109567,1,0,0.0,0,2,1.286752879109567,1,0.0,0.0,0.0,2.2396416573348263,2.907369859103442,3.6933265868865472,0.0,0.0,0.0,0.7465472191116088,0.5402056599979582,1.0166500491105879,0.0,0.0,0.0,1.4930944382232176,-0.2063415591136506,1.3899236586663923,0.0,2.907369859103442,0.0,0.5402056599979582,0.0,-0.2063415591136506
Anhui,安徽,2005,2005P13.txt,14129,0,0.0,0,8,5.662113383820511,1,1,0.7077641729775639,1,3,2.1232925189326917,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,5.147011516438268,0.515101867382243,4.349588852531202,0.0,0.7077641729775639,0.2359213909925213,1.286752879109567,0.8365396398231246,1.3855308723846225,0.0,0.0,0.0,1.286752879109567,-1.286752879109567,0.9266157724442615,0.0,0.515101867382243,0.7077641729775639,0.8365396398231246,0.0,-1.286752879109567
Anhui,安徽,2006,2006P13.txt,14106,0,0.0,0,13,9.2159364809301,1,1,0.708918190840777,1,3,2.126754572522331,1,0,0.0,0,2,1.417836381681554,1,0.0,0.0,0.0,5.662113383820511,3.553823097109589,6.6750204603962935,0.7077641729775639,0.0011540178632131193,0.47222745460611365,2.1232925189326917,0.003462053589639247,1.8455999901881963,0.0,0.0,0.0,0.0,1.417836381681554,0.9015297535970404,0.0,3.553823097109589,0.0011540178632131193,0.003462053589639247,0.0,1.417836381681554
Anhui,安徽,2007,2007P13.txt,14202,0,0.0,0,11,7.745387973524855,1,0,0.0,0,7,4.9288832558794535,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,9.2159364809301,-1.470548507405245,7.541145946091823,0.708918190840777,-0.708918190840777,0.47222745460611365,2.126754572522331,2.8021286833571226,3.059643449111492,0.0,0.0,0.0,1.417836381681554,-1.417836381681554,0.47261212722718465,0.0,-1.470548507405245,-0.708918190840777,2.8021286833571226,0.0,-1.417836381681554
Anhui,安徽,2008,2008P13.txt,23216,0,0.0,0,3,1.292212267401792,1,0,0.0,0,9,3.8766368022053754,1,3,1.292212267401792,1,0,0.0,0,0.0,0.0,0.0,7.745387973524855,-6.453175706123064,6.084512240618916,0.0,0.0,0.23630606361359233,4.9288832558794535,-1.052246453674078,3.6440915435357195,0.0,1.292212267401792,0.430737422467264,0.0,0.0,0.47261212722718465,0.0,-6.453175706123064,0.0,-1.052246453674078,1.292212267401792,0.0
Anhui,安徽,2009,2009P13.txt,20968,0,0.0,0,7,3.338420450209844,1,0,0.0,0,4,1.9076688286913392,1,3,1.4307516215185043,1,1,0.4769172071728348,1,0.0,0.0,0.0,1.292212267401792,2.046208182808052,4.12534023037883,0.0,0.0,0.0,3.8766368022053754,-1.9689679735140362,3.5710629622587224,1.292212267401792,0.13853935411671237,0.9076546296400988,0.0,0.4769172071728348,0.15897240239094493,0.0,2.046208182808052,0.0,-1.9689679735140362,0.13853935411671237,0.4769172071728348
Anhui,安徽,2010,2010P13.txt,22147,0,0.0,0,12,5.418341084571273,1,0,0.0,0,7,3.16069896599991,1,8,3.6122273897141826,1,1,0.4515284237142728,1,0.0,0.0,0.0,3.338420450209844,2.0799206343614296,3.34965793406097,0.0,0.0,0.0,1.9076688286913392,1.2530301373085706,2.9816681989655414,1.4307516215185043,2.1814757681956785,2.111730426211493,0.4769172071728348,-0.025388783458561992,0.30948187696236923,0.0,2.0799206343614296,0.0,1.2530301373085706,2.1814757681956785,-0.025388783458561992
Anhui,安徽,2011,2011P13.txt,23793,0,0.0,0,13,5.463791871558862,1,0,0.0,0,6,2.5217500945656286,1,6,2.5217500945656286,1,1,0.4202916824276048,1,0.0,0.0,0.0,5.418341084571273,0.04545078698758864,4.740184468779993,0.0,0.0,0.0,3.16069896599991,-0.6389488714342813,2.530039296418959,3.6122273897141826,-1.090477295148554,2.5215763685994386,0.4515284237142728,-0.031236741286668035,0.4495791044382375,0.0,0.04545078698758864,0.0,-0.6389488714342813,-1.090477295148554,-0.031236741286668035
Anhui,安徽,2012,2012P13.txt,15476,0,0.0,0,4,2.5846471956577926,1,0,0.0,0,7,4.523132592401137,1,1,0.6461617989144481,1,1,0.6461617989144481,1,0.0,0.0,0.0,5.463791871558862,-2.8791446759010695,4.488926717262642,0.0,0.0,0.0,2.5217500945656286,2.001382497835509,3.4018605509888924,2.5217500945656286,-1.8755882956511805,2.2600464277314196,0.4202916824276048,0.22587011648684335,0.5059939683521085,0.0,-2.8791446759010695,0.0,2.001382497835509,-1.8755882956511805,0.22587011648684335
Anhui,安徽,2013,2013P13.txt,14038,0,0.0,0,2,1.4247043738424277,1,0,0.0,0,3,2.1370565607636416,1,1,0.7123521869212138,1,2,1.4247043738424277,1,0.0,0.0,0.0,2.5846471956577926,-1.159942821815365,3.1577144803530275,0.0,0.0,0.0,4.523132592401137,-2.386076031637496,3.0606464159101363,0.6461617989144481,0.06619038800676569,1.2934213601337634,0.6461617989144481,0.7785425749279795,0.8303859517281603,0.0,-1.159942821815365,0.0,-2.386076031637496,0.06619038800676569,0.7785425749279795
Anhui,安徽,2014,2014P13.txt,14568,0,0.0,0,0,0.0,0,0,0.0,0,6,4.118616144975288,1,3,2.059308072487644,1,1,0.686436024162548,1,0.0,0.0,0.0,1.4247043738424277,-1.4247043738424277,1.3364505231667403,0.0,0.0,0.0,2.1370565607636416,1.9815595842116465,3.5929350993800226,0.7123521869212138,1.3469558855664303,1.139274019441102,1.4247043738424277,-0.7382683496798796,0.9191007323064747,0.0,-1.4247043738424277,0.0,1.9815595842116465,1.3469558855664303,-0.7382683496798796
Anhui,安徽,2015,2015P13.txt,14743,0,0.0,0,2,1.3565760021705215,1,0,0.0,0,5,3.391440005426304,1,6,4.069728006511565,1,3,2.0348640032557825,1,0.0,0.0,0.0,0.0,1.3565760021705215,0.9270934586709835,0.0,0.0,0.0,4.118616144975288,-0.727176139548984,3.2157042370550784,2.059308072487644,2.010419934023921,2.2804627553068078,0.686436024162548,1.3484279790932345,1.3820014670869194,0.0,1.3565760021705215,0.0,-0.727176139548984,2.010419934023921,1.3484279790932345
Anhui,安徽,2016,2016P13.txt,17602,0,0.0,0,6,3.4087035564140438,1,0,0.0,0,11,6.249289853425747,1,3,1.7043517782070219,1,2,1.1362345188046812,1,0.0,0.0,0.0,1.3565760021705215,2.0521275542435222,1.5884265195281888,0.0,0.0,0.0,3.391440005426304,2.857849847999443,4.586448667942447,4.069728006511565,-2.365376228304543,2.6111292857354105,2.0348640032557825,-0.8986294844511014,1.285844848741004,0.0,2.0521275542435222,0.0,2.857849847999443,-2.365376228304543,-0.8986294844511014
Anhui,安徽,2017,2017P13.txt,17136,1,0.5835667600373483,1,3,1.7507002801120448,1,0,0.0,0,5,2.917833800186741,1,5,2.917833800186741,1,2,1.1671335200746966,1,0.0,0.5835667600373483,0.19452225334578277,3.4087035564140438,-1.658003276301999,2.171993279565537,0.0,0.0,0.0,6.249289853425747,-3.331456053239006,4.186187886346265,1.7043517782070219,1.2134820219797193,2.897304528301776,1.1362345188046812,0.030899001270015436,1.446077347378387,0.5835667600373483,-1.658003276301999,0.0,-3.331456053239006,1.2134820219797193,0.030899001270015436
Anhui,安徽,2018,2018P13.txt,19009,0,0.0,0,4,2.104266400126256,1,1,0.526066600031564,1,10,5.26066600031564,1,8,4.208532800252512,1,5,2.63033300015782,1,0.5835667600373483,-0.5835667600373483,0.19452225334578277,1.7507002801120448,0.3535661200142113,2.421223412217449,0.0,0.526066600031564,0.17535553334385467,2.917833800186741,2.3428322001288984,4.809263217976043,2.917833800186741,1.290699000065771,2.9435727928820916,1.1671335200746966,1.4631994800831232,1.6445670130123993,-0.5835667600373483,0.3535661200142113,0.526066600031564,2.3428322001288984,1.290699000065771,1.4631994800831232
Anhui,安徽,2019,2019P13.txt,19023,0,0.0,0,5,2.6283972033853757,1,0,0.0,0,9,4.731114966093676,1,4,2.1027177627083007,1,2,1.0513588813541503,1,0.0,0.0,0.19452225334578277,2.104266400126256,0.5241308032591196,2.161121294541226,0.526066600031564,-0.526066600031564,0.17535553334385467,5.26066600031564,-0.5295510342219636,4.303204922198686,4.208532800252512,-2.1058150375442115,3.076361454382518,2.63033300015782,-1.5789741188036694,1.6162751338622223,0.0,0.5241308032591196,-0.526066600031564,-0.5295510342219636,-2.1058150375442115,-1.5789741188036694
Anhui,安徽,2020,2020P13.txt,19073,0,0.0,0,6,3.1458082105594296,1,0,0.0,0,7,3.670109578986001,1,3,1.5729041052797148,1,1,0.5243013684265716,1,0.0,0.0,0.0,2.6283972033853757,0.5174110071740539,2.626157271357021,0.0,0.0,0.17535553334385467,4.731114966093676,-1.061005387107675,4.553963515131772,2.1027177627083007,-0.5298136574285859,2.628051556080176,1.0513588813541503,-0.5270575129275787,1.401997749979514,0.0,0.5174110071740539,0.0,-1.061005387107675,-0.5298136574285859,-0.5270575129275787
Anhui,安徽,2021,2021P13.txt,19560,0,0.0,0,1,0.5112474437627812,1,0,0.0,0,9,4.601226993865031,1,9,4.601226993865031,1,3,1.5337423312883436,1,0.0,0.0,0.0,3.1458082105594296,-2.6345607667966484,2.095150952569196,0.0,0.0,0.0,3.670109578986001,0.9311174148790298,4.33415051298157,1.5729041052797148,3.0283228885853157,2.7589496206176825,0.5243013684265716,1.009440962861772,1.036467527023022,0.0,-2.6345607667966484,0.0,0.9311174148790298,3.0283228885853157,1.009440962861772
Anhui,安徽,2022,2022P13.txt,18864,1,0.5301102629346904,1,7,3.710771840542833,1,1,0.5301102629346904,1,7,3.710771840542833,1,7,3.710771840542833,1,2,1.0602205258693809,1,0.0,0.5301102629346904,0.17670342097823014,0.5112474437627812,3.1995243967800517,2.455942498288348,0.0,0.5301102629346904,0.17670342097823014,4.601226993865031,-0.8904551533221978,3.9940361377979556,4.601226993865031,-0.8904551533221978,3.294967646562526,1.5337423312883436,-0.4735218054189627,1.0394214085280986,0.5301102629346904,3.1995243967800517,0.5301102629346904,-0.8904551533221978,-0.8904551533221978,-0.4735218054189627
Anhui,安徽,2023,2023P13.txt,20090,0,0.0,0,3,1.4932802389248383,1,0,0.0,0,6,2.9865604778496766,1,11,5.47536087605774,1,0,0.0,0,0.5301102629346904,-0.5301102629346904,0.17670342097823014,3.710771840542833,-2.2174916016179944,1.9050998410768178,0.5301102629346904,-0.5301102629346904,0.17670342097823014,3.710771840542833,-0.7242113626931563,3.766186437419181,3.710771840542833,1.7645890355149074,4.595786570155202,1.0602205258693809,-1.0602205258693809,0.8646542857192415,-0.5301102629346904,-2.2174916016179944,-0.5301102629346904,-0.7242113626931563,1.7645890355149074,-1.0602205258693809
Beijing,北京,2003,2003P1.txt,16528,0,0.0,0,0,0.0,0,0,0.0,0,3,1.8151016456921587,1,1,0.6050338818973863,1,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,北京,2004,2004P1.txt,15068,0,0.0,0,0,0.0,0,0,0.0,0,4,2.654632333421821,1,1,0.6636580833554553,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8151016456921587,0.8395306877296624,2.23486698955699,0.6050338818973863,0.058624201458069014,0.6343459826264208,0.0,0.0,0.0,0.0,0.0,0.0,0.8395306877296624,0.058624201458069014,0.0
Beijing,北京,2005,2005P1.txt,16042,0,0.0,0,1,0.6233636703652911,1,0,0.0,0,6,3.7401820221917466,1,1,0.6233636703652911,1,0,0.0,0,0.0,0.0,0.0,0.0,0.6233636703652911,0.20778789012176369,0.0,0.0,0.0,2.654632333421821,1.0855496887699254,2.736638667101909,0.6636580833554553,-0.04029441299016423,0.6306852118727109,0.0,0.0,0.0,0.0,0.6233636703652911,0.0,1.0855496887699254,-0.04029441299016423,0.0
Beijing,北京,2006,2006P1.txt,16468,0,0.0,0,4,2.428953121204761,1,0,0.0,0,7,4.250667962108332,1,3,1.8217148409035706,1,3,1.8217148409035706,1,0.0,0.0,0.0,0.6233636703652911,1.8055894508394696,1.0174389305233507,0.0,0.0,0.0,3.7401820221917466,0.5104859399165851,3.5484941059073,0.6233636703652911,1.1983511705382797,1.0362455315414392,0.0,1.8217148409035706,0.6072382803011902,0.0,1.8055894508394696,0.0,0.5104859399165851,1.1983511705382797,1.8217148409035706
Beijing,北京,2007,2007P1.txt,16809,0,0.0,0,7,4.164435718960081,1,0,0.0,0,3,1.7847581652686062,1,4,2.379677553691475,1,1,0.5949193884228687,1,0.0,0.0,0.0,2.428953121204761,1.73548259775532,2.405584170176711,0.0,0.0,0.0,4.250667962108332,-2.4659097968397257,3.2585360498562284,1.8217148409035706,0.5579627127879043,1.6082520216534455,1.8217148409035706,-1.2267954524807019,0.8055447431088131,0.0,1.73548259775532,0.0,-2.4659097968397257,0.5579627127879043,-1.2267954524807019
Beijing,北京,2008,2008P1.txt,19418,0,0.0,0,5,2.574930476877124,1,0,0.0,0,6,3.089916572252549,1,2,1.0299721907508497,1,1,0.5149860953754248,1,0.0,0.0,0.0,4.164435718960081,-1.5895052420829567,3.056106439013989,0.0,0.0,0.0,1.7847581652686062,1.3051584069839428,3.0417808998764957,2.379677553691475,-1.3497053629406253,1.7437881951152985,0.5949193884228687,-0.0799332930474439,0.9772067749006214,0.0,-1.5895052420829567,0.0,1.3051584069839428,-1.3497053629406253,-0.0799332930474439
Beijing,北京,2009,2009P1.txt,18388,0,0.0,0,0,0.0,0,0,0.0,0,3,1.631498803567544,1,3,1.631498803567544,1,2,1.0876658690450294,1,0.0,0.0,0.0,2.574930476877124,-2.574930476877124,2.2464553986124014,0.0,0.0,0.0,3.089916572252549,-1.458417768685005,2.1687245136962328,1.0299721907508497,0.6015266128166943,1.680382849336623,0.5149860953754248,0.5726797736696045,0.7325237842811076,0.0,-2.574930476877124,0.0,-1.458417768685005,0.6015266128166943,0.5726797736696045
