path,matched_terms
/Users/yumanlou/Library/CloudStorage/OneDrive-email.cufe.edu.cn/2026/寒假/晋蒙转型/data/green_finance_source_audit.csv,carbon_finance;gf_index;green_finance;碳金融
/Users/yumanlou/Library/CloudStorage/OneDrive-email.cufe.edu.cn/2026/寒假/晋蒙转型/data/green_finance_source_audit_downloads.csv,碳金融;绿色金融指数
/Users/yumanlou/Library/CloudStorage/OneDrive-email.cufe.edu.cn/2026/寒假/晋蒙转型/data/green_finance_source_audit_holiday.csv,carbon_finance;gf_index;green_finance;碳金融;绿色金融指数
