province,coal_announced_mw,coal_prepermit_mw,coal_permitted_mw,coal_construction_mw,coal_shelved_mw,coal_cancelled_mw,coal_operating_mw,coal_mothballed_mw,coal_retired_mw,wind_operating_mw,wind_construction_mw,wind_preconstruction_mw,wind_announced_mw,wind_cancelled_mw,wind_shelved_mw,wind_retired_mw,wind_mothballed_mw,solar_operating_mw,solar_construction_mw,solar_preconstruction_mw,solar_announced_mw,solar_shelved_mw,solar_mothballed_mw,solar_retired_mw,solar_cancelled_mw,coal_development_mw,wind_development_mw,solar_development_mw,windsolar_operating_mw,windsolar_development_mw,clean_share_of_power_pipeline,coal_development_to_operating,windsolar_development_to_operating,snapshot_date,coal_release,wind_release,solar_release,usage_note
Qinghai,0,2640,3960,1980,1320,6465,4480,0,725,11470,9760,8000,2150,88,520,0,0,36720,19067,16582,7922,1173,0,0,0,8580,19910,43571,48190,63481,0.8809342085177836,1.9151785714285714,1.3173064951234696,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Shaanxi,4310,3320,8640,10660,13420,39010,56840,0,2930,14366,2980,13251,1710,750,800,0,0,23655,4075,4023,904,1201,0,0,496,26930,17941,9002,38021,26943,0.5001206541310118,0.47378606615059815,0.7086347018752794,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Shandong,9670,6630,6820,9310,1320,30470,105690,300,22306,26825,5779,2541,0,0,468,0,0,29596,18966,24677,1764,1395,0,28,18,32430,8320,45407,56421,53727,0.6235941362860824,0.3068407607152995,0.9522518211304302,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Shanghai,2000,0,2000,3580,1200,0,15500,0,1263,1257,368,828,0,0,0,0,0,624,368,1225,0,0,0,0,13,7580,1196,1593,1881,2789,0.26897482881666507,0.4890322580645161,1.4827219564061669,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Shanxi,2000,4700,10640,5130,12100,37200,75122,100,7096,25736,3254,14975,3598,844,490,0,0,24691,6738,11177,540,688,0,0,1159,22470,21827,18455,50427,40282,0.6419237633860275,0.2991134421341285,0.7988180934816665,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Sichuan,5320,2000,2000,4000,0,9200,13155,0,4184,7336,2281,1133,0,0,155,0,0,13403,7766,9025,2518,0,0,0,0,13320,3414,19309,20739,22723,0.6304414171961269,1.0125427594070695,1.0956651718983557,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Tianjin,0,0,0,1320,0,4250,12244,0,2160,1796,2170,3959,2273,0,263,0,0,4550,980,5329,1477,363,0,0,0,1320,8402,7786,6346,16188,0.9246058944482523,0.1078079059131003,2.5508982035928143,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Xinjiang,10880,2960,1810,19735,6058,57900,78980,0,4250,67723,48180,38348,32400,0,0,158,0,87921,63847,39003,56883,300,0,0,0,35385,118928,159733,155644,278661,0.8873254236640492,0.44802481640921754,1.790374187247822,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Xizang,0,0,0,0,0,0,0,0,0,662,600,800,840,0,0,0,0,4512,5565,2326,349,0,0,0,0,0,2240,8240,5174,10480,1.0,,2.025512176265945,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Yunnan,4060,0,3400,0,700,3300,11900,0,2235,17229,975,4298,2691,0,380,0,0,45636,11173,16516,9920,432,0,0,0,7460,7964,37609,62865,45573,0.8593328682141308,0.626890756302521,0.7249343832020997,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Zhejiang,7320,30,1000,7140,0,9000,54865,0,3431,6083,3586,6176,0,0,0,0,0,10650,1283,2109,2756,178,0,0,0,15490,9762,6148,16733,15910,0.506687898089172,0.28232935386858654,0.9508157533018586,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
